NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90B1	28	6.70695686340332	0.05879104	Yes	
row_1	AKT1S1	353	3.7353148460388184	0.07565442	Yes	
row_2	FGF22	519	3.273289442062378	0.0965551	Yes	
row_3	RPS6KA1	526	3.264113187789917	0.12555997	Yes	
row_4	DAPP1	856	2.740306854248047	0.1332301	Yes	
row_5	ADCY2	1173	2.3897743225097656	0.13842158	Yes	
row_6	TNFRSF1A	1229	2.3501322269439697	0.15669541	Yes	
row_7	DUSP3	1431	2.1877195835113525	0.16599342	Yes	
row_8	VAV3	1584	2.095698833465576	0.17698795	Yes	
row_9	PPP2R1B	1747	2.0020058155059814	0.18662617	Yes	
row_10	PAK4	1951	1.8958079814910889	0.19319965	Yes	
row_11	SQSTM1	1956	1.8933866024017334	0.2099975	Yes	
row_12	CDKN1A	2047	1.8369183540344238	0.22186027	Yes	
row_13	MAPKAP1	2996	1.4475963115692139	0.18604997	Yes	
row_14	PLCG1	3052	1.4290025234222412	0.19605148	Yes	
row_15	TIAM1	3108	1.4086341857910156	0.20587006	Yes	
row_16	MAPK9	3281	1.3559156656265259	0.2091911	Yes	
row_17	MAPK1	3295	1.352180004119873	0.22066519	Yes	
row_18	SMAD2	3316	1.3437975645065308	0.23170358	Yes	
row_19	CDKN1B	3385	1.3272464275360107	0.2401219	Yes	
row_20	IRAK4	3606	1.2587841749191284	0.24009922	Yes	
row_21	EGFR	3633	1.2515552043914795	0.2500003	Yes	
row_22	PLA2G12A	3706	1.2277946472167969	0.2573195	Yes	
row_23	RIPK1	3811	1.2013930082321167	0.26275402	Yes	
row_24	SLA	4120	1.1172596216201782	0.25692943	Yes	
row_25	CAB39L	4140	1.1123547554016113	0.26594082	Yes	
row_26	ARF1	4375	1.056781530380249	0.26338318	Yes	
row_27	TRIB3	4554	1.0098024606704712	0.26328698	Yes	
row_28	FGF6	4590	0.9998375773429871	0.27046406	Yes	
row_29	ARPC3	4703	0.9786798357963562	0.27348658	Yes	
row_30	PRKAG1	4820	0.9521324634552002	0.27606472	Yes	
row_31	NCK1	4992	0.9201245307922363	0.27552357	Yes	
row_32	GSK3B	5119	0.8955358266830444	0.27707854	Yes	
row_33	PIKFYVE	5465	0.8217775821685791	0.26669526	No	
row_34	PRKAR2A	5559	0.8032291531562805	0.2691204	No	
row_35	NGF	5878	0.7476730346679688	0.2594618	No	
row_36	CXCR4	5955	0.7340186834335327	0.26214063	No	
row_37	MYD88	6067	0.7098458409309387	0.26280034	No	
row_38	PPP1CA	6413	0.6451478600502014	0.25083083	No	
row_39	EIF4E	6538	0.6258409023284912	0.25006676	No	
row_40	PITX2	6697	0.6017853617668152	0.24733606	No	
row_41	E2F1	6982	0.5522359609603882	0.2376729	No	
