NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSRA	63	5.665135860443115	0.08180959	Yes	
row_1	GCLM	179	4.490081787109375	0.14330979	Yes	
row_2	HMOX2	204	4.359177589416504	0.20751682	Yes	
row_3	G6PD	709	2.947876453399658	0.22589447	Yes	
row_4	GLRX	893	2.7017462253570557	0.25705737	Yes	
row_5	STK25	1030	2.5517468452453613	0.28838152	Yes	
row_6	CAT	2027	1.8503695726394653	0.2650243	Yes	
row_7	CDKN2D	2107	1.806920051574707	0.28809363	Yes	
row_8	GCLC	2395	1.6849249601364136	0.29865283	Yes	
row_9	SOD2	3026	1.4383611679077148	0.28790107	Yes	
row_10	FTL	3099	1.4110897779464722	0.30538762	Yes	
row_11	ATOX1	3216	1.3759771585464478	0.3200881	Yes	
row_12	GLRX2	3256	1.3637337684631348	0.33855796	Yes	
row_13	GPX4	3348	1.335159420967102	0.3539292	Yes	
row_14	SBNO2	3884	1.1787582635879517	0.34415764	Yes	
row_15	OXSR1	3915	1.1695224046707153	0.3601741	Yes	
row_16	SRXN1	4314	1.070515513420105	0.35581118	Yes	
row_17	PRDX6	4332	1.0661991834640503	0.37094396	Yes	
row_18	GPX3	4767	0.9629833102226257	0.36311856	No	
row_19	PRDX4	5262	0.8642606735229492	0.35073075	No	
row_20	NDUFB4	5286	0.8595078587532043	0.3624527	No	
row_21	NQO1	5634	0.7883783578872681	0.35647273	No	
row_22	MPO	5914	0.7403198480606079	0.35326242	No	
row_23	ABCC1	5961	0.7323142886161804	0.36189416	No	
row_24	IPCEF1	7195	0.5166823863983154	0.30634832	No	
row_25	PFKP	7637	0.4463444948196411	0.29040784	No	
row_26	EGLN2	8053	0.38349610567092896	0.2748587	No	
row_27	PRDX2	8346	0.3420308828353882	0.26500195	No	
row_28	PRNP	9686	0.15008707344532013	0.19851081	No	
row_29	SOD1	10130	0.08677304536104202	0.17706981	No	
row_30	GSR	10200	0.07645463943481445	0.17467508	No	
row_31	TXN	10379	0.04933676868677139	0.1662772	No	
row_32	PRDX1	10720	0.0024154807906597853	0.14885788	No	
row_33	JUNB	11688	-0.13397027552127838	0.10122326	No	
row_34	SCAF4	14577	-0.6237867474555969	-0.037682407	No	
row_35	PDLIM1	15271	-0.7790865898132324	-0.0615655	No	
row_36	TXNRD2	15361	-0.7986192107200623	-0.05414603	No	
row_37	TXNRD1	15676	-0.884422779083252	-0.056989983	No	
row_38	HHEX	16024	-0.9819232821464539	-0.0600645	No	
row_39	NDUFA6	16696	-1.210776925086975	-0.07633765	No	
row_40	LAMTOR5	16833	-1.2599713802337646	-0.06440543	No	
row_41	MBP	17271	-1.4402337074279785	-0.06522047	No	
row_42	LSP1	17659	-1.6465508937835693	-0.06037131	No	
row_43	NDUFS2	18080	-1.907698392868042	-0.05329607	No	
row_44	FES	18598	-2.4005844593048096	-0.043801695	No	
row_45	ERCC2	18727	-2.5437371730804443	-0.012187084	No	
row_46	MGST1	19230	-3.5341341495513916	0.015094034	No	
