NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK1N	46	6.1534929275512695	0.0386202	No	
row_1	SLC2A5	198	4.388747692108154	0.06006971	No	
row_2	SHE	230	4.232558250427246	0.08666686	No	
row_3	MLF1	642	3.037039279937744	0.0857042	No	
row_4	DNAJB8	1379	2.228468656539917	0.06259564	No	
row_5	PGK2	1413	2.1933531761169434	0.07550523	No	
row_6	RPL39L	1577	2.098940134048462	0.08108206	No	
row_7	AURKA	1666	2.0464255809783936	0.09017664	No	
row_8	POMC	1921	1.911930799484253	0.08981504	No	
row_9	PGS1	2018	1.8549798727035522	0.09722174	No	
row_10	NPHP1	2286	1.729900598526001	0.09497714	No	
row_11	TULP2	2483	1.6432896852493286	0.09581687	No	
row_12	ZC2HC1C	2536	1.6219475269317627	0.103940174	No	
row_13	SNAP91	2663	1.5740219354629517	0.1079282	No	
row_14	MAST2	2844	1.501213788986206	0.108646564	No	
row_15	DBF4	2921	1.4734214544296265	0.11454281	No	
row_16	GAD1	3163	1.3894922733306885	0.11137129	No	
row_17	SPATA6	3573	1.2682480812072754	0.098728724	No	
row_18	ZC3H14	3631	1.251977562904358	0.10412958	No	
row_19	ACRV1	3659	1.2435719966888428	0.111021474	No	
row_20	STAM2	3939	1.1636613607406616	0.10438599	No	
row_21	ADAM2	4063	1.1295647621154785	0.10556791	No	
row_22	GFI1	4307	1.071682333946228	0.100176126	No	
row_23	MLLT10	4337	1.0647825002670288	0.10577385	No	
row_24	IP6K1	4379	1.0557976961135864	0.11069291	No	
row_25	ACRBP	4493	1.0259732007980347	0.11170042	No	
row_26	NPY5R	4596	0.9991447925567627	0.11309646	No	
row_27	NF2	5020	0.9142741560935974	0.0973739	No	
row_28	SCG5	5068	0.905699610710144	0.10098366	No	
row_29	PRKAR2A	5559	0.8032291531562805	0.081066325	No	
row_30	PARP2	5592	0.7975020408630371	0.08472882	No	
row_31	MTOR	5699	0.7781685590744019	0.08444653	No	
row_32	DMRT1	5717	0.7739918231964111	0.088725924	No	
row_33	ZPBP	5972	0.7297214269638062	0.080488876	No	
row_34	RAD17	6259	0.6749745607376099	0.07023696	No	
row_35	CHRM4	6285	0.672749936580658	0.07342938	No	
row_36	IL13RA2	6294	0.6700006127357483	0.07748014	No	
row_37	COIL	6477	0.6346601247787476	0.0723227	No	
row_38	PEBP1	6838	0.5776064991950989	0.057606142	No	
row_39	PIAS2	7227	0.5110217928886414	0.04100213	No	
row_40	CLGN	7250	0.508025586605072	0.04325192	No	
row_41	JAM3	7342	0.4934566617012024	0.04184649	No	
row_42	OAZ3	7496	0.4687901735305786	0.037079547	No	
row_43	TSSK2	7555	0.4581000804901123	0.037140317	No	
row_44	HTR5A	7629	0.446946918964386	0.036353275	No	
row_45	GAPDHS	7768	0.4243558645248413	0.03206384	No	
row_46	HSPA4L	7854	0.41173043847084045	0.030423388	No	
row_47	TNNI3	7915	0.40394219756126404	0.030020244	No	
row_48	TKTL1	8140	0.3734571635723114	0.020956922	No	
row_49	CDKN3	8155	0.3714105784893036	0.022709176	No	
row_50	HBZ	8206	0.3638119101524353	0.022554375	No	
row_51	PHKG2	8683	0.29689541459083557	-1.4022167E-5	No	
row_52	GPR182	8694	0.29464054107666016	0.0014330884	No	
row_53	AKAP4	8844	0.27154791355133057	-0.00444154	No	
row_54	VDAC3	8854	0.27015677094459534	-0.0031059636	No	
row_55	SLC12A2	8920	0.2613409161567688	-0.0047169044	No	
row_56	HSPA1L	8923	0.26091399788856506	-0.0030819261	No	
row_57	ODF1	8953	0.25691235065460205	-0.0028659324	No	
row_58	STRBP	9231	0.21704727411270142	-0.015704285	No	
row_59	ART3	9535	0.17130188643932343	-0.030188136	No	
row_60	BRAF	9588	0.1630641371011734	-0.03178338	No	
row_61	CNIH2	9745	0.1407640129327774	-0.038890216	No	
row_62	MAP7	9850	0.12366455793380737	-0.043429445	No	
row_63	LPIN1	10121	0.08751150965690613	-0.056769744	No	
row_64	GRM8	10355	0.05410832539200783	-0.06842456	No	
row_65	MEP1B	10408	0.04531462863087654	-0.07080421	No	
row_66	MTNR1A	10489	0.03493915870785713	-0.07469687	No	
row_67	TNP1	11246	-0.06900054961442947	-0.11322236	No	
row_68	CST8	11641	-0.1275596022605896	-0.13269027	No	
row_69	IL12RB2	11709	-0.1367396116256714	-0.13523439	No	
row_70	TOPBP1	11746	-0.14408808946609497	-0.13613096	No	
row_71	PACRG	11855	-0.15829019248485565	-0.1406458	No	
