NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	33	6.548097133636475	0.031600237	Yes	
row_1	PLAU	91	5.225756645202637	0.055232443	Yes	
row_2	EGR2	266	4.069546222686768	0.066929735	Yes	
row_3	IFIH1	310	3.907728910446167	0.08458201	Yes	
row_4	EDN1	335	3.7938320636749268	0.10263801	Yes	
row_5	BTG1	557	3.191237211227417	0.10743585	Yes	
row_6	PANX1	795	2.8241755962371826	0.10953873	Yes	
row_7	NFKB2	838	2.760694980621338	0.12140821	Yes	
row_8	SERPINB8	939	2.647576332092285	0.12970132	Yes	
row_9	CCRL2	946	2.637021064758301	0.1428044	Yes	
row_10	GADD45B	1077	2.499638319015503	0.14879277	Yes	
row_11	MSC	1174	2.3882532119750977	0.15597378	Yes	
row_12	GEM	1191	2.378915548324585	0.16724657	Yes	
row_13	PTGER4	1690	2.032426595687866	0.15181768	Yes	
row_14	EHD1	1719	2.017322301864624	0.16063029	Yes	
row_15	RELB	1849	1.9460439682006836	0.16385448	Yes	
row_16	NFKB1	1880	1.9310729503631592	0.17212488	Yes	
row_17	SQSTM1	1956	1.8933866024017334	0.17787525	Yes	
row_18	IL12B	1974	1.8822283744812012	0.18656982	Yes	
row_19	RELA	1990	1.8702037334442139	0.19530673	Yes	
row_20	CDKN1A	2047	1.8369183540344238	0.20175295	Yes	
row_21	OLR1	2177	1.7780247926712036	0.20412248	Yes	
row_22	LDLR	2384	1.6930700540542603	0.20207582	Yes	
row_23	IL18	2418	1.6743141412734985	0.20888497	Yes	
row_24	CXCL11	2436	1.665510892868042	0.2164772	Yes	
row_25	F2RL1	2552	1.6156601905822754	0.21874522	Yes	
row_26	TNIP2	2581	1.6048446893692017	0.22545971	Yes	
row_27	JUN	2605	1.5943316221237183	0.23237942	Yes	
row_28	CXCL1	2741	1.542155146598816	0.23323874	Yes	
row_29	NINJ1	2974	1.456477403640747	0.22864336	Yes	
row_30	BTG2	3000	1.446678638458252	0.23470853	Yes	
row_31	SOD2	3026	1.4383611679077148	0.2407314	Yes	
row_32	PER1	3081	1.4187061786651611	0.24515381	Yes	
