NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90B1	28	6.70695686340332	0.059899416	No	
row_1	PSAT1	194	4.4056525230407715	0.091695555	No	
row_2	WFS1	411	3.5313920974731445	0.112869196	No	
row_3	EXOSC10	516	3.288210391998291	0.13758685	No	
row_4	SHC1	1539	2.124396800994873	0.10438217	No	
row_5	TSPYL2	1602	2.0831069946289062	0.120241076	No	
row_6	EXOSC4	1906	1.9195035696029663	0.12219186	No	
row_7	DNAJA4	2141	1.7945497035980225	0.12655342	No	
row_8	ZBTB17	2273	1.7365984916687012	0.13568959	No	
row_9	RRP9	2385	1.6925195455551147	0.14545263	No	
row_10	NPM1	2801	1.5160657167434692	0.13794546	No	
row_11	HSPA5	2884	1.4850242137908936	0.14730431	No	
row_12	ERN1	3505	1.2908931970596313	0.12717997	No	
row_13	SLC7A5	3617	1.2553324699401855	0.13294452	No	
row_14	CCL2	3758	1.2134416103363037	0.13683242	No	
row_15	EIF2AK3	4085	1.1257057189941406	0.13033864	No	
row_16	PREB	4195	1.0976288318634033	0.13476385	No	
row_17	SPCS3	4298	1.073803424835205	0.13933167	No	
row_18	TTC37	5037	0.9107241034507751	0.109653175	No	
row_19	EIF4G1	5099	0.8990230560302734	0.11473401	No	
row_20	TATDN2	5526	0.8084878921508789	0.10018886	No	
row_21	HERPUD1	5697	0.7785810828208923	0.0985545	No	
row_22	SSR1	5823	0.7568408250808716	0.09903887	No	
row_23	ATP6V0D1	5881	0.7472502589225769	0.1029376	No	
row_24	SEC31A	6003	0.7236638069152832	0.10332454	No	
row_25	HSPA9	6319	0.6640351414680481	0.09317487	No	
row_26	EIF4E	6538	0.6258409023284912	0.0876715	No	
row_27	NFYB	6630	0.6132105588912964	0.088593274	No	
row_28	KHSRP	7104	0.5323361754417419	0.06910189	No	
row_29	DDIT4	7238	0.5096965432167053	0.06691388	No	
row_30	CNOT4	7360	0.49037107825279236	0.06516714	No	
row_31	DNAJB9	7387	0.48602527379989624	0.06827326	No	
row_32	FUS	7474	0.47240570187568665	0.06816475	No	
row_33	FKBP14	7785	0.4220525324344635	0.056059428	No	
row_34	PDIA6	7886	0.40745440125465393	0.054635856	No	
row_35	SDAD1	8090	0.379085898399353	0.0476482	No	
row_36	PDIA5	8197	0.36507755517959595	0.045528047	No	
row_37	DKC1	8297	0.3512897491455078	0.043642297	No	
row_38	NOP14	8422	0.3315679430961609	0.040288642	No	
row_39	ATF6	8444	0.32877248525619507	0.04221405	No	
row_40	SLC30A5	8449	0.3282927870750427	0.045010593	No	
row_41	CHAC1	8626	0.30515578389167786	0.03873731	No	
row_42	LSM4	8944	0.2581745684146881	0.024772659	No	
row_43	ASNS	8964	0.2555416524410248	0.026131304	No	
row_44	IFIT1	9069	0.23910078406333923	0.022961974	No	
row_45	PAIP1	9160	0.2268158197402954	0.020401306	No	
row_46	CNOT2	9173	0.2240842878818512	0.021832753	No	
row_47	NHP2	9293	0.208131805062294	0.017607665	No	
row_48	EIF4A2	9319	0.20501042902469635	0.018195147	No	
row_49	NABP1	9517	0.17411762475967407	0.009641868	No	
row_50	CALR	9544	0.17008201777935028	0.009858396	No	
row_51	STC2	9598	0.16207338869571686	0.008611144	No	
row_52	ATF4	9788	0.1339009702205658	1.0205552E-4	No	
row_53	IMP3	10045	0.09744331240653992	-0.012191056	No	
row_54	EIF4A1	10092	0.09061554819345474	-0.01373135	No	
row_55	EIF4A3	10170	0.08105192333459854	-0.016955651	No	
row_56	XBP1	10179	0.07973920553922653	-0.01663837	No	
row_57	NOLC1	10180	0.0795011892914772	-0.015911257	No	
row_58	CEBPG	10420	0.04320386424660683	-0.027824918	No	
row_59	YWHAZ	10446	0.04070066660642624	-0.028740203	No	
row_60	EXOSC2	10465	0.03746749088168144	-0.02932455	No	
row_61	EIF2S1	10586	0.021318010985851288	-0.03530973	No	
row_62	BANF1	10632	0.014196733944118023	-0.037497442	No	
row_63	WIPI1	10636	0.013848916627466679	-0.037525285	No	
row_64	SEC11A	10696	0.005465374793857336	-0.040513873	No	
row_65	ARFGAP1	10710	0.003551795380190015	-0.041150905	No	
row_66	RPS14	10970	-0.032418910413980484	-0.054193232	No	
row_67	EDC4	10976	-0.0327470637857914	-0.054151233	No	
row_68	CNOT6	11055	-0.04338447004556656	-0.05777154	No	
row_69	EXOSC9	11095	-0.04845697060227394	-0.059336904	No	
row_70	EEF2	11247	-0.06935145705938339	-0.06647931	No	
row_71	SPCS1	11420	-0.09487629681825638	-0.0744698	No	
row_72	CEBPB	11702	-0.1360640823841095	-0.087697215	No	
row_73	XPOT	11920	-0.16845913231372833	-0.09733227	No	
row_74	NOP56	12005	-0.1854768842458725	-0.09996202	No	
row_75	VEGFA	12445	-0.25165462493896484	-0.120269455	No	
row_76	EIF4EBP1	12620	-0.28502604365348816	-0.12662384	No	
row_77	HYOU1	12756	-0.3034786283969879	-0.13080092	No	
row_78	CKS1B	12888	-0.32527533173561096	-0.13457263	No	
row_79	LSM1	13322	-0.3955761194229126	-0.15325476	No	
row_80	POP4	13500	-0.4256440997123718	-0.15847756	No	
row_81	TUBB2A	13703	-0.4599005877971649	-0.1646746	No	
row_82	DCP2	13929	-0.5030195116996765	-0.1716618	No	
row_83	PARN	14094	-0.5330630540847778	-0.17523263	No	
row_84	CXXC1	14384	-0.5856416821479797	-0.18476024	No	
