NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNMA1	27	6.743892669677734	0.04187466	Yes	
row_1	DAB2	42	6.328882694244385	0.08175729	Yes	
row_2	COL11A1	66	5.6112799644470215	0.11657167	Yes	
row_3	PIAS3	252	4.126744270324707	0.13350503	Yes	
row_4	TGFBR3	267	4.069483757019043	0.15889183	Yes	
row_5	MAGI2	291	3.9717774391174316	0.18318751	Yes	
row_6	SYNJ2	296	3.9547276496887207	0.20835389	Yes	
row_7	NOTCH2	320	3.8556270599365234	0.23190437	Yes	
row_8	PTPN21	630	3.054927110671997	0.23556481	Yes	
row_9	ANXA4	720	2.9279842376708984	0.2497592	Yes	
row_10	SDC2	723	2.923750400543213	0.2684142	Yes	
row_11	LTBP1	1056	2.5186405181884766	0.26744753	Yes	
row_12	NFKB1	1880	1.9310729503631592	0.23738357	Yes	
row_13	ERBB2	2021	1.8533504009246826	0.24205257	Yes	
row_14	COL1A1	2075	1.8221464157104492	0.25100917	Yes	
row_15	DBP	2099	1.812096118927002	0.26144877	Yes	
row_16	COL3A1	2103	1.8088010549545288	0.2728989	Yes	
row_17	LDLR	2384	1.6930700540542603	0.2693179	Yes	
row_18	COL5A2	2439	1.6640993356704712	0.2772089	Yes	
row_19	SLC7A1	2626	1.5868172645568848	0.27779502	Yes	
row_20	NR3C1	2934	1.470277190208435	0.27139184	Yes	
row_21	MMP16	3145	1.39634108543396	0.26951793	Yes	
row_22	FYN	3294	1.3531728982925415	0.2705652	Yes	
row_23	PRKCA	3371	1.3301395177841187	0.27517876	Yes	
row_24	CDKN1B	3385	1.3272464275360107	0.2830235	Yes	
row_25	ADD3	3669	1.239993691444397	0.2763809	Yes	
row_26	APBB2	3851	1.1884714365005493	0.27466923	Yes	
row_27	LAMC1	3897	1.1740927696228027	0.27988073	Yes	
row_28	RASA2	4051	1.133335828781128	0.27925968	Yes	
row_29	ADGRL2	4071	1.128037452697754	0.28551683	Yes	
row_30	PRKCE	4135	1.1131551265716553	0.28940883	Yes	
row_31	PRKAR2B	4406	1.0485155582427979	0.28220832	Yes	
row_32	FBLN5	4436	1.040966272354126	0.28739104	Yes	
row_33	PRDM2	4617	0.9945437908172607	0.28448677	Yes	
row_34	ATP2B1	4699	0.9791623950004578	0.28659058	Yes	
row_35	FHL2	4852	0.9443864226341248	0.28480887	Yes	
row_36	BDNF	4893	0.9384915828704834	0.28876668	Yes	
row_37	MTA1	4916	0.9329831600189209	0.29361767	Yes	
row_38	CDC42BPA	4921	0.9319559335708618	0.29939058	Yes	
row_39	SFMBT1	4923	0.9318146705627441	0.3053173	Yes	
row_40	MGMT	4975	0.9230840802192688	0.30860886	Yes	
row_41	NFIB	5007	0.9157570600509644	0.31288508	Yes	
row_42	CAP2	5043	0.9096052050590515	0.3169155	Yes	
row_43	WDR37	5126	0.8942288756370544	0.31842282	Yes	
row_44	KALRN	5249	0.8657485246658325	0.31768408	Yes	
row_45	CELF2	5280	0.8612528443336487	0.3216622	Yes	
row_46	DLC1	5323	0.8521278500556946	0.32496276	Yes	
row_47	PMP22	5476	0.8193411231040955	0.32237878	Yes	
row_48	NR1D2	5631	0.7892987728118896	0.31949887	Yes	
row_49	SYNE1	5632	0.789288341999054	0.3245628	Yes	
row_50	ATP2C1	5642	0.7872880101203918	0.3291496	Yes	
row_51	MGLL	5807	0.7598955631256104	0.32556522	Yes	
row_52	SCAF8	5835	0.7550654411315918	0.3290168	Yes	
row_53	RND3	5849	0.7531917691230774	0.33317855	Yes	
row_54	EFEMP1	5868	0.7496642470359802	0.33705974	Yes	
row_55	IGFBP5	5896	0.7438907623291016	0.34043962	Yes	
row_56	ABCC1	5961	0.7323142886161804	0.34183666	Yes	
row_57	TFPI	6229	0.6790513396263123	0.33242047	No	
row_58	INSIG1	6432	0.6425957679748535	0.32612336	No	
row_59	FZD2	6462	0.6378528475761414	0.32871976	No	
row_60	SMAD3	6611	0.6157858967781067	0.32503614	No	
row_61	SLC22A18	6613	0.6156429052352905	0.3289344	No	
row_62	TJP1	6725	0.5963888764381409	0.32703492	No	
row_63	ADORA2B	7152	0.5231760740280151	0.30841687	No	
row_64	IGF1R	7197	0.5160655975341797	0.30945817	No	
row_65	HAS2	7371	0.4882909059524536	0.30366698	No	
row_66	PTPRM	7469	0.4735139012336731	0.30170134	No	
row_67	MYC	7711	0.43410974740982056	0.29205483	No	
row_68	RGS4	7775	0.4233328104019165	0.2915211	No	
row_69	ZMIZ1	7852	0.4120813310146332	0.29024455	No	
row_70	ANXA2	7863	0.41067034006118774	0.2923635	No	
row_71	PTEN	7890	0.40698856115341187	0.2936335	No	
row_72	SMAD7	7939	0.40025219321250916	0.2937254	No	
row_73	VLDLR	8126	0.37525105476379395	0.2865384	No	
row_74	TGFBR2	8165	0.36938732862472534	0.2869481	No	
row_75	MAP2K5	8173	0.3682044744491577	0.28894937	No	
row_76	ARHGEF9	8208	0.36369192600250244	0.28952888	No	
row_77	GRK5	8325	0.3465336859226227	0.28576848	No	
row_78	F3	8460	0.3275321424007416	0.28095764	No	
row_79	PDGFRB	8486	0.32410043478012085	0.28174743	No	
row_80	LPAR1	8506	0.32098230719566345	0.2828267	No	
row_81	YTHDC1	8615	0.30730128288269043	0.27922723	No	
row_82	PIK3CD	8646	0.30224180221557617	0.27961886	No	
row_83	ITGB3	8861	0.2695333957672119	0.27030924	No	
row_84	COL1A2	9006	0.24917453527450562	0.26447985	No	
row_85	PHF3	9102	0.23496997356414795	0.2610869	No	
row_86	MAP1B	9264	0.21206969022750854	0.25414255	No	
row_87	PLPP3	9342	0.20237189531326294	0.251469	No	
row_88	AKT3	9809	0.12900590896606445	0.22825868	No	
row_89	SIPA1L1	9864	0.12120331823825836	0.2262508	No	
row_90	MIOS	9950	0.11073579639196396	0.22257665	No	
row_91	GCNT1	10390	0.04806341603398323	0.20023979	No	
row_92	GJA1	10440	0.041036076843738556	0.19797549	No	
row_93	NIPBL	10502	0.033178891986608505	0.19504175	No	
row_94	SERPINE1	10521	0.030939217656850815	0.19431174	No	
row_95	RBPMS	10995	-0.035810329020023346	0.17014244	No	
row_96	ATRN	11227	-0.06655668467283249	0.15865365	No	
row_97	BHLHE40	11501	-0.10605460405349731	0.14525174	No	
row_98	ATXN1	11617	-0.12391640990972519	0.14011464	No	
row_99	ATRX	11826	-0.1544254571199417	0.13037601	No	
row_100	SPOP	11941	-0.17333076894283295	0.12560754	No	
row_101	NRP1	12010	-0.18622153997421265	0.12329461	No	
row_102	AMPH	12533	-0.2685411870479584	0.098090865	No	
row_103	VAV2	12770	-0.3060915172100067	0.08788095	No	
row_104	DUSP1	13043	-0.35248830914497375	0.0761117	No	
row_105	MT1E	13106	-0.3633609116077423	0.07524476	No	
row_106	CITED2	13109	-0.3636208474636078	0.077474505	No	
row_107	PIK3R3	13221	-0.37878498435020447	0.074178934	No	
row_108	DLG1	13468	-0.4207269549369812	0.06418866	No	
row_109	RXRA	13479	-0.422600120306015	0.06638414	No	
row_110	PLCB4	13510	-0.42812830209732056	0.06758341	No	
row_111	AGGF1	13590	-0.4407784640789032	0.06633625	No	
row_112	PPARG	13861	-0.49200892448425293	0.0555653	No	
row_113	CAV1	13977	-0.5116718411445618	0.052915964	No	
row_114	RUNX1	14266	-0.565936803817749	0.041690815	No	
row_115	PEX14	14594	-0.6291578412055969	0.028859518	No	
row_116	SRI	14792	-0.6731414794921875	0.023016281	No	
row_117	MRPS31	14802	-0.675933837890625	0.02688868	No	
row_118	INPP4B	15030	-0.7236732840538025	0.019822137	No	
row_119	PTGFR	15335	-0.7930639982223511	0.009228852	No	
row_120	ATP2B4	15455	-0.8225241303443909	0.008367545	No	
row_121	DYRK1A	15479	-0.8297945261001587	0.012504911	No	
row_122	SNAI2	15573	-0.8532360196113586	0.0131818205	No	
row_123	SCN8A	15584	-0.8569091558456421	0.018163735	No	
row_124	PDLIM5	15602	-0.8659046292304993	0.022842279	No	
row_125	MET	15914	-0.9489465355873108	0.012888017	No	
row_126	CDON	15986	-0.9693272709846497	0.015444583	No	
row_127	BMPR1A	16064	-0.9937015175819397	0.017848028	No	
row_128	BCKDHB	16335	-1.0786056518554688	0.01084056	No	
row_129	NEK7	16649	-1.1948763132095337	0.0023609668	No	
row_130	CACNA1A	16748	-1.230516791343689	0.0052005127	No	
row_131	CDK13	17011	-1.330704927444458	2.231319E-4	No	
row_132	IRS1	17160	-1.3889399766921997	0.0014999069	No	
row_133	DDAH1	17840	-1.758918285369873	-0.022240514	No	
row_134	ID1	18005	-1.8574258089065552	-0.018783368	No	
