NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HTR7	72	5.549344539642334	0.03084751	No	
row_1	TFRC	317	3.868267059326172	0.0423456	No	
row_2	BTG1	557	3.191237211227417	0.049884897	No	
row_3	PSMC3	696	2.96087908744812	0.061203115	No	
row_4	SHOX2	992	2.593424081802368	0.06212815	No	
row_5	STIP1	1021	2.559307813644409	0.07662347	No	
row_6	STK25	1030	2.5517468452453613	0.092104115	No	
row_7	FMO1	1052	2.524709939956665	0.10674529	No	
row_8	NPTX2	1064	2.5125648975372314	0.12182702	No	
row_9	CDC5L	1207	2.3627798557281494	0.12921348	No	
row_10	NAT1	1402	2.206453561782837	0.13294198	No	
row_11	SQSTM1	1956	1.8933866024017334	0.11618862	No	
row_12	MARK2	1979	1.8789095878601074	0.12675579	No	
row_13	PRPF3	2264	1.7397456169128418	0.1229315	No	
row_14	CLTB	2277	1.7350138425827026	0.13311863	No	
row_15	RET	2627	1.5866613388061523	0.124985486	No	
row_16	GRINA	2777	1.526849389076233	0.12680398	No	
row_17	PPT1	2865	1.491651177406311	0.13160375	No	
row_18	MSX1	2931	1.4707163572311401	0.13740878	No	
row_19	BTG2	3000	1.446678638458252	0.14290923	No	
row_20	COL2A1	3008	1.4448944330215454	0.15154745	No	
row_21	SOD2	3026	1.4383611679077148	0.15962875	No	
row_22	GRPEL1	3183	1.3836287260055542	0.16019386	No	
row_23	BSG	3203	1.3777230978012085	0.16779424	No	
row_24	CTSV	3234	1.3707470893859863	0.17478333	No	
row_25	EPHX1	3306	1.348164439201355	0.17951533	No	
row_26	HMOX1	3771	1.2108899354934692	0.16310528	No	
row_27	TAP1	4005	1.1437402963638306	0.15820143	No	
row_28	NPTXR	4076	1.1276181936264038	0.16161136	No	
row_29	CDO1	4117	1.1182173490524292	0.16651137	No	
row_30	AP2S1	4477	1.0289565324783325	0.15438834	No	
row_31	PDLIM3	4682	0.9835957288742065	0.14998403	No	
row_32	GPX3	4767	0.9629833102226257	0.15164584	No	
row_33	NR4A1	4797	0.9560162425041199	0.1561034	No	
row_34	GLS	4914	0.9337161183357239	0.15593104	No	
row_35	CCK	5075	0.9041994214057922	0.15330353	No	
row_36	C4BPB	5106	0.8980873227119446	0.15734866	No	
row_37	EIF2S3	5248	0.8659701347351074	0.15546383	No	
row_38	DNAJB1	5547	0.8059720396995544	0.14510082	No	
row_39	PARP2	5592	0.7975020408630371	0.14779675	No	
row_40	SLC6A12	5596	0.7965017557144165	0.15260291	No	
row_41	TST	5743	0.7705410122871399	0.1498656	No	
row_42	EIF5	5813	0.7586328983306885	0.15102892	No	
row_43	CCNE1	5898	0.7434018850326538	0.15132307	No	
row_44	TMBIM6	5987	0.727134108543396	0.15130939	No	
row_45	GAL	6088	0.7070109844207764	0.15055093	No	
row_46	CCND3	6268	0.6743963956832886	0.14551128	No	
row_47	WIZ	6775	0.5881124138832092	0.123054184	No	
row_48	ARRB2	6891	0.5679734945297241	0.12065542	No	
row_49	ATP6V1C1	6956	0.5559099912643433	0.120814174	No	
row_50	BID	7061	0.5400533676147461	0.11880934	No	
row_51	TUBA4A	7200	0.5156599879264832	0.11489745	No	
row_52	ALDOA	7468	0.47356918454170227	0.104064316	No	
row_53	CDKN2B	7651	0.44445154070854187	0.09743758	No	
row_54	E2F5	7696	0.4361642897129059	0.09788293	No	
row_55	CXCL2	7883	0.40816521644592285	0.0908237	No	
row_56	PRKCD	7899	0.4057857394218445	0.09257684	No	
row_57	PPP1R2	8082	0.38017213344573975	0.08554974	No	
row_58	DDX21	8125	0.37535935640335083	0.0857196	No	
row_59	NFKBIA	8320	0.34817129373550415	0.07787374	No	
row_60	RRAD	8583	0.3117261230945587	0.066290654	No	
row_61	GGH	8654	0.30053186416625977	0.064549066	No	
row_62	ASNS	8964	0.2555416524410248	0.050189853	No	
row_63	DLG4	9039	0.2436080276966095	0.047887225	No	
row_64	AMD1	9047	0.2426828145980835	0.049037434	No	
row_65	CYB5R1	9092	0.2367246299982071	0.048240557	No	
row_66	CNP	9395	0.19359812140464783	0.03385688	No	
row_67	BTG3	9419	0.1896194964647293	0.033850648	No	
row_68	APOM	9493	0.17699772119522095	0.031184755	No	
row_69	ONECUT1	9578	0.16460268199443817	0.02787383	No	
row_70	HSPA13	9736	0.14167825877666473	0.020651797	No	
row_71	PTPRD	9791	0.13263645768165588	0.018690398	No	
row_72	YKT6	10044	0.09753929823637009	0.0062894574	No	
row_73	IL6ST	10090	0.09098803251981735	0.0045332382	No	
row_74	CLCN2	10212	0.07384411245584488	-0.0012529505	No	
row_75	TYRO3	10258	0.06674914062023163	-0.0031601423	No	
row_76	POLR2H	10268	0.06542913615703583	-0.0032172035	No	
row_77	RHOB	10284	0.06417481601238251	-0.003591803	No	
row_78	CEBPG	10420	0.04320386424660683	-0.010291528	No	
row_79	FOS	10511	0.032176509499549866	-0.014736996	No	
row_80	AGO2	10532	0.030066460371017456	-0.015582144	No	
row_81	IGFBP2	10698	0.005138768348842859	-0.024067586	No	
row_82	UROD	10719	0.002543136477470398	-0.025084164	No	
row_83	CHKA	10828	-0.011854683980345726	-0.030585384	No	
row_84	KLHDC3	10917	-0.023672835901379585	-0.034980576	No	
row_85	CA2	11067	-0.045800983905792236	-0.042386815	No	
row_86	RPN1	11408	-0.0931197851896286	-0.059357923	No	
row_87	PRKACA	11470	-0.10151446610689163	-0.061874513	No	
row_88	RASGRP1	11529	-0.1098741665482521	-0.064184174	No	
row_89	RXRB	11588	-0.11960025876760483	-0.06643325	No	
row_90	JUNB	11688	-0.13397027552127838	-0.07070928	No	
row_91	KCNH2	11759	-0.1461300402879715	-0.07341257	No	
row_92	ALAS1	11816	-0.15309610962867737	-0.07534978	No	
row_93	HNRNPU	12117	-0.20139093697071075	-0.089581676	No	
row_94	NXF1	12172	-0.208339124917984	-0.09107156	No	
row_95	MAPK8IP2	12291	-0.2254091054201126	-0.09575886	No	
row_96	PPAT	12296	-0.22693276405334473	-0.09455189	No	
row_97	CHRNA5	12453	-0.2523044943809509	-0.10103326	No	
row_98	STARD3	12471	-0.25575152039527893	-0.100317866	No	
row_99	HYAL2	12553	-0.2719074785709381	-0.10280558	No	
row_100	FOSB	12715	-0.2981756925582886	-0.10925935	No	
row_101	CDK2	12775	-0.3071366548538208	-0.110391974	No	
row_102	EPCAM	13160	-0.3711257576942444	-0.12790284	No	
row_103	IRF1	13392	-0.40772852301597595	-0.13728772	No	
row_104	NUP58	13741	-0.4670610725879669	-0.15234269	No	
row_105	MGAT1	13814	-0.4822213649749756	-0.15305586	No	
row_106	PLCL1	13825	-0.48452916741371155	-0.15055417	No	
row_107	BMP2	13868	-0.4929310083389282	-0.14965202	No	
row_108	GCH1	13928	-0.5027791857719421	-0.14956608	No	
row_109	POLG2	14017	-0.519863486289978	-0.15087074	No	
row_110	FURIN	14055	-0.5279603004455566	-0.1494923	No	
row_111	CDC34	14272	-0.5664229989051819	-0.15711443	No	
row_112	ATP6V1F	14785	-0.6717801690101624	-0.17936014	No	
row_113	SLC25A4	15017	-0.7198477983474731	-0.18680097	No	
row_114	SULT1A1	15176	-0.7578954100608826	-0.19023651	No	
