NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAG2	285	4.003252029418945	0.07761197	Yes	
row_1	WNT5B	577	3.150585174560547	0.13526942	Yes	
row_2	TP53	860	2.7336485385894775	0.18378206	Yes	
row_3	NOTCH4	1055	2.5188698768615723	0.23186268	Yes	
row_4	CCND2	1340	2.252671957015991	0.26919034	Yes	
row_5	NCSTN	2013	1.856664776802063	0.2774787	Yes	
row_6	FZD1	2847	1.4994516372680664	0.26927277	Yes	
row_7	DKK4	3015	1.441735029220581	0.29392064	Yes	
row_8	LEF1	3100	1.4100145101547241	0.32209775	Yes	
row_9	AXIN2	3598	1.260725736618042	0.3256371	Yes	
row_10	NCOR2	4781	0.958598792552948	0.28705618	No	
row_11	FRAT1	5247	0.8660881519317627	0.283145	No	
row_12	WNT6	6267	0.6744222044944763	0.24638255	No	
row_13	HEY1	6324	0.6632195711135864	0.2587897	No	
row_14	HEY2	7209	0.5145277976989746	0.22527218	No	
row_15	MYC	7711	0.43410974740982056	0.2095599	No	
row_16	NOTCH1	7977	0.3947800099849701	0.20505455	No	
row_17	AXIN1	8526	0.3188168406486511	0.18427342	No	
row_18	GNAI1	9546	0.16915778815746307	0.13586903	No	
row_19	DLL1	9676	0.15136751532554626	0.13273557	No	
row_20	CUL1	9729	0.14347703754901886	0.13337247	No	
row_21	DVL2	9876	0.11948550492525101	0.12863186	No	
row_22	PSEN2	10160	0.08247456699609756	0.116006695	No	
row_23	NUMB	10493	0.03470505774021149	0.09976585	No	
row_24	DKK1	10593	0.0204069335013628	0.0951547	No	
row_25	HDAC2	11303	-0.07848277688026428	0.060572345	No	
row_26	MAML1	11579	-0.11765675991773605	0.049168438	No	
row_27	KAT2A	11872	-0.160073384642601	0.037869312	No	
row_28	TCF7	12047	-0.19082385301589966	0.033335276	No	
row_29	RBPJ	12299	-0.22743721306324005	0.025692698	No	
row_30	ADAM17	12633	-0.2861989438533783	0.015195267	No	
row_31	SKP2	13614	-0.44383516907691956	-0.024878459	No	
row_32	HDAC11	13791	-0.4779129922389984	-0.022900242	No	
row_33	PTCH1	14418	-0.5922820568084717	-0.041383874	No	
row_34	JAG1	14714	-0.6565540432929993	-0.041397426	No	
row_35	HDAC5	15698	-0.8903054594993591	-0.07133788	No	
row_36	PPARD	17024	-1.3355369567871094	-0.108573385	No	
row_37	WNT1	17176	-1.3982120752334595	-0.084107116	No	
row_38	CTNNB1	17713	-1.67987060546875	-0.07291189	No	
row_39	FZD8	18239	-2.0350546836853027	-0.052968167	No	
row_40	CSNK1E	18470	-2.2605154514312744	-0.012688132	No	
row_41	NKD1	18968	-2.896333694458008	0.028537724	No	
