NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBLN1	34	6.524417400360107	0.02575207	Yes	
row_1	CES1	100	5.139557838439941	0.04406068	Yes	
row_2	ASL	223	4.264429092407227	0.055729926	Yes	
row_3	SLC22A1	304	3.927546739578247	0.06815178	Yes	
row_4	SAR1B	352	3.7376129627227783	0.0814802	Yes	
row_5	GSTT2	438	3.449418306350708	0.09162724	Yes	
row_6	UPB1	464	3.406571865081787	0.10469808	Yes	
row_7	CYP27A1	474	3.381990432739258	0.118493125	Yes	
row_8	SERTAD1	635	3.048768997192383	0.12307018	Yes	
row_9	PAPSS2	669	3.004544496536255	0.13403188	Yes	
row_10	SLC12A4	741	2.8887290954589844	0.14253905	Yes	
row_11	FMO1	1052	2.524709939956665	0.13714516	Yes	
row_12	SLC35D1	1213	2.3599820137023926	0.13881785	Yes	
row_13	TNFRSF1A	1229	2.3501322269439697	0.14795144	Yes	
row_14	PYCR1	1306	2.2837090492248535	0.15364875	Yes	
row_15	LONP1	1311	2.2776520252227783	0.16304587	Yes	
row_16	PDK4	1375	2.230175256729126	0.16919008	Yes	
row_17	TDO2	1377	2.22982120513916	0.17854074	Yes	
row_18	CCL25	1392	2.2154829502105713	0.18715832	Yes	
row_19	COMT	1528	2.1285276412963867	0.18914855	Yes	
row_20	DHPS	1594	2.087800979614258	0.19458893	Yes	
row_21	ACOX1	1671	2.0407698154449463	0.19926184	Yes	
row_22	CD36	1672	2.0397210121154785	0.20786266	Yes	
row_23	CASP6	1831	1.9567700624465942	0.20793861	Yes	
row_24	HSD11B1	1903	1.9213281869888306	0.21236658	Yes	
row_25	FAH	1919	1.912343978881836	0.21965417	Yes	
row_26	ADH5	1966	1.8876910209655762	0.22523384	Yes	
row_27	CAT	2027	1.8503695726394653	0.22993176	Yes	
row_28	ALDH9A1	2180	1.7764325141906738	0.22955774	Yes	
row_29	SMOX	2217	1.756801962852478	0.23510289	Yes	
row_30	ABCD2	2263	1.7406002283096313	0.24011406	Yes	
row_31	ANGPTL3	2294	1.727213740348816	0.24584492	Yes	
row_32	DCXR	2344	1.7090022563934326	0.25051588	Yes	
row_33	ADH7	2390	1.69041907787323	0.25531545	Yes	
row_34	GCLC	2395	1.6849249601364136	0.26221326	Yes	
row_35	AQP9	2413	1.6767220497131348	0.26840383	Yes	
row_36	ACO2	2440	1.663367748260498	0.27407244	Yes	
row_37	PGRMC1	2497	1.636662483215332	0.27807617	Yes	
row_38	PROS1	2501	1.6357039213180542	0.28481817	Yes	
row_39	VTN	2703	1.5574487447738647	0.28098544	No	
row_40	IL1R1	2818	1.5100462436676025	0.28145432	No	
row_41	NINJ1	2974	1.456477403640747	0.2795759	No	
row_42	GAD1	3163	1.3894922733306885	0.2757076	No	
row_43	CNDP2	3197	1.3786650896072388	0.27981353	No	
row_44	EPHX1	3306	1.348164439201355	0.27991024	No	
row_45	SLC1A5	3475	1.3005728721618652	0.2767018	No	
