NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.337744	-1.2725087	0.09350649	0.7496245	0.669	4082	tags=37%, list=21%, signal=46%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	-0.3217414	-1.2658213	0.11357341	0.39992303	0.696	2903	tags=23%, list=15%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	194	-0.27920344	-1.2516991	0.044217687	0.29730818	0.737	3079	tags=18%, list=16%, signal=21%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	195	-0.24963813	-1.1235942	0.14603175	0.59281456	0.961	4823	tags=31%, list=25%, signal=41%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	133	-0.254475	-1.0949202	0.24842767	0.5847222	0.984	3297	tags=23%, list=17%, signal=28%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	108	-0.26246148	-1.077325	0.27327326	0.54831064	0.993	2215	tags=13%, list=11%, signal=15%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	189	-0.22640748	-1.0184436	0.41612902	0.6921807	0.998	2265	tags=14%, list=12%, signal=16%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	38	-0.2938742	-0.98755294	0.47043702	0.72739464	1.0	1480	tags=13%, list=8%, signal=14%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	195	-0.21637776	-0.98076636	0.48630136	0.6717574	1.0	3918	tags=27%, list=20%, signal=34%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	153	-0.21225445	-0.9286104	0.6561514	0.7762677	1.0	3716	tags=24%, list=19%, signal=29%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	197	-0.19635628	-0.8956252	0.8291815	0.80598474	1.0	4907	tags=28%, list=25%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	197	-0.19625658	-0.89212555	0.7758621	0.7480697	1.0	2991	tags=18%, list=15%, signal=21%	
