NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MS4A1	4	3.9115684032440186	0.0661319	Yes	
row_1	VAV3	144	2.5204710960388184	0.10173662	Yes	
row_2	GCSAM	330	2.123744249343872	0.12825003	Yes	
row_3	FOXP1	337	2.1142990589141846	0.1637988	Yes	
row_4	PLCG2	377	2.063727617263794	0.19679464	Yes	
row_5	FCGR2B	661	1.8218951225280762	0.2131545	Yes	
row_6	CD300A	876	1.6824438571929932	0.23069401	Yes	
row_7	PTPRC	902	1.6695338487625122	0.2577238	Yes	
row_8	CD22	1028	1.6042662858963013	0.27850956	Yes	
row_9	MEF2C	1080	1.5799052715301514	0.30268365	Yes	
row_10	CTLA4	1089	1.5754213333129883	0.3289907	Yes	
row_11	TEC	1241	1.5159952640533447	0.34694377	Yes	
row_12	LAT2	1275	1.5037364959716797	0.37075078	Yes	
row_13	PTPN6	1927	1.2838600873947144	0.3590812	Yes	
row_14	BLNK	1966	1.2752044200897217	0.37875563	Yes	
row_15	IGLL5	2047	1.2530826330184937	0.3958973	Yes	
row_16	LPXN	2060	1.2499167919158936	0.4164785	Yes	
row_17	IGLL1	2062	1.2495421171188354	0.43761846	Yes	
row_18	BLK	2171	1.224919319152832	0.45284408	Yes	
row_19	NCKAP1L	2255	1.2069259881973267	0.46904886	Yes	
row_20	ELF1	2518	1.1482274532318115	0.47506258	Yes	
row_21	CD79A	2526	1.146765112876892	0.4941513	Yes	
row_22	NFATC2	2546	1.1421103477478027	0.51254463	Yes	
row_23	BAX	2749	1.098289132118225	0.52079374	Yes	
row_24	STAP1	2762	1.096034288406372	0.53876525	Yes	
row_25	BTK	2772	1.0932613611221313	0.5568438	Yes	
row_26	PIK3CD	3107	1.0302042961120605	0.5571572	Yes	
row_27	MNDA	3634	0.934425413608551	0.5459829	No	
row_28	RFTN1	4154	0.8515552282333374	0.5337628	No	
row_29	ITK	4547	0.7936041951179504	0.5270841	No	
row_30	PRKCH	4666	0.7757502198219299	0.5341784	No	
row_31	CD19	5258	0.6899522542953491	0.51551884	No	
row_32	SYK	5725	0.6284558773040771	0.50223786	No	
row_33	ELF2	6039	0.5888546109199524	0.4961451	No	
row_34	SH2B2	6076	0.5846297740936279	0.5042106	No	
row_35	CD38	6867	0.4888254404067993	0.47191715	No	
row_36	KLHL6	7085	0.45959484577178955	0.4685639	No	
row_37	LCK	7414	0.421114057302475	0.4588558	No	
row_38	ABL1	7989	0.35635247826576233	0.435412	No	
row_39	PAX5	9035	0.24364012479782104	0.3858606	No	
row_40	MAPK1	9164	0.2289305478334427	0.38316754	No	
row_41	CD79B	9178	0.22605179250240326	0.38633338	No	
row_42	PLEKHA1	9762	0.16406412422657013	0.35916612	No	
row_43	LYN	10064	0.13239121437072754	0.34594852	No	
row_44	NFAM1	10304	0.1043182760477066	0.33543986	No	
row_45	PRKCB	10767	0.05447966232895851	0.31263012	No	
row_46	RUNX1	10936	0.03505365550518036	0.30459416	No	
row_47	BCL2	11475	-0.02485339529812336	0.27737772	No	
row_48	BMX	11626	-0.04163546487689018	0.27037808	No	
row_49	PTPN22	13363	-0.26056358218193054	0.18561593	No	
row_50	GCSAML	14669	-0.43134966492652893	0.12589134	No	
row_51	SLC39A10	14747	-0.44039371609687805	0.12940449	No	
row_52	PLCL2	14903	-0.46379002928733826	0.12930743	No	
row_53	FCRL3	15129	-0.4968594014644623	0.1261752	No	
row_54	CD81	15601	-0.5723432898521423	0.111685686	No	
row_55	CMTM3	16715	-0.7582868933677673	0.06736907	No	
row_56	CBFB	18275	-1.1677801609039307	0.007085425	No	
row_57	BCAR1	18653	-1.3292427062988281	0.010261323	No	
row_58	GPS2	19375	-2.0302727222442627	0.007654348	No	
