NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL13	125	2.557304620742798	0.0703441	Yes	
row_1	CCRL2	209	2.3704659938812256	0.13723543	Yes	
row_2	CCL2	288	2.1918070316314697	0.19902082	Yes	
row_3	CCL21	478	1.9571301937103271	0.24806617	Yes	
row_4	STAT1	797	1.735872745513916	0.28385058	Yes	
row_5	DEFB4A	864	1.6871141195297241	0.33110318	Yes	
row_6	CCL23	1082	1.578978419303894	0.3673613	Yes	
row_7	CCL3L3	1629	1.3778756856918335	0.38070017	Yes	
row_8	CCR2	1915	1.2858527898788452	0.40467048	Yes	
row_9	CCL25	1973	1.2726995944976807	0.4399461	Yes	
row_10	CCL3	1998	1.2655746936798096	0.47670126	Yes	
row_11	XCL2	2116	1.2385493516921997	0.5078729	Yes	
row_12	DEFB103A	2431	1.1660526990890503	0.52675915	Yes	
row_13	CCL24	2519	1.1482081413269043	0.55675864	Yes	
row_14	CX3CL1	2583	1.13361394405365	0.5875516	Yes	
row_15	CCL5	6108	0.57988440990448	0.42411858	No	
row_16	CCL19	6227	0.5640504360198975	0.43499348	No	
row_17	CCL26	6716	0.5062305927276611	0.4251459	No	
row_18	CCL8	7581	0.40142184495925903	0.3928575	No	
row_19	CCL17	7632	0.39564764499664307	0.4021672	No	
row_20	CCL20	8279	0.3227818012237549	0.37870535	No	
row_21	CCL7	8439	0.3055104613304138	0.3797161	No	
row_22	XCL1	9305	0.2117549329996109	0.34168345	No	
row_23	CCL16	9706	0.1689119189977646	0.3262269	No	
row_24	MSMP	11359	-0.011835937388241291	0.2418077	No	
row_25	CCL14	11745	-0.05515574291348457	0.22370645	No	
row_26	NES	12404	-0.13475610315799713	0.19398512	No	
row_27	CCL18	13226	-0.24092145264148712	0.15908584	No	
row_28	CCL1	13262	-0.246082603931427	0.16467604	No	
row_29	CCL22	13406	-0.26546338200569153	0.16530582	No	
row_30	DEFB1	13845	-0.32447484135627747	0.15256855	No	
row_31	CCL27	14268	-0.3786608874797821	0.14227876	No	
row_32	CNIH4	15414	-0.5403822064399719	0.09974145	No	
row_33	CCL11	15754	-0.5943287014961243	0.10018428	No	
row_34	STAT3	16073	-0.6446627378463745	0.10321554	No	
row_35	DEFB106A	16624	-0.7394430637359619	0.097186305	No	
row_36	DEFB106B	16767	-0.7691228985786438	0.112984955	No	
row_37	CCL13	17549	-0.9476064443588257	0.10134978	No	
