NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	27	3.190079689025879	0.06664273	Yes	
row_1	COL3A1	82	2.7318689823150635	0.12212747	Yes	
row_2	COL12A1	336	2.115765333175659	0.15425436	Yes	
row_3	COL11A1	349	2.0983986854553223	0.19838703	Yes	
row_4	COLGALT1	351	2.0951571464538574	0.24301544	Yes	
row_5	DPT	403	2.039984703063965	0.28389964	Yes	
row_6	EMILIN1	479	1.957115650177002	0.32178414	Yes	
row_7	AEBP1	820	1.7127918004989624	0.3408498	Yes	
row_8	COL5A1	1117	1.5682259798049927	0.3590921	Yes	
row_9	COL1A1	1129	1.5624456405639648	0.39184675	Yes	
row_10	LOXL1	1201	1.5309908390045166	0.42084944	Yes	
row_11	COL5A2	1242	1.5149483680725098	0.451102	Yes	
row_12	FOXC2	1399	1.4564810991287231	0.47415075	Yes	
row_13	GREM1	1487	1.4254480600357056	0.50008106	Yes	
row_14	SERPINH1	2514	1.1493778228759766	0.4719035	Yes	
row_15	VIPAS39	2985	1.0535539388656616	0.47023484	Yes	
row_16	CRTAP	3119	1.0277009010314941	0.48532084	Yes	
row_17	SCX	3301	0.995266318321228	0.49725023	Yes	
row_18	COL14A1	3761	0.9149348139762878	0.49319035	Yes	
row_19	COL13A1	4360	0.8197061419487	0.4799616	Yes	
row_20	SERPINF2	4423	0.8123883605003357	0.49410212	Yes	
row_21	P3H4	4877	0.7418683767318726	0.48665968	Yes	
row_22	COL5A3	4943	0.7334181070327759	0.49896204	Yes	
row_23	ADAMTS14	5077	0.7148628234863281	0.50737673	Yes	
row_24	FOXC1	5190	0.6977091431617737	0.516504	Yes	
row_25	COMP	5232	0.6930931806564331	0.5291789	Yes	
row_26	DDR2	5309	0.6831021308898926	0.5398434	Yes	
row_27	TNXB	5402	0.6708852052688599	0.5494257	Yes	
row_28	ADAMTS3	5574	0.6476684212684631	0.554456	Yes	
row_29	PXDN	5700	0.6315187811851501	0.5615042	Yes	
row_30	ACAN	6155	0.5733517408370972	0.5504167	No	
row_31	CYP1B1	6856	0.49048617482185364	0.5249292	No	
row_32	FMOD	6990	0.47047659754753113	0.5281323	No	
row_33	CHADL	7746	0.38259825110435486	0.49751967	No	
row_34	MMP11	8552	0.29577121138572693	0.4624878	No	
row_35	LOXL3	8849	0.26368892192840576	0.45291048	No	
row_36	SFRP2	9185	0.22476714849472046	0.44050038	No	
row_37	ANXA2	10130	0.12468519806861877	0.39468196	No	
row_38	LOXL4	10290	0.10639629513025284	0.38878572	No	
row_39	LOX	10376	0.09746148437261581	0.3864991	No	
row_40	ADAMTS2	10626	0.07001204788684845	0.3752052	No	
row_41	OPTC	11301	-0.006173707079142332	0.34072483	No	
row_42	COL1A2	11461	-0.023740621283650398	0.33306596	No	
row_43	COL2A1	12409	-0.13524867594242096	0.2873187	No	
row_44	PLOD3	12560	-0.1532987505197525	0.2828849	No	
row_45	COL11A2	12930	-0.2011621743440628	0.2682254	No	
row_46	P4HA1	13314	-0.2530272305011749	0.253953	No	
row_47	RB1	14981	-0.4756767153739929	0.17854258	No	
row_48	TGFB2	15391	-0.537352979183197	0.16899833	No	
row_49	NF1	15423	-0.5411891937255859	0.17894739	No	
row_50	TGFBR1	16041	-0.6407532095909119	0.16092671	No	
row_51	ATP7A	17088	-0.8386671543121338	0.12509611	No	
