NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL17	1055	1.592727541923523	-0.02027895	No	
row_1	RPS4Y1	1952	1.279483437538147	-0.03906541	No	
row_2	SSR3	1963	1.2765369415283203	-0.012310531	No	
row_3	SEC61A2	2970	1.0552805662155151	-0.041548382	No	
row_4	RPS9	3071	1.0372910499572754	-0.024536805	No	
row_5	TRAM1L1	3750	0.9163079857826233	-0.03986056	No	
row_6	RPL5	5502	0.6561009287834167	-0.115972474	No	
row_7	RPLP0	5962	0.5990049839019775	-0.12680213	No	
row_8	SRP68	7041	0.4637097716331482	-0.1723832	No	
row_9	RPS19	7264	0.43927717208862305	-0.1744261	No	
row_10	RPS15	7500	0.41280800104141235	-0.17770356	No	
row_11	RPL29	7798	0.37591323256492615	-0.18496045	No	
row_12	RPL28	8438	0.3055267035961151	-0.21132442	No	
row_13	RPL10	8609	0.2907995283603668	-0.21386257	No	
row_14	TRAM1	8635	0.28820234537124634	-0.20899275	No	
row_15	RPL10A	8777	0.27184978127479553	-0.210443	No	
row_16	RPS27A	9211	0.2211005687713623	-0.22800724	No	
row_17	RPS25	9879	0.15232843160629272	-0.25908506	No	
row_18	RPS2	9933	0.14735202491283417	-0.25866532	No	
row_19	RPS7	10095	0.12781383097171783	-0.26422197	No	
row_20	SRP9	10230	0.11415108293294907	-0.2686807	No	
row_21	RPL15	10321	0.10216929018497467	-0.27113062	No	
row_22	RPL39	10323	0.10208914428949356	-0.26900128	No	
row_23	RPS3	10365	0.09900972247123718	-0.26899657	No	
row_24	SRP72	11007	0.026535898447036743	-0.3014233	No	
row_25	RPL36A	11041	0.02299381047487259	-0.3026307	No	
row_26	RPL18	11246	-1.4717657177243382E-4	-0.31312785	No	
row_27	SEC61B	11338	-0.010531270876526833	-0.31758684	No	
row_28	RPL35A	11416	-0.018161509186029434	-0.32116222	No	
row_29	RPL12	11604	-0.04028676077723503	-0.3299269	No	
row_30	SEC63	11670	-0.04608353227376938	-0.33228815	No	
row_31	RPL4	11684	-0.04805336892604828	-0.33193076	No	
row_32	RPS16	11789	-0.0620315782725811	-0.33595872	No	
row_33	ZFAND2B	12028	-0.09094084054231644	-0.3462664	No	
row_34	RPL18A	12108	-0.09986110031604767	-0.34819943	No	
row_35	RPL27	12281	-0.12159963697195053	-0.354455	No	
row_36	RPL41	12511	-0.1478022038936615	-0.36308473	No	
row_37	SEC61A1	12535	-0.15081708133220673	-0.36104682	No	
row_38	SRP19	12716	-0.173099085688591	-0.366614	No	
row_39	RPL27A	12870	-0.19102461636066437	-0.37040856	Yes	
row_40	RPS24	12902	-0.19634869694709778	-0.36780977	Yes	
row_41	RPS28	12978	-0.20884588360786438	-0.36720878	Yes	
row_42	SEC62	12998	-0.21216383576393127	-0.36365446	Yes	
row_43	RPS3A	13025	-0.2164345532655716	-0.3603692	Yes	
row_44	RPS21	13073	-0.22355177998542786	-0.35801286	Yes	
row_45	RPS15A	13077	-0.22430548071861267	-0.3533756	Yes	
row_46	RPS13	13185	-0.2354162186384201	-0.35385412	Yes	
row_47	SRP54	13295	-0.25025948882102966	-0.3541185	Yes	
row_48	RPL3	13403	-0.2650648355484009	-0.35396367	Yes	
row_49	RPS18	13482	-0.27701717615127563	-0.3520608	Yes	
row_50	RPL13A	13681	-0.3055819272994995	-0.3557244	Yes	
row_51	RPL21	13757	-0.31470876932144165	-0.35286194	Yes	
row_52	RPL35	13775	-0.31713223457336426	-0.34696233	Yes	
row_53	RPS11	13787	-0.3183358311653137	-0.34072816	Yes	
row_54	RPL30	13852	-0.32500264048576355	-0.3370796	Yes	
row_55	RPL8	14039	-0.34667935967445374	-0.3392476	Yes	
row_56	RPS8	14057	-0.34904715418815613	-0.33266622	Yes	
row_57	RPL14	14217	-0.37288084626197815	-0.33288476	Yes	
row_58	SRP14	14263	-0.3776295781135559	-0.327134	Yes	
row_59	RPSA	14468	-0.4045408368110657	-0.32899246	Yes	
row_60	RPL38	14634	-0.42612096667289734	-0.32838246	Yes	
row_61	RPL19	14722	-0.4379191994667053	-0.32350564	Yes	
row_62	RPL23A	14952	-0.47155657410621643	-0.32521927	Yes	
row_63	SSR2	15011	-0.48047107458114624	-0.31794077	Yes	
row_64	RPS4X	15016	-0.4808465540409088	-0.3078747	Yes	
row_65	RPL32	15140	-0.4979512393474579	-0.30356848	Yes	
row_66	RPL24	15167	-0.5021613836288452	-0.2941795	Yes	
row_67	RPS27	15183	-0.5049121975898743	-0.28416556	Yes	
row_68	RPS6	15345	-0.530263364315033	-0.28112498	Yes	
row_69	RPS20	15353	-0.531566321849823	-0.27012986	Yes	
row_70	RPS14	15527	-0.5568827390670776	-0.26713833	Yes	
row_71	RPL31	15574	-0.5674903392791748	-0.25738323	Yes	
row_72	RPLP2	15842	-0.6078853011131287	-0.2581405	Yes	
row_73	RPL11	15967	-0.6300725936889648	-0.25106335	Yes	
row_74	RPLP1	15979	-0.6323626637458801	-0.23812088	Yes	
row_75	RPS29	16016	-0.6375791430473328	-0.22635381	Yes	
row_76	RPL37A	16037	-0.6400124430656433	-0.2137112	Yes	
row_77	RPL26	16135	-0.6525666117668152	-0.20476376	Yes	
row_78	TRAM2	16215	-0.665172815322876	-0.19462052	Yes	
row_79	RPL37	16238	-0.6702895164489746	-0.18143407	Yes	
row_80	ARL6IP1	16290	-0.6792812347412109	-0.16954821	Yes	
row_81	RPS5	16420	-0.7017074823379517	-0.16119812	Yes	
row_82	RPL9	16570	-0.7291791439056396	-0.15329061	Yes	
row_83	RPS17	16656	-0.7450154423713684	-0.1417506	Yes	
row_84	RPS10	16661	-0.7458808422088623	-0.12602285	Yes	
row_85	UBA52	16774	-0.7702814340591431	-0.11533284	Yes	
row_86	RPL13	16804	-0.776203453540802	-0.10024414	Yes	
row_87	RPS23	16875	-0.7919613718986511	-0.08692918	Yes	
row_88	RPL7A	17087	-0.8382863998413086	-0.079882175	Yes	
row_89	SSR1	17145	-0.8504630923271179	-0.064648345	Yes	
row_90	RPL6	17289	-0.8870638608932495	-0.053059246	Yes	
row_91	RPL22	17740	-0.9945634007453918	-0.05497566	Yes	
row_92	RPL23	18206	-1.1429022550582886	-0.054495316	Yes	
row_93	RPL7	18290	-1.1731702089309692	-0.03370604	Yes	
row_94	RPL34	18302	-1.1771138906478882	-0.0091265235	Yes	
row_95	RPS26	19158	-1.6790086030960083	-0.017267901	Yes	
row_96	RPS12	19170	-1.6878029108047485	0.018221037	Yes	
