NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	11	3.5126025676727295	0.027623706	Yes	
row_1	TGFBR3	20	3.284787893295288	0.053573757	Yes	
row_2	TWSG1	29	3.1716506481170654	0.07861581	Yes	
row_3	CCR7	35	3.056513547897339	0.10288852	Yes	
row_4	CXCR4	103	2.636068105697632	0.12058952	Yes	
row_5	TNFRSF14	145	2.519808053970337	0.13869828	Yes	
row_6	CCRL2	209	2.3704659938812256	0.15447392	Yes	
row_7	CD36	217	2.34806752204895	0.17295773	Yes	
row_8	IL13RA1	225	2.3174476623535156	0.1911958	Yes	
row_9	CXCR3	277	2.211371898651123	0.20631346	Yes	
row_10	CCR5	356	2.0851359367370605	0.21902558	Yes	
row_11	IL18BP	384	2.0601890087127686	0.23416758	Yes	
row_12	ENG	402	2.0400924682617188	0.24966398	Yes	
row_13	IL10RA	518	1.9190962314605713	0.25913543	Yes	
row_14	IL18R1	734	1.7698631286621094	0.26225212	Yes	
row_15	IL1R1	950	1.642816424369812	0.26434922	Yes	
row_16	IL2RG	1042	1.599661111831665	0.27249467	Yes	
row_17	TNFRSF1B	1044	1.5984712839126587	0.28527188	Yes	
row_18	ACKR4	1097	1.5736345052719116	0.2952197	Yes	
row_19	ACVRL1	1214	1.5265201330184937	0.30148888	Yes	
row_20	CCR1	1376	1.46505868434906	0.30494416	Yes	
row_21	GBP1	1397	1.4565538167953491	0.31560254	Yes	
row_22	LRRC32	1415	1.4510596990585327	0.32637158	Yes	
row_23	NOG	1419	1.449661135673523	0.33785138	Yes	
row_24	IL6R	1426	1.4475330114364624	0.34915936	Yes	
row_25	CSF1R	1446	1.4406805038452148	0.35974196	Yes	
row_26	GREM1	1487	1.4254480600357056	0.36911932	Yes	
row_27	TNFRSF1A	1682	1.358900785446167	0.37002075	Yes	
row_28	CCR10	1840	1.304937720298767	0.3723972	Yes	
row_29	IFNAR1	1849	1.3022819757461548	0.38243634	Yes	
row_30	CCR2	1915	1.2858527898788452	0.3894041	Yes	
row_31	LEPR	1996	1.2656337022781372	0.39543602	Yes	
row_32	WFIKKN1	2079	1.2468035221099854	0.40121368	Yes	
row_33	TGFBR2	2278	1.2023708820343018	0.4006526	Yes	
row_34	NRP2	2304	1.1955264806747437	0.40895823	Yes	
row_35	EBI3	2372	1.177944540977478	0.4149568	Yes	
row_36	IL12B	2445	1.1624990701675415	0.42057356	Yes	
row_37	CCR9	2517	1.1489036083221436	0.4261328	Yes	
row_38	NBL1	2651	1.1184741258621216	0.42825046	Yes	
row_39	CSF2RA	2851	1.077908992767334	0.4266389	Yes	
row_40	ZFP36	2855	1.0772311687469482	0.43512967	Yes	
row_41	THBS1	2957	1.0578911304473877	0.43841136	Yes	
row_42	TNFRSF9	3033	1.0435930490493774	0.44291914	Yes	
row_43	IL11RA	3040	1.0426390171051025	0.45097756	Yes	
row_44	A2M	3064	1.0387321710586548	0.45812798	Yes	
row_45	LTBP1	3112	1.0293998718261719	0.4639658	Yes	
row_46	COPS5	3321	0.990334153175354	0.46118724	Yes	
row_47	CCR6	3356	0.9849197864532471	0.4673385	Yes	
row_48	TCAP	3504	0.9570003151893616	0.46743822	Yes	
row_49	ELANE	3514	0.9554942846298218	0.47464257	Yes	
row_50	IL2RB	3924	0.8856756091117859	0.46065846	Yes	
row_51	IL3RA	4094	0.8590316772460938	0.4588374	Yes	
row_52	IFNGR1	4208	0.8426011204719543	0.45977238	Yes	
row_53	SOSTDC1	4223	0.8397225737571716	0.4657897	Yes	
row_54	VASN	4656	0.7772677540779114	0.44974944	Yes	
row_55	ACKR1	4699	0.7717936635017395	0.45377764	Yes	
row_56	LTBP3	4745	0.7650934457778931	0.45759737	Yes	
row_57	HAX1	4761	0.7627324461936951	0.46294525	Yes	
row_58	GREM2	4897	0.7385608553886414	0.4619107	Yes	
row_59	CSF3R	4937	0.7339193820953369	0.46578965	Yes	
row_60	ITGAV	4947	0.7330273985862732	0.47120854	Yes	
row_61	OSMR	4975	0.7281754016876221	0.47566023	Yes	
row_62	NRROS	5017	0.7216494083404541	0.47933757	Yes	
row_63	IL5RA	5097	0.7110605835914612	0.48097026	Yes	
row_64	COMP	5232	0.6930931806564331	0.47962236	Yes	
row_65	ITGA4	5325	0.6807054877281189	0.48034102	Yes	
row_66	CCR4	5329	0.6802525520324707	0.4856458	Yes	
row_67	IL1RL1	5494	0.6571580171585083	0.48246238	No	
row_68	PXDN	5700	0.6315187811851501	0.47695884	No	
row_69	TMC8	5868	0.6101637482643127	0.47324356	No	
row_70	TNFRSF11A	6114	0.5785653591156006	0.46525222	No	
row_71	IL20RB	6128	0.5769069790840149	0.46921185	No	
row_72	CD109	6284	0.556480884552002	0.4656846	No	
row_73	IL22RA2	6341	0.5505606532096863	0.46721527	No	
row_74	IL12A	6617	0.5186172723770142	0.45719567	No	
row_75	FGF2	6781	0.4986244738101959	0.4527915	No	
row_76	TGFB3	6889	0.48567500710487366	0.45117134	No	
row_77	IL17F	6927	0.4797498881816864	0.45311356	No	
row_78	CRLF2	7086	0.4595247805118561	0.44865346	No	
row_79	ACVR1	7341	0.42987409234046936	0.4390046	No	
row_80	TGFBR3L	7651	0.39363837242126465	0.42622858	No	
row_81	IL12RB2	8218	0.3292011022567749	0.39968187	No	
row_82	NLRP7	8374	0.3123466670513153	0.39419526	No	
row_83	UCMA	8768	0.27382853627204895	0.37612578	No	
row_84	IL36RN	8965	0.2531810700893402	0.36804992	No	
row_85	CXCR5	9226	0.22031034529209137	0.3564098	No	
row_86	WFIKKN2	9227	0.22028835117816925	0.35817775	No	
row_87	IL2RA	9317	0.21075326204299927	0.35527942	No	
row_88	IL6ST	9493	0.19168579578399658	0.347793	No	
row_89	IL20RA	9777	0.16253110766410828	0.33450305	No	
row_90	IL1RN	10152	0.12131717056035995	0.3161894	No	
row_91	LIFR	10197	0.11704476177692413	0.31485966	No	
row_92	ITGB1	10352	0.09966958314180374	0.30771774	No	
row_93	CER1	10430	0.09163748472929001	0.30448228	No	
row_94	HYAL2	10438	0.09065787494182587	0.30484888	No	
row_95	IL13RA2	10482	0.08622127026319504	0.30332336	No	
row_96	LTBP4	10800	0.0503472164273262	0.28737962	No	
row_97	PLP2	10965	0.03137839585542679	0.27917394	No	
row_98	ACKR2	11210	0.004388970788568258	0.266626	No	
row_99	NRP1	11244	2.594261022750288E-4	0.26492625	No	
row_100	CXCR2	11650	-0.04381418600678444	0.24439192	No	
row_101	PDPN	11985	-0.08565826714038849	0.2278549	No	
row_102	ITGB3	12050	-0.0931873470544815	0.22530228	No	
row_103	TRIM16	12106	-0.09968269616365433	0.22326595	No	
row_104	CX3CR1	12612	-0.1589168906211853	0.19849834	No	
row_105	FZD4	12896	-0.195193350315094	0.1854705	No	
row_106	CHRD	13040	-0.21794746816158295	0.17984512	No	
row_107	IL12RB1	13349	-0.2590964138507843	0.16604088	No	
row_108	KLHL20	13484	-0.277240127325058	0.1613555	No	
row_109	CXCR6	13666	-0.3026777505874634	0.15445046	No	
row_110	BMPR2	13792	-0.31878241896629333	0.15056261	No	
row_111	IL22RA1	13866	-0.32618093490600586	0.14941579	No	
row_112	PRLR	14165	-0.36591729521751404	0.13698457	No	
row_113	IL23R	14248	-0.37644267082214355	0.13577701	No	
row_114	IL27RA	14338	-0.38820523023605347	0.13430285	No	
row_115	CD4	14738	-0.4396440088748932	0.11725474	No	
row_116	CNTFR	14978	-0.4746040403842926	0.108738445	No	
row_117	TRAF2	15247	-0.5155600905418396	0.09905532	No	
row_118	CCR8	15314	-0.5252564549446106	0.09986721	No	
row_119	TGFBR1	16041	-0.6407532095909119	0.06756963	No	
row_120	XCR1	16144	-0.654245913028717	0.06756022	No	
row_121	IL1R2	16167	-0.6585236191749573	0.071710765	No	
row_122	IL31RA	16491	-0.7135641574859619	0.06078038	No	
row_123	SPINT3	16527	-0.7217366695404053	0.06476784	No	
row_124	HMGB1	16577	-0.7309632301330566	0.06810736	No	
row_125	GDF5	16763	-0.7677707076072693	0.06472872	No	
row_126	SOST	16960	-0.8109480738639832	0.06112934	No	
row_127	CRLF1	17279	-0.8832560777664185	0.0518187	No	
row_128	CXCR1	17992	-1.0769885778427124	0.023744185	No	
row_129	PARK7	18050	-1.0929720401763916	0.029576508	No	
row_130	CCR3	18492	-1.2605489492416382	0.016950743	No	
row_131	ACKR3	18701	-1.3658480644226074	0.01718596	No	
row_132	GHR	18873	-1.4593315124511719	0.020079546	No	
row_133	KIT	19155	-1.6747777462005615	0.019029496	No	
