NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYNC1LI1	3574	0.9460927844047546	-0.13210942	No	
row_1	TOPORS	9909	0.14954890310764313	-0.44878042	No	
row_2	TPR	12270	-0.12017060071229935	-0.5632862	No	
row_3	DYNC1I1	13405	-0.26545828580856323	-0.6070804	No	
row_4	DCTN4	14142	-0.36253291368484497	-0.62522185	No	
row_5	DYNLL2	14609	-0.42312079668045044	-0.62624526	No	
row_6	TCTEX1D2	16444	-0.7056428790092468	-0.6821382	Yes	
row_7	DYNC2LI1	16445	-0.7058306336402893	-0.643989	Yes	
row_8	NUDCD3	16789	-0.7736595273017883	-0.6197599	Yes	
row_9	DYNLL1	16833	-0.7836802005767822	-0.5796077	Yes	
row_10	DYNC1I2	16929	-0.8038540482521057	-0.5410313	Yes	
row_11	DYNC2H1	17177	-0.8587577939033508	-0.50728065	Yes	
row_12	SNX4	17493	-0.9356431365013123	-0.47286093	Yes	
row_13	WDR60	17556	-0.9492334723472595	-0.42473498	Yes	
row_14	DYNLRB1	17616	-0.9673237800598145	-0.37547746	Yes	
row_15	DYNLT3	17801	-1.0134347677230835	-0.33013663	Yes	
row_16	DYNC1H1	17898	-1.04624605178833	-0.2785105	Yes	
row_17	DYNLT1	18227	-1.148899793624878	-0.23323108	Yes	
row_18	WDR34	18550	-1.284539818763733	-0.18031286	Yes	
row_19	DYNLRB2	19305	-1.8793160915374756	-0.1173971	Yes	
row_20	DYNC1LI2	19477	-2.378861904144287	0.002409753	Yes	
