NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR7	35	3.056513547897339	0.10848785	Yes	
row_1	CXCR4	103	2.636068105697632	0.20016459	Yes	
row_2	CCR5	356	2.0851359367370605	0.26247635	Yes	
row_3	CCL21	478	1.9571301937103271	0.3268871	Yes	
row_4	TRPM2	740	1.7684885263442993	0.37731233	Yes	
row_5	GPR183	1104	1.5715017318725586	0.41539955	Yes	
row_6	CCR1	1376	1.46505868434906	0.45436388	Yes	
row_7	LGALS9	1425	1.4476813077926636	0.5041365	Yes	
row_8	ARHGEF5	1754	1.3330891132354736	0.5354163	Yes	
row_9	ANO6	1778	1.3245277404785156	0.58202744	Yes	
row_10	CCR2	1915	1.2858527898788452	0.6214485	Yes	
row_11	PIK3CG	2290	1.1998095512390137	0.64556056	Yes	
row_12	CCR6	3356	0.9849197864532471	0.62648505	No	
row_13	CCL5	6108	0.57988440990448	0.50633824	No	
row_14	CCL19	6227	0.5640504360198975	0.5206389	No	
row_15	IL12A	6617	0.5186172723770142	0.5194035	No	
row_16	GAS6	9021	0.24544142186641693	0.4050349	No	
row_17	CXCR2	11650	-0.04381418600678444	0.27185345	No	
row_18	CALR	12245	-0.11754702776670456	0.2456347	No	
row_19	TRPM4	13300	-0.25101330876350403	0.20064305	No	
row_20	SLAMF8	16430	-0.7034533023834229	0.06557117	No	
row_21	HMGB1	16577	-0.7309632301330566	0.08445839	No	
row_22	C1QBP	16762	-0.7677291631698608	0.102723554	No	
row_23	CXCR1	17992	-1.0769885778427124	0.078560166	No	
