NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PICK1	2797	1.0885851383209229	-0.08228359	No	
row_1	TDRD9	5012	0.7224722504615784	-0.15523179	No	
row_2	PRMT7	5415	0.66827791929245	-0.1383233	No	
row_3	DNMT3L	7607	0.3980291783809662	-0.22830725	No	
row_4	MOV10L1	7643	0.39440926909446716	-0.20795867	No	
row_5	PIWIL4	8137	0.33833780884742737	-0.21423922	No	
row_6	FKBP6	12243	-0.11742525547742844	-0.41810557	No	
row_7	PLD6	14756	-0.4412018358707428	-0.52212304	Yes	
row_8	KDM1B	15189	-0.5057676434516907	-0.5158763	Yes	
row_9	DNMT3A	15426	-0.5413127541542053	-0.49758527	Yes	
row_10	ASZ1	15653	-0.5800231099128723	-0.4766083	Yes	
row_11	TDRD5	16681	-0.7500362992286682	-0.48715279	Yes	
row_12	PIWIL2	17914	-1.0512443780899048	-0.49129695	Yes	
row_13	TDRD1	17929	-1.0559909343719482	-0.43272907	Yes	
row_14	MORC1	18453	-1.2407573461532593	-0.3898839	Yes	
row_15	CTCFL	18554	-1.2861946821212769	-0.32280102	Yes	
row_16	TDRKH	18949	-1.5052824020385742	-0.25849116	Yes	
row_17	MAEL	19011	-1.5416030883789062	-0.1750696	Yes	
row_18	TDRD12	19251	-1.7818814516067505	-0.087284185	Yes	
row_19	DDX4	19264	-1.803090214729309	0.013329991	Yes	
