NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MS4A1	4	3.9115684032440186	0.0133006405	Yes	
row_1	CD74	11	3.5126025676727295	0.025119241	Yes	
row_2	TGFBR3	20	3.284787893295288	0.03604689	Yes	
row_3	CCR7	35	3.056513547897339	0.045873653	Yes	
row_4	CD163	42	2.981283187866211	0.055857293	Yes	
row_5	TLR8	45	2.9648473262786865	0.06599251	Yes	
row_6	CD3D	49	2.918851613998413	0.07591679	Yes	
row_7	CD86	81	2.7354624271392822	0.08374931	Yes	
row_8	CXCR4	103	2.636068105697632	0.09175942	Yes	
row_9	S1PR1	117	2.5878100395202637	0.10001956	Yes	
row_10	TNFRSF14	145	2.519808053970337	0.107315645	Yes	
row_11	GLRA1	159	2.4785165786743164	0.11519832	Yes	
row_12	CD83	179	2.4274048805236816	0.122591965	Yes	
row_13	PDCD1LG2	192	2.3989882469177246	0.13025208	Yes	
row_14	CXCL9	196	2.390000581741333	0.13834992	Yes	
row_15	CCRL2	209	2.3704659938812256	0.14591153	Yes	
row_16	CD36	217	2.34806752204895	0.1536562	Yes	
row_17	IL13RA1	225	2.3174476623535156	0.16129513	Yes	
row_18	CXCR3	277	2.211371898651123	0.16627593	Yes	
row_19	CXCL12	303	2.1673312187194824	0.17245887	Yes	
row_20	CCR5	356	2.0851359367370605	0.17695162	Yes	
row_21	AMOT	376	2.0638744831085205	0.18308978	Yes	
row_22	ENG	402	2.0400924682617188	0.18883328	Yes	
row_23	CAPN2	425	2.016228199005127	0.19465064	Yes	
row_24	CA4	494	1.9401267766952515	0.1978092	Yes	
row_25	TLR4	508	1.925803303718567	0.20378304	Yes	
row_26	CTSK	512	1.9235386848449707	0.2102699	Yes	
row_27	ECE1	524	1.9140496253967285	0.21630731	Yes	
row_28	SEMA7A	609	1.8508219718933105	0.21832408	Yes	
row_29	ANPEP	613	1.8500617742538452	0.22455719	Yes	
row_30	ITGA5	627	1.8424252271652222	0.23024307	Yes	
row_31	CD6	632	1.8396754264831543	0.23638822	Yes	
row_32	CTSB	641	1.83408784866333	0.24230574	Yes	
row_33	FCGR2B	661	1.8218951225280762	0.2476082	Yes	
row_34	ANTXR1	690	1.7978354692459106	0.2523588	Yes	
row_35	PTPRC	902	1.6695338487625122	0.24713454	Yes	
row_36	IL1R1	950	1.642816424369812	0.25036013	Yes	
row_37	ITGA2	972	1.6342909336090088	0.2549105	Yes	
row_38	STAB2	1003	1.6222436428070068	0.2589505	Yes	
row_39	CD209	1015	1.6152855157852173	0.2639561	Yes	
row_40	CD22	1028	1.6042662858963013	0.26887155	Yes	
row_41	IL2RG	1042	1.599661111831665	0.273719	Yes	
row_42	SELL	1069	1.5849344730377197	0.2778385	Yes	
row_43	CTLA4	1089	1.5754213333129883	0.28228974	Yes	
row_44	ACKR4	1097	1.5736345052719116	0.28735983	Yes	
row_45	ADAM30	1175	1.5409345626831055	0.288671	Yes	
row_46	SPN	1191	1.535615086555481	0.2931931	Yes	
row_47	FOLR1	1219	1.5252485275268555	0.29705435	Yes	
row_48	CD27	1256	1.5103273391723633	0.30039534	Yes	
row_49	CLEC2B	1281	1.5007860660552979	0.30432838	Yes	
row_50	ITGA6	1356	1.4698516130447388	0.30555028	Yes	
row_51	CCR1	1376	1.46505868434906	0.30962038	Yes	
row_52	IL6R	1426	1.4475330114364624	0.31206736	Yes	
row_53	FGG	1563	1.3968946933746338	0.30980796	Yes	
row_54	CD40	1669	1.3639222383499146	0.30904937	Yes	
row_55	CD248	1686	1.3570252656936646	0.3129026	Yes	
row_56	CLPTM1	1745	1.3393985033035278	0.31450737	Yes	
row_57	DNAI2	1774	1.3254164457321167	0.31762642	Yes	
row_58	SLC38A1	1805	1.314700722694397	0.32060426	Yes	
row_59	TMEM123	1809	1.3137325048446655	0.32498512	Yes	
row_60	CCR10	1840	1.304937720298767	0.3279293	Yes	
row_61	CD1E	1865	1.2964411973953247	0.33115658	Yes	
row_62	ULBP1	1908	1.286826491355896	0.33341315	Yes	
row_63	CCR2	1915	1.2858527898788452	0.33754146	Yes	
row_64	LEPR	1996	1.2656337022781372	0.33774558	Yes	
row_65	CD1C	2010	1.2629547119140625	0.3414302	Yes	
row_66	IGLL5	2047	1.2530826330184937	0.34388274	Yes	
row_67	IGLL1	2062	1.2495421171188354	0.34746894	Yes	
row_68	SLC4A3	2080	1.2467812299728394	0.35088935	Yes	
row_69	CTSV	2125	1.2363955974578857	0.3528676	Yes	
row_70	TNFRSF4	2135	1.23416006565094	0.3566611	Yes	
row_71	CD276	2144	1.2298380136489868	0.36049178	Yes	
row_72	TFR2	2146	1.2296812534332275	0.36468652	Yes	
row_73	IL7R	2239	1.210113286972046	0.36407387	Yes	
row_74	TGFBR2	2278	1.2023708820343018	0.3662471	Yes	
row_75	CD3G	2320	1.1905871629714966	0.36822337	Yes	
row_76	IZUMO1R	2329	1.1888678073883057	0.37191257	Yes	
row_77	EBI3	2372	1.177944540977478	0.3737931	Yes	
row_78	INSR	2396	1.1729508638381958	0.376646	Yes	
row_79	CUBN	2423	1.1680220365524292	0.37932566	Yes	
row_80	IL12B	2445	1.1624990701675415	0.38224664	Yes	
row_81	SLC7A5	2476	1.1564120054244995	0.38467786	Yes	
row_82	ANXA5	2491	1.1540848016738892	0.3879344	Yes	
row_83	CCR9	2517	1.1489036083221436	0.3906001	Yes	
row_84	CD79A	2526	1.146765112876892	0.39414388	Yes	
row_85	GFRA2	2545	1.1423617601394653	0.3971516	Yes	
row_86	FOLR3	2563	1.138162612915039	0.40019688	Yes	
