NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK	99	2.6413931846618652	0.10334786	Yes	
row_1	CXCL13	125	2.557304620742798	0.2070387	Yes	
row_2	SKAP1	132	2.543145179748535	0.31112266	Yes	
row_3	FERMT2	139	2.528484582901001	0.41460478	Yes	
row_4	CXCL12	303	2.1673312187194824	0.49521136	Yes	
row_5	FBLIM1	1188	1.5364171266555786	0.51294756	Yes	
row_6	RAP1B	2242	1.2092777490615845	0.508589	Yes	
row_7	MZB1	2571	1.136472225189209	0.53841954	Yes	
row_8	CX3CL1	2583	1.13361394405365	0.5843883	Yes	
row_9	PTGER4	2814	1.085508108139038	0.6171523	Yes	
row_10	FERMT3	2818	1.084204912185669	0.6615031	Yes	
row_11	TLN1	7579	0.4016210734844208	0.4338989	No	
row_12	COL16A1	7700	0.38731884956359863	0.4436441	No	
row_13	RASIP1	8537	0.2971997857093811	0.41297403	No	
row_14	SELP	8819	0.26744580268859863	0.4095427	No	
row_15	KIF14	9596	0.180696040391922	0.37716714	No	
row_16	FN1	9659	0.17348821461200714	0.38110918	No	
row_17	PIEZO1	10145	0.1223016157746315	0.36125892	No	
row_18	ITGB1BP1	11156	0.010954257100820541	0.30991638	No	
row_19	CDH17	11867	-0.07156640291213989	0.27644566	No	
row_20	JAM3	12231	-0.11576616764068604	0.26258323	No	
row_21	SRC	13560	-0.28712522983551025	0.20627013	No	
row_22	FARP2	14083	-0.35289430618286133	0.19398797	No	
row_23	P2RY12	19395	-2.0700554847717285	0.0066150664	No	
