NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AIM2	24	3.2436230182647705	0.039424002	Yes	
row_1	CCR7	35	3.056513547897339	0.07722283	Yes	
row_2	GHRL	40	2.994938611984253	0.1145585	Yes	
row_3	TLR8	45	2.9648473262786865	0.15151697	Yes	
row_4	PYHIN1	170	2.448117256164551	0.17582478	Yes	
row_5	CD36	217	2.34806752204895	0.20289122	Yes	
row_6	ORM2	275	2.2141056060791016	0.22771256	Yes	
row_7	FOXP1	337	2.1142990589141846	0.25107703	Yes	
row_8	CASP8	450	1.984707236289978	0.27019337	Yes	
row_9	TLR4	508	1.925803303718567	0.29140082	Yes	
row_10	GHSR	561	1.8766838312149048	0.3122498	Yes	
row_11	IFI16	760	1.7587580680847168	0.32410955	Yes	
row_12	NLRP1	816	1.7176976203918457	0.34281132	Yes	
row_13	TLR6	833	1.7052757740020752	0.36336377	Yes	
row_14	CLEC7A	935	1.6509358882904053	0.37886217	Yes	
row_15	GBP5	971	1.6343249082565308	0.39754778	Yes	
row_16	FFAR1	1091	1.5748686790466309	0.41116667	Yes	
row_17	CARD17	1138	1.5549126863479614	0.42829096	Yes	
row_18	NLRC4	1168	1.5427151918411255	0.44613692	Yes	
row_19	F2RL1	1373	1.4658305644989014	0.45401615	Yes	
row_20	LGALS9	1425	1.4476813077926636	0.46953905	Yes	
row_21	AGER	1468	1.4332636594772339	0.48534423	Yes	
row_22	ZC3H12A	1685	1.3575981855392456	0.4912494	Yes	
row_23	GSTP1	1709	1.3500268459320068	0.5069887	Yes	
row_24	CCL3	1998	1.2655746936798096	0.5080363	Yes	
row_25	CX3CL1	2583	1.13361394405365	0.49220186	Yes	
row_26	CASP1	3166	1.020105004310608	0.4750475	Yes	
row_27	ERRFI1	3444	0.9678046703338623	0.47292846	Yes	
row_28	TREM2	3553	0.9489789009094238	0.47926775	Yes	
row_29	IL1B	3573	0.9460979104042053	0.4901496	Yes	
row_30	MNDA	3634	0.934425413608551	0.49877584	Yes	
row_31	SUCNR1	3978	0.877707839012146	0.49213204	Yes	
row_32	IL17A	4034	0.8698722720146179	0.50020635	Yes	
row_33	PANX1	4067	0.863938570022583	0.5093895	Yes	
row_34	NOD1	4101	0.8577684760093689	0.5184439	Yes	
row_35	WNT5A	4255	0.835174560546875	0.52104163	Yes	
row_36	LILRA5	4502	0.8009156584739685	0.5184254	No	
row_37	TMEM106A	5033	0.7198736071586609	0.50018287	No	
row_38	CD33	5034	0.7198200225830078	0.50920576	No	
row_39	JAK2	5122	0.7079396843910217	0.513604	No	
row_40	CARD8	5226	0.6938948631286621	0.51700306	No	
row_41	NLRP3	5363	0.6754573583602905	0.51847327	No	
row_42	ARRB2	6064	0.5858734846115112	0.48980522	No	
row_43	CCL19	6227	0.5640504360198975	0.4885414	No	
row_44	LPL	6517	0.5304439067840576	0.4803227	No	
row_45	NOD2	6536	0.5285992622375488	0.48602265	No	
row_46	SMAD3	6600	0.5206906199455261	0.48930842	No	
row_47	ABCA1	6695	0.5091115832328796	0.49085423	No	
row_48	TYROBP	7043	0.46363264322280884	0.4788142	No	
row_49	TNFAIP3	7326	0.4317632019519806	0.4697187	No	
row_50	CARD16	7349	0.4291951358318329	0.47396684	No	
row_51	SPHK1	7595	0.39962446689605713	0.46637192	No	
row_52	LILRA2	7804	0.37536385655403137	0.4603764	No	
row_53	PYDC2	8186	0.33314573764801025	0.4449516	No	
row_54	NLRP7	8374	0.3123466670513153	0.4392465	No	
row_55	ORM1	8412	0.30789539217948914	0.4412025	No	
row_56	HSPB1	8445	0.305244117975235	0.44338244	No	
row_57	RIPK2	8510	0.29925018548965454	0.443841	No	
row_58	MALT1	8604	0.29137930274009705	0.442709	No	
row_59	FZD5	9277	0.2146202176809311	0.41082782	No	
row_60	F2R	9600	0.18001185357570648	0.39651877	No	
row_61	NLRP2	9683	0.17145149409770966	0.39444935	No	
row_62	SERPINB1	9689	0.17106541991233826	0.39633644	No	
row_63	TNF	10392	0.09558887779712677	0.3614198	No	
row_64	SIRPA	10623	0.07041271775960922	0.35046995	No	
row_65	P2RX7	10703	0.062818244099617	0.34719315	No	
row_66	APOA1	10874	0.04255160316824913	0.3389808	No	
row_67	AZU1	11050	0.022154204547405243	0.3302555	No	
row_68	ACP5	11444	-0.022247815504670143	0.31031623	No	
row_69	IGF1	11614	-0.04101581871509552	0.30213606	No	
row_70	MEFV	11788	-0.061937153339385986	0.29401234	No	
row_71	CPTP	11792	-0.06248714402318001	0.2946413	No	
row_72	TRIM16	12106	-0.09968269616365433	0.27978832	No	
row_73	CX3CR1	12612	-0.1589168906211853	0.2558003	No	
row_74	MR1	12795	-0.18210457265377045	0.24871987	No	
row_75	ISL1	13189	-0.23569738864898682	0.2314562	No	
row_76	CARD18	13565	-0.28765901923179626	0.21576989	No	
row_77	PYDC1	14895	-0.46252432465553284	0.1531964	No	
row_78	IL6	14972	-0.4738338887691498	0.155226	No	
row_79	GSDMD	16065	-0.6439135670661926	0.10711882	No	
row_80	STAT3	16073	-0.6446627378463745	0.11483953	No	
row_81	PYCARD	16177	-0.6595209240913391	0.1178077	No	
row_82	IFNG	16267	-0.675213098526001	0.121692814	No	
row_83	APP	16874	-0.791835606098175	0.100442395	No	
row_84	EGR1	17062	-0.833889901638031	0.10127485	No	
row_85	NLRP12	17712	-0.98944491147995	0.08028929	No	
row_86	FFAR4	17841	-1.0274219512939453	0.08658295	No	
