NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AIM2	24	3.2436230182647705	0.036417056	Yes	
row_1	CCR7	35	3.056513547897339	0.0713828	Yes	
row_2	GHRL	40	2.994938611984253	0.10594263	Yes	
row_3	TLR8	45	2.9648473262786865	0.14015315	Yes	
row_4	PYHIN1	170	2.448117256164551	0.16218811	Yes	
row_5	CD36	217	2.34806752204895	0.18707691	Yes	
row_6	ORM2	275	2.2141056060791016	0.2098444	Yes	
row_7	FOXP1	337	2.1142990589141846	0.23124741	Yes	
row_8	CASP8	450	1.984707236289978	0.24852076	Yes	
row_9	TLR4	508	1.925803303718567	0.2679416	Yes	
row_10	GHSR	561	1.8766838312149048	0.28704962	Yes	
row_11	IFI16	760	1.7587580680847168	0.29727304	Yes	
row_12	NLRP1	816	1.7176976203918457	0.31438112	Yes	
row_13	TLR6	833	1.7052757740020752	0.3333526	Yes	
row_14	CLEC7A	935	1.6509358882904053	0.34731773	Yes	
row_15	GBP5	971	1.6343249082565308	0.36448753	Yes	
row_16	FFAR1	1091	1.5748686790466309	0.37664303	Yes	
row_17	CARD17	1138	1.5549126863479614	0.39232478	Yes	
row_18	NLRC4	1168	1.5427151918411255	0.40874	Yes	
row_19	IL16	1283	1.500092625617981	0.42028493	Yes	
row_20	F2RL1	1373	1.4658305644989014	0.43271902	Yes	
row_21	LGALS9	1425	1.4476813077926636	0.4468986	Yes	
row_22	AGER	1468	1.4332636594772339	0.46137413	Yes	
row_23	ZC3H12A	1685	1.3575981855392456	0.46601424	Yes	
row_24	GSTP1	1709	1.3500268459320068	0.4805016	Yes	
row_25	CCL3	1998	1.2655746936798096	0.4803671	Yes	
row_26	SAA1	2510	1.1500272750854492	0.46741185	Yes	
row_27	CX3CL1	2583	1.13361394405365	0.47686467	Yes	
row_28	CASP1	3166	1.020105004310608	0.45874634	Yes	
row_29	ERRFI1	3444	0.9678046703338623	0.45572156	Yes	
row_30	TREM2	3553	0.9489789009094238	0.4611779	Yes	
row_31	IL1B	3573	0.9460979104042053	0.4711823	Yes	
row_32	MNDA	3634	0.934425413608551	0.4789406	Yes	
row_33	SUCNR1	3978	0.877707839012146	0.47147244	Yes	
row_34	IL17A	4034	0.8698722720146179	0.47873878	Yes	
row_35	PANX1	4067	0.863938570022583	0.48712027	Yes	
row_36	NOD1	4101	0.8577684760093689	0.49537864	Yes	
row_37	WNT5A	4255	0.835174560546875	0.49719742	Yes	
row_38	LILRA5	4502	0.8009156584739685	0.49383116	No	
row_39	TMEM106A	5033	0.7198736071586609	0.47490454	No	
row_40	CD33	5034	0.7198200225830078	0.48326033	No	
row_41	JAK2	5122	0.7079396843910217	0.4869997	No	
row_42	CARD8	5226	0.6938948631286621	0.48975235	No	
row_43	NLRP3	5363	0.6754573583602905	0.49059224	No	
row_44	ARRB2	6064	0.5858734846115112	0.461359	No	
row_45	NR1H4	6071	0.5852213501930237	0.46784347	No	
row_46	CCL19	6227	0.5640504360198975	0.46641207	No	
row_47	LPL	6517	0.5304439067840576	0.45769256	No	
row_48	NOD2	6536	0.5285992622375488	0.46290204	No	
row_49	SMAD3	6600	0.5206906199455261	0.46570325	No	
row_50	ABCA1	6695	0.5091115832328796	0.46677423	No	
row_51	TYROBP	7043	0.46363264322280884	0.4542935	No	
row_52	TNFAIP3	7326	0.4317632019519806	0.44478884	No	
