NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT80	1326	1.4800035953521729	-0.029391283	No	
row_1	BBS12	1661	1.368032693862915	-0.010768343	No	
row_2	IFT57	1893	1.2905287742614746	0.0111171985	No	
row_3	SSX2IP	3111	1.0294606685638428	-0.024458565	No	
row_4	TTC21A	3620	0.9360921382904053	-0.026066583	No	
row_5	RABL2B	4506	0.8008053302764893	-0.050572578	No	
row_6	CEP131	4685	0.7734183073043823	-0.039488077	No	
row_7	TTC26	7965	0.35888779163360596	-0.19848993	No	
row_8	KIF17	8322	0.31792956590652466	-0.2084576	No	
row_9	IFT20	8365	0.31325772404670715	-0.20242256	No	
row_10	IFT27	8517	0.298663467168808	-0.20236665	No	
row_11	LCA5L	8586	0.2932683527469635	-0.19818953	No	
row_12	TRAF3IP1	8803	0.2691333293914795	-0.2022438	No	
row_13	IFT43	9625	0.1771371066570282	-0.2397725	No	
row_14	IFT52	10113	0.12616054713726044	-0.2614823	No	
row_15	TRIP11	10654	0.06715689599514008	-0.2874568	No	
row_16	IFT140	11108	0.017241710796952248	-0.3102689	No	
row_17	TTC30A	11513	-0.028866300359368324	-0.33026072	No	
row_18	LCA5	11519	-0.03032643534243107	-0.32972443	No	
row_19	TNPO1	11761	-0.05785069614648819	-0.3405877	No	
row_20	SSNA1	11841	-0.06788497418165207	-0.34286937	No	
row_21	RPGR	12453	-0.14108113944530487	-0.3705568	No	
row_22	TTC21B	12719	-0.17332293093204498	-0.3796329	No	
row_23	PCM1	12741	-0.17554615437984467	-0.37612066	No	
row_24	CLUAP1	13113	-0.22850839793682098	-0.38919705	No	
row_25	KIFAP3	13605	-0.29418811202049255	-0.40671825	No	
row_26	IFT74	13776	-0.3172794282436371	-0.40715122	No	
row_27	DYNLL2	14609	-0.42312079668045044	-0.4388122	No	
row_28	IFT172	14620	-0.42456671595573425	-0.42822304	No	
row_29	MAK	16126	-0.6515935063362122	-0.48846996	Yes	
row_30	KIF3A	16393	-0.6956469416618347	-0.4839383	Yes	
row_31	TCTEX1D2	16444	-0.7056428790092468	-0.46805298	Yes	
row_32	DYNC2LI1	16445	-0.7058306336402893	-0.44959506	Yes	
row_33	IFT81	16583	-0.7315834760665894	-0.4374991	Yes	
row_34	KIF3B	16625	-0.7396177649497986	-0.4202631	Yes	
row_35	DYNLL1	16833	-0.7836802005767822	-0.4103995	Yes	
row_36	IFT46	16856	-0.7894731760025024	-0.39088407	Yes	
row_37	DYNC2H1	17177	-0.8587577939033508	-0.38486004	Yes	
row_38	TUB	17380	-0.9069101214408875	-0.37151712	Yes	
row_39	IFT88	17539	-0.9457898139953613	-0.35489792	Yes	
row_40	WDR60	17556	-0.9492334723472595	-0.33089653	Yes	
row_41	DYNLRB1	17616	-0.9673237800598145	-0.30863026	Yes	
row_42	WDR19	17618	-0.9681208729743958	-0.28336465	Yes	
row_43	WDR35	18515	-1.2692431211471558	-0.2961856	Yes	
row_44	WDR34	18550	-1.284539818763733	-0.2643401	Yes	
row_45	ARL3	18780	-1.4070638418197632	-0.2393044	Yes	
row_46	HSPB11	18840	-1.4450867176055908	-0.20454434	Yes	
row_47	KIF3C	19187	-1.7027199268341064	-0.17778535	Yes	
row_48	TTC30B	19203	-1.720892071723938	-0.13355327	Yes	
row_49	IFT22	19238	-1.7696805000305176	-0.08902104	Yes	
row_50	DYNLRB2	19305	-1.8793160915374756	-0.043265082	Yes	
row_51	IFT122	19403	-2.0825531482696533	0.006213704	Yes	
