NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT80	1326	1.4800035953521729	-0.020159593	No	
row_1	IFT57	1893	1.2905287742614746	-0.0074462076	No	
row_2	SSX2IP	3111	1.0294606685638428	-0.036591277	No	
row_3	CEP131	4685	0.7734183073043823	-0.092292316	No	
row_4	TTC26	7965	0.35888779163360596	-0.24896204	No	
row_5	KIF17	8322	0.31792956590652466	-0.25694433	No	
row_6	IFT20	8365	0.31325772404670715	-0.24896286	No	
row_7	IFT27	8517	0.298663467168808	-0.24704769	No	
row_8	TRAF3IP1	8803	0.2691333293914795	-0.2529652	No	
row_9	IFT43	9625	0.1771371066570282	-0.28936803	No	
row_10	IFT52	10113	0.12616054713726044	-0.3102791	No	
row_11	TRIP11	10654	0.06715689599514008	-0.3358195	No	
row_12	IFT140	11108	0.017241710796952248	-0.35851023	No	
row_13	TNPO1	11761	-0.05785069614648819	-0.39009982	No	
row_14	TTC21B	12719	-0.17332293093204498	-0.43360582	No	
row_15	PCM1	12741	-0.17554615437984467	-0.42900294	No	
row_16	CLUAP1	13113	-0.22850839793682098	-0.4406487	No	
row_17	KIFAP3	13605	-0.29418811202049255	-0.45632768	No	
row_18	IFT74	13776	-0.3172794282436371	-0.45478523	No	
row_19	DYNLL2	14609	-0.42312079668045044	-0.48379257	No	
row_20	IFT172	14620	-0.42456671595573425	-0.47056687	No	
row_21	KIF3A	16393	-0.6956469416618347	-0.5389976	Yes	
row_22	DYNC2LI1	16445	-0.7058306336402893	-0.51877433	Yes	
row_23	IFT81	16583	-0.7315834760665894	-0.50213146	Yes	
row_24	KIF3B	16625	-0.7396177649497986	-0.48030168	Yes	
row_25	DYNLL1	16833	-0.7836802005767822	-0.46556544	Yes	
row_26	IFT46	16856	-0.7894731760025024	-0.44114724	Yes	
row_27	DYNC2H1	17177	-0.8587577939033508	-0.4297808	Yes	
row_28	IFT88	17539	-0.9457898139953613	-0.41770223	Yes	
row_29	WDR60	17556	-0.9492334723472595	-0.3878063	Yes	
row_30	DYNLRB1	17616	-0.9673237800598145	-0.35953176	Yes	
row_31	WDR19	17618	-0.9681208729743958	-0.3282548	Yes	
row_32	WDR35	18515	-1.2692431211471558	-0.33316633	Yes	
row_33	WDR34	18550	-1.284539818763733	-0.2933437	Yes	
row_34	HSPB11	18840	-1.4450867176055908	-0.26141277	Yes	
row_35	KIF3C	19187	-1.7027199268341064	-0.22407018	Yes	
row_36	TTC30B	19203	-1.720892071723938	-0.16915213	Yes	
row_37	IFT22	19238	-1.7696805000305176	-0.113630384	Yes	
row_38	DYNLRB2	19305	-1.8793160915374756	-0.05620314	Yes	
row_39	IFT122	19403	-2.0825531482696533	0.006209864	Yes	
