NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	11	3.5126025676727295	0.04323303	Yes	
row_1	TLR8	45	2.9648473262786865	0.07850394	Yes	
row_2	FOXP1	337	2.1142990589141846	0.089892864	Yes	
row_3	LRRK2	426	2.0153510570526123	0.110494144	Yes	
row_4	TLR4	508	1.925803303718567	0.13033906	Yes	
row_5	IL4R	603	1.8547393083572388	0.1486289	Yes	
row_6	FCGR2B	661	1.8218951225280762	0.16841318	Yes	
row_7	TLR1	670	1.8161273002624512	0.19064702	Yes	
row_8	JUN	682	1.8055052757263184	0.21259405	Yes	
row_9	CLU	709	1.7846617698669434	0.23350929	Yes	
row_10	TLR6	833	1.7052757740020752	0.24844314	Yes	
row_11	PTPRC	902	1.6695338487625122	0.26576155	Yes	
row_12	SNCA	1077	1.5810638666152954	0.2765222	Yes	
row_13	TNIP2	1118	1.568210482597351	0.29401806	Yes	
row_14	NAMPT	1130	1.5617632865905762	0.31292582	Yes	
row_15	AGER	1468	1.4332636594772339	0.31345573	Yes	
row_16	AIF1	1538	1.4052233695983887	0.32742697	Yes	
row_17	CST7	1606	1.3836214542388916	0.3412318	Yes	
row_18	ZC3H12A	1685	1.3575981855392456	0.35414606	Yes	
row_19	PRKCE	1909	1.2867732048034668	0.35871565	Yes	
row_20	CCL3	1998	1.2655746936798096	0.36996788	Yes	
row_21	CTSC	2014	1.2626194953918457	0.38493976	Yes	
row_22	PLA2G4A	2035	1.257444143295288	0.3995898	Yes	
row_23	CEBPA	2059	1.2505460977554321	0.41399947	Yes	
row_24	NR1H3	2370	1.1780394315719604	0.41273636	Yes	
row_25	CX3CL1	2583	1.13361394405365	0.41596225	Yes	
row_26	STAP1	2762	1.096034288406372	0.42046916	Yes	
row_27	LDLR	2862	1.0756605863571167	0.42878726	Yes	
row_28	THBS1	2957	1.0578911304473877	0.43714112	Yes	
row_29	SBNO2	3349	0.9864413142204285	0.42932075	Yes	
row_30	DYSF	3429	0.9711150527000427	0.43736446	Yes	
row_31	C1QA	3457	0.9649052619934082	0.4480066	Yes	
row_32	TREM2	3553	0.9489789009094238	0.45495096	Yes	
row_33	SHPK	3911	0.8882569670677185	0.44765592	Yes	
row_34	EDN2	3955	0.8809496760368347	0.45642787	Yes	
row_35	SUCNR1	3978	0.877707839012146	0.46624002	Yes	
row_36	IFNGR1	4208	0.8426011204719543	0.46496242	Yes	
row_37	VSIG4	4222	0.8403192758560181	0.4747715	Yes	
row_38	WNT5A	4255	0.835174560546875	0.48353872	Yes	
row_39	ATM	4556	0.7924119830131531	0.47798175	Yes	
row_40	TLR7	4674	0.7748326659202576	0.48162255	Yes	
row_41	MFHAS1	4701	0.7715704441070557	0.48990542	Yes	
row_42	TMEM106A	5033	0.7198736071586609	0.48184875	Yes	
row_43	TRPV1	5064	0.7165725827217102	0.48924	Yes	
row_44	JAK2	5122	0.7079396843910217	0.49513423	Yes	
row_45	CRTC3	5208	0.6954532861709595	0.49943194	Yes	
row_46	IL1RL1	5494	0.6571580171585083	0.49296033	No	
row_47	CD200	5688	0.6325690150260925	0.49091637	No	
row_48	SYK	5725	0.6284558773040771	0.49690014	No	
row_49	LBP	6134	0.5758839845657349	0.4830857	No	
row_50	BPI	6309	0.5539284348487854	0.48103884	No	
row_51	MAPT	6662	0.5135016441345215	0.46932825	No	
row_52	IL13	6829	0.4935624897480011	0.46694037	No	
row_53	TICAM1	6955	0.47699087858200073	0.46645567	No	
row_54	TYROBP	7043	0.46363264322280884	0.46775985	No	
row_55	FER1L5	7277	0.4381788372993469	0.46123365	No	
row_56	SPHK1	7595	0.39962446689605713	0.44990414	No	
row_57	SYT11	7739	0.38343125581741333	0.44732657	No	
row_58	ITGAM	7763	0.3799569010734558	0.45088077	No	
row_59	HSPD1	8063	0.3467605412006378	0.43981835	No	
row_60	ITGB2	8220	0.3287532329559326	0.43589005	No	
row_61	GRN	8379	0.3119066655635834	0.43164873	No	
row_62	SPACA3	8884	0.2603485882282257	0.4089598	No	
row_63	C5AR1	9133	0.23216459155082703	0.39909288	No	
row_64	CSF2	9452	0.19768735766410828	0.38519397	No	
row_65	JMJD6	9793	0.1607397198677063	0.36970222	No	
row_66	TTBK1	9896	0.15067650377750397	0.36633223	No	
row_67	MIF	10003	0.1390809267759323	0.3626118	No	
row_68	TNF	10392	0.09558887779712677	0.34383768	No	
row_69	LRFN5	10504	0.08383674174547195	0.3391711	No	
row_70	CD93	10531	0.08141663670539856	0.33884838	No	
row_71	NR1D1	10652	0.0672355368733406	0.33351168	No	
row_72	AZU1	11050	0.022154204547405243	0.31335875	No	
row_73	IL10	11221	0.0031013318803161383	0.30464944	No	
row_74	ADGRF5	11255	-0.0012442209990695119	0.3029668	No	
row_75	PLA2G10	12257	-0.11918158829212189	0.2529426	No	
row_76	IL33	13180	-0.23517249524593353	0.2084299	No	
row_77	FPR2	13360	-0.2599167823791504	0.20245971	No	
row_78	IL4	13533	-0.28408390283584595	0.19715106	No	
row_79	MMP8	13595	-0.292249470949173	0.19765617	No	
row_80	SLC11A1	14513	-0.4103792607784271	0.15558547	No	
row_81	IL6	14972	-0.4738338887691498	0.1379256	No	
row_82	RORA	15339	-0.5292659401893616	0.12569115	No	
row_83	GPR137B	16152	-0.6556532979011536	0.09208197	No	
row_84	IFNG	16267	-0.675213098526001	0.09463497	No	
row_85	IL31RA	16491	-0.7135641574859619	0.09205717	No	
row_86	TLR3	16507	-0.7172442078590393	0.1002287	No	
row_87	SLC7A2	16702	-0.7553233504295349	0.0996639	No	
row_88	APP	16874	-0.791835606098175	0.10073793	No	
row_89	PJA2	16922	-0.8017902374267578	0.10831698	No	
row_90	HAVCR2	17237	-0.874775767326355	0.103066586	No	
row_91	TLR2	18276	-1.168361783027649	0.06422074	No	
