NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MED29	778	1.745844841003418	0.021127691	No	
row_1	MED13L	1977	1.2711747884750366	0.0041017993	No	
row_2	MED10	2740	1.1001815795898438	0.0034711587	No	
row_3	PPARGC1B	3419	0.9728401303291321	0.0026980557	No	
row_4	MED30	6504	0.5328273773193359	-0.13693596	No	
row_5	MED22	7103	0.4573860764503479	-0.15162945	No	
row_6	MED9	7502	0.4126049876213074	-0.1576252	No	
row_7	MED28	8719	0.279350221157074	-0.21025984	No	
row_8	THRAP3	9017	0.24596500396728516	-0.21689993	No	
row_9	MED18	9072	0.2392735630273819	-0.21130353	No	
row_10	CDK9	10125	0.1250891089439392	-0.26091653	No	
row_11	MED15	11499	-0.026972783729434013	-0.3304341	No	
row_12	MED8	12166	-0.10810236632823944	-0.36083207	No	
row_13	MED6	12380	-0.13199041783809662	-0.36714718	No	
row_14	CCNC	13003	-0.213194340467453	-0.3916119	No	
row_15	MED12L	13328	-0.2550991475582123	-0.3993182	No	
row_16	MED16	13344	-0.25857290625572205	-0.39104545	No	
row_17	MED17	14240	-0.375495046377182	-0.42384446	No	
row_18	MED7	14530	-0.41328164935112	-0.42422277	No	
row_19	MED1	15211	-0.5100018978118896	-0.4412844	Yes	
row_20	MED14	15386	-0.5365906953811646	-0.43144882	Yes	
row_21	MED19	15397	-0.538106381893158	-0.41314393	Yes	
row_22	MED24	15506	-0.553728461265564	-0.39932197	Yes	
row_23	UXT	15512	-0.5551315546035767	-0.3801651	Yes	
row_24	CDK19	15920	-0.6221516132354736	-0.3792947	Yes	
row_25	MED11	15940	-0.6250271201133728	-0.35841197	Yes	
row_26	CDK6	16013	-0.6370139122009277	-0.33982998	Yes	
row_27	MED20	16708	-0.756693959236145	-0.34898302	Yes	
row_28	MED23	17154	-0.8521142601966858	-0.3420207	Yes	
row_29	MED31	17298	-0.8880414962768555	-0.31830367	Yes	
row_30	MED12	18059	-1.0950018167495728	-0.31901282	Yes	
row_31	MED25	18372	-1.2023415565490723	-0.29297733	Yes	
row_32	BCLAF1	18401	-1.2177096605300903	-0.25182983	Yes	
row_33	CDK4	18465	-1.246675729751587	-0.21146554	Yes	
row_34	CDK8	18627	-1.317620873451233	-0.17364946	Yes	
row_35	MED27	18707	-1.3683156967163086	-0.1298524	Yes	
row_36	MED13	18735	-1.3805032968521118	-0.08296055	Yes	
row_37	MED21	19068	-1.5868550539016724	-0.04450465	Yes	
row_38	MED4	19330	-1.9403156042099	0.00995573	Yes	
