NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TET2	323	2.1310343742370605	0.10871181	No	
row_1	CYP2C8	4741	0.7668911814689636	-0.07265038	No	
row_2	CYP3A43	6563	0.5254132747650146	-0.13512035	No	
row_3	CYP2D6	6865	0.4891982078552246	-0.121794455	No	
row_4	CYP3A4	6911	0.4819948971271515	-0.095767826	No	
row_5	CYP1A2	8247	0.32594558596611023	-0.1450479	No	
row_6	JMJD6	9793	0.1607397198677063	-0.21480538	No	
row_7	ALKBH4	10005	0.13886983692646027	-0.21745923	No	
row_8	ALKBH3	11305	-0.006427106447517872	-0.28367633	No	
row_9	ALKBH2	13833	-0.3220725953578949	-0.39429346	No	
row_10	TDG	15149	-0.4986973702907562	-0.43239316	No	
row_11	ALKBH5	17715	-0.9896120429039001	-0.50571775	Yes	
row_12	CYP3A5	18179	-1.134716510772705	-0.46275085	Yes	
row_13	CYP2C9	18199	-1.140380620956421	-0.39668873	Yes	
row_14	TET3	18420	-1.2244608402252197	-0.33598855	Yes	
row_15	FTO	18533	-1.2775291204452515	-0.26663205	Yes	
row_16	CYP3A7	19028	-1.55046546459198	-0.20081496	Yes	
row_17	TET1	19272	-1.8190547227859497	-0.10634127	Yes	
row_18	ALKBH1	19373	-2.0279154777526855	0.007741172	Yes	
