NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF3H	4561	0.7921522259712219	-0.17658639	No	
row_1	PNPT1	8695	0.2818526327610016	-0.3681831	No	
row_2	RPL10A	8777	0.27184978127479553	-0.3526456	No	
row_3	NUFIP2	10237	0.11364198476076126	-0.419257	No	
row_4	LARP4B	10264	0.11053571105003357	-0.4125836	No	
row_5	RPL39	10323	0.10208914428949356	-0.40816358	No	
row_6	RPL36A	11041	0.02299381047487259	-0.44327846	No	
row_7	RPL18	11246	-1.4717657177243382E-4	-0.45373258	No	
row_8	NR0B1	11316	-0.00858936458826065	-0.4566499	No	
row_9	RPL18A	12108	-0.09986110031604767	-0.48999262	No	
row_10	RPL41	12511	-0.1478022038936615	-0.49990764	No	
row_11	BTF3	12634	-0.16150854527950287	-0.4944664	No	
row_12	RPS28	12978	-0.20884588360786438	-0.4969329	No	
row_13	RPS21	13073	-0.22355177998542786	-0.48556092	No	
row_14	RPL30	13852	-0.32500264048576355	-0.5019276	Yes	
row_15	RPL8	14039	-0.34667935967445374	-0.48635578	Yes	
row_16	FMR1	14630	-0.425731360912323	-0.4857818	Yes	
row_17	RPL38	14634	-0.42612096667289734	-0.45506772	Yes	
row_18	RPL19	14722	-0.4379191994667053	-0.42780802	Yes	
row_19	EEF2	14860	-0.4577142298221588	-0.40167928	Yes	
row_20	RPL32	15140	-0.4979512393474579	-0.37992007	Yes	
row_21	RPL24	15167	-0.5021613836288452	-0.34487754	Yes	
row_22	RPL31	15574	-0.5674903392791748	-0.3245958	Yes	
row_23	DHX9	15857	-0.6105524897575378	-0.29483372	Yes	
row_24	RPL11	15967	-0.6300725936889648	-0.2547831	Yes	
row_25	RPS29	16016	-0.6375791430473328	-0.21105954	Yes	
row_26	RPS23	16875	-0.7919613718986511	-0.19770387	Yes	
row_27	RPL7A	17087	-0.8382863998413086	-0.14780274	Yes	
row_28	RPL6	17289	-0.8870638608932495	-0.09385522	Yes	
row_29	LARP1	18360	-1.1979219913482666	-0.06196714	Yes	
row_30	RPS26	19158	-1.6790086030960083	0.018774884	Yes	
