NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	11	3.5126025676727295	0.09691384	Yes	
row_1	VAV3	144	2.5204710960388184	0.16008477	Yes	
row_2	TLR4	508	1.925803303718567	0.19489715	Yes	
row_3	PELI1	883	1.6787190437316895	0.22228813	Yes	
row_4	PTPRC	902	1.6695338487625122	0.2676956	Yes	
row_5	SASH3	995	1.6257827281951904	0.30809096	Yes	
row_6	MEF2C	1080	1.5799052715301514	0.34762374	Yes	
row_7	GPR183	1104	1.5715017318725586	0.3900541	Yes	
row_8	TNFSF13B	1509	1.4182170629501343	0.40867615	Yes	
row_9	CD40	1669	1.3639222383499146	0.43836588	Yes	
row_10	TNFRSF4	2135	1.23416006565094	0.4487494	Yes	
row_11	NCKAP1L	2255	1.2069259881973267	0.47613528	Yes	
row_12	IRS2	2393	1.1733019351959229	0.5016642	Yes	
row_13	CDKN1A	2496	1.1533324718475342	0.52843535	Yes	
row_14	NFATC2	2546	1.1421103477478027	0.5576152	Yes	
row_15	TFRC	2681	1.111968994140625	0.5815961	Yes	
row_16	IL7	5844	0.6133347749710083	0.43632975	No	
row_17	IL5	6501	0.533036470413208	0.41745344	No	
row_18	TIRAP	6552	0.5265823602676392	0.42950043	No	
row_19	IL13	6829	0.4935624897480011	0.42903185	No	
row_20	CD38	6867	0.4888254404067993	0.44069827	No	
row_21	TICAM1	6955	0.47699087858200073	0.44947004	No	
row_22	TNFRSF13C	7236	0.4426364004611969	0.4473829	No	
row_23	ATAD5	9480	0.1937863826751709	0.33764058	No	
row_24	MIF	10003	0.1390809267759323	0.314709	No	
row_25	WNT3A	10368	0.09857846051454544	0.29876268	No	
row_26	TLR9	10681	0.06465847790241241	0.28454387	No	
row_27	CLCF1	11243	5.232701078057289E-4	0.25576553	No	
row_28	BCL2	11475	-0.02485339529812336	0.24459936	No	
row_29	IL2	11486	-0.025948356837034225	0.24480622	No	
row_30	CHRNB2	12151	-0.10545723140239716	0.21365352	No	
row_31	BST1	12578	-0.15517450869083405	0.19609568	No	
row_32	CD320	12758	-0.17706549167633057	0.19182241	No	
row_33	ADA	13108	-0.22811083495616913	0.18024059	No	
row_34	IL4	13533	-0.28408390283584595	0.16636276	No	
row_35	SLC39A10	14747	-0.44039371609687805	0.11632794	No	
row_36	FCRL3	15129	-0.4968594014644623	0.1105618	No	
row_37	CD81	15601	-0.5723432898521423	0.10227125	No	
row_38	CARD11	17127	-0.847969114780426	0.04753393	No	
row_39	BCL6	18615	-1.3133578300476074	0.007661951	No	
row_40	IL21	18774	-1.4032065868377686	0.038493186	No	
