NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GHSR	561	1.8766838312149048	-0.019414691	No	
row_1	THOC1	941	1.6449711322784424	-0.030574141	No	
row_2	NUP107	970	1.6343777179718018	-0.023549104	No	
row_3	NUP133	1189	1.5363198518753052	-0.02690605	No	
row_4	U2AF1L4	1231	1.5189061164855957	-0.021155678	No	
row_5	IFT80	1326	1.4800035953521729	-0.018361257	No	
row_6	NOP9	1327	1.479559302330017	-0.010684502	No	
row_7	SMG1	1572	1.3945266008377075	-0.01612822	No	
row_8	BBS12	1661	1.368032693862915	-0.0136029795	No	
row_9	IFT57	1893	1.2905287742614746	-0.018910758	No	
row_10	DDX19A	1950	1.2796541452407837	-0.015181218	No	
row_11	DNM2	2070	1.2487175464630127	-0.0148859415	No	
row_12	RCC2	2200	1.2183042764663696	-0.015268108	No	
row_13	NACC2	2224	1.2138655185699463	-0.010165094	No	
row_14	CACNG7	2368	1.1787339448928833	-0.011480072	No	
row_15	NPM1	2386	1.175005316734314	-0.0062669	No	
row_16	SEC13	2784	1.0909631252288818	-0.0212362	No	
row_17	USP46	2975	1.054612398147583	-0.025637507	No	
row_18	NDC1	2977	1.0543012619018555	-0.020219184	No	
row_19	GSG1L	2978	1.0543009042739868	-0.014748901	No	
row_20	SSX2IP	3111	1.0294606685638428	-0.016266784	No	
row_21	DNM1	3171	1.0197503566741943	-0.014041657	No	
row_22	UPF1	3358	0.9848868250846863	-0.01859688	No	
row_23	LSG1	3423	0.971933126449585	-0.016879678	No	
row_24	SCRIB	3454	0.9654152989387512	-0.013429508	No	
row_25	PURA	3558	0.9481279850006104	-0.013862424	No	
row_26	TTC21A	3620	0.9360921382904053	-0.01217529	No	
row_27	SRSF4	3722	0.9215841889381409	-0.012642002	No	
row_28	AKAP8L	3727	0.9208803176879883	-0.008071833	No	
row_29	SNAPIN	3880	0.8937904238700867	-0.01133293	No	
row_30	DRD3	3903	0.8893039226531982	-0.007861953	No	
row_31	FIP1L1	4098	0.8585437536239624	-0.013488428	No	
row_32	EIF6	4103	0.8575745820999146	-0.009246724	No	
