NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF20B	8551	0.29591307044029236	-0.40836343	No	
row_1	GAS2L2	8626	0.2890940010547638	-0.382856	No	
row_2	MAP1A	9057	0.2410784214735031	-0.38046506	No	
row_3	ABHD17A	9677	0.1720750629901886	-0.3947567	No	
row_4	GAS2L1	9934	0.14728347957134247	-0.3929524	No	
row_5	CHAMP1	12407	-0.13487356901168823	-0.5060061	No	
row_6	TTBK2	13282	-0.24883316457271576	-0.52559024	No	
row_7	MAPRE1	14032	-0.34585103392601013	-0.5289332	Yes	
row_8	MID2	14594	-0.42179539799690247	-0.5149414	Yes	
row_9	ABHD17C	14870	-0.4584979712963104	-0.48256814	Yes	
row_10	ABHD17B	15499	-0.5530011653900146	-0.4587127	Yes	
row_11	HNRNPU	15986	-0.6332299709320068	-0.41944626	Yes	
row_12	DIAPH1	16085	-0.645652174949646	-0.3590305	Yes	
row_13	DVL1	16455	-0.7075836062431335	-0.30623016	Yes	
row_14	CRIPT	18044	-1.092160701751709	-0.27694166	Yes	
row_15	MID1	18129	-1.1173675060272217	-0.16799784	Yes	
row_16	MAPRE3	18235	-1.1518537998199463	-0.056635205	Yes	
row_17	MAPRE2	18387	-1.210236668586731	0.058286645	Yes	
