NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT80	1326	1.4800035953521729	-0.0373107	No	
row_1	BBS12	1661	1.368032693862915	-0.025972726	No	
row_2	IFT57	1893	1.2905287742614746	-0.010956106	No	
row_3	SSX2IP	3111	1.0294606685638428	-0.05205212	No	
row_4	PURA	3558	0.9481279850006104	-0.055218905	No	
row_5	TTC21A	3620	0.9360921382904053	-0.038850255	No	
row_6	RABL2B	4506	0.8008053302764893	-0.06764794	No	
row_7	CEP131	4685	0.7734183073043823	-0.060681574	No	
row_8	KIF1A	5395	0.6719318628311157	-0.083119236	No	
row_9	DLG2	5511	0.6553015112876892	-0.07537611	No	
row_10	CAMSAP3	7246	0.4409135580062866	-0.15530463	No	
row_11	TTC26	7965	0.35888779163360596	-0.18472715	No	
row_12	KIF17	8322	0.31792956590652466	-0.19639885	No	
row_13	IFT20	8365	0.31325772404670715	-0.19203058	No	
row_14	HSPB1	8445	0.305244117975235	-0.18973081	No	
row_15	IFT27	8517	0.298663467168808	-0.18715699	No	
row_16	LCA5L	8586	0.2932683527469635	-0.18454142	No	
row_17	TRAF3IP1	8803	0.2691333293914795	-0.19003482	No	
row_18	MAP1A	9057	0.2410784214735031	-0.19801427	No	
row_19	IFT43	9625	0.1771371066570282	-0.22346328	No	
row_20	SFPQ	9640	0.17564168572425842	-0.22052327	No	
row_21	IFT52	10113	0.12616054713726044	-0.24215207	No	
row_22	TRIP11	10654	0.06715689599514008	-0.26850492	No	
row_23	IFT140	11108	0.017241710796952248	-0.2914266	No	
row_24	TTC30A	11513	-0.028866300359368324	-0.31158784	No	
row_25	LCA5	11519	-0.03032643534243107	-0.31121296	No	
row_26	TNPO1	11761	-0.05785069614648819	-0.32239327	No	
row_27	SSNA1	11841	-0.06788497418165207	-0.3250389	No	
row_28	RPGR	12453	-0.14108113944530487	-0.35350043	No	
row_29	TTC21B	12719	-0.17332293093204498	-0.3635083	No	
row_30	PCM1	12741	-0.17554615437984467	-0.36093003	No	
row_31	CLUAP1	13113	-0.22850839793682098	-0.37523574	No	
row_32	KIF5A	13207	-0.23751240968704224	-0.37506664	No	
row_33	KIFAP3	13605	-0.29418811202049255	-0.38934013	No	
row_34	IFT74	13776	-0.3172794282436371	-0.39146632	No	
row_35	MAPK8IP3	14301	-0.38390567898750305	-0.41039738	No	
row_36	DYNLL2	14609	-0.42312079668045044	-0.41735917	No	
row_37	IFT172	14620	-0.42456671595573425	-0.40902722	No	
row_38	HNRNPU	15986	-0.6332299709320068	-0.46598488	Yes	
row_39	MAK	16126	-0.6515935063362122	-0.4595524	Yes	
row_40	KIF3A	16393	-0.6956469416618347	-0.458729	Yes	
row_41	TCTEX1D2	16444	-0.7056428790092468	-0.44659647	Yes	
row_42	DYNC2LI1	16445	-0.7058306336402893	-0.43189037	Yes	
row_43	IFT81	16583	-0.7315834760665894	-0.42368853	Yes	
row_44	KIF3B	16625	-0.7396177649497986	-0.4103856	Yes	
row_45	DYNLL1	16833	-0.7836802005767822	-0.4046958	Yes	
row_46	IFT46	16856	-0.7894731760025024	-0.38937768	Yes	
row_47	TERF2	17105	-0.8438089489936829	-0.3845422	Yes	
row_48	DYNC2H1	17177	-0.8587577939033508	-0.37029874	Yes	
row_49	BAG3	17324	-0.8930553793907166	-0.35919517	Yes	
row_50	TUB	17380	-0.9069101214408875	-0.34312615	Yes	
row_51	IFT88	17539	-0.9457898139953613	-0.33154055	Yes	
row_52	WDR60	17556	-0.9492334723472595	-0.31258544	Yes	
row_53	DYNLRB1	17616	-0.9673237800598145	-0.29546326	Yes	
row_54	WDR19	17618	-0.9681208729743958	-0.27534375	Yes	
row_55	RAB27B	17724	-0.9919492602348328	-0.2600726	Yes	
row_56	KIF5B	18095	-1.107217788696289	-0.25601885	Yes	
row_57	KIF5C	18428	-1.2268998622894287	-0.24751861	Yes	
row_58	WDR35	18515	-1.2692431211471558	-0.22549354	Yes	
row_59	WDR34	18550	-1.284539818763733	-0.20047733	Yes	
row_60	ARL3	18780	-1.4070638418197632	-0.1829299	Yes	
row_61	HSPB11	18840	-1.4450867176055908	-0.15585348	Yes	
row_62	KIF3C	19187	-1.7027199268341064	-0.13815898	Yes	
row_63	TTC30B	19203	-1.720892071723938	-0.103074834	Yes	
row_64	IFT22	19238	-1.7696805000305176	-0.06795065	Yes	
row_65	DYNLRB2	19305	-1.8793160915374756	-0.03218676	Yes	
row_66	IFT122	19403	-2.0825531482696533	0.0062184227	Yes	
