NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GHSR	561	1.8766838312149048	0.018429391	No	
row_1	CACNG7	2368	1.1787339448928833	-0.04465568	No	
row_2	SCRIB	3454	0.9654152989387512	-0.07607943	No	
row_3	CACNG3	4553	0.7926551103591919	-0.112519875	No	
row_4	STX7	4795	0.7563795447349548	-0.10585707	No	
row_5	DLG2	5511	0.6553015112876892	-0.12608391	No	
row_6	SNAP47	5516	0.6547691226005554	-0.10980644	No	
row_7	GPC4	5664	0.6349972486495972	-0.101371326	No	
row_8	RAB11A	6354	0.5495361089706421	-0.12292528	No	
row_9	TYROBP	7043	0.46363264322280884	-0.14659038	No	
row_10	NETO1	7686	0.38924166560173035	-0.16976556	No	
row_11	LGI1	8114	0.3401435315608978	-0.18313408	No	
row_12	KIF17	8322	0.31792956590652466	-0.18576239	No	
row_13	NSG1	8565	0.29481273889541626	-0.19077025	No	
row_14	NPTN	8891	0.25992757081985474	-0.20091929	No	
row_15	CACNG8	9023	0.24472655355930328	-0.20148693	No	
row_16	VPS35	9644	0.17529413104057312	-0.228918	No	
row_17	SHISA6	9911	0.14936523139476776	-0.23881997	No	
row_18	MAPK10	10141	0.12265913188457489	-0.24749388	No	
row_19	CACNG5	10426	0.09205029159784317	-0.25976318	No	
row_20	ADAM10	10506	0.08364436030387878	-0.26171508	No	
row_21	DLG4	11172	0.008768039755523205	-0.29564947	No	
row_22	GRIPAP1	11660	-0.044581878930330276	-0.31954002	No	
row_23	RAP1A	11871	-0.0716923400759697	-0.32852107	No	
row_24	GPHN	12195	-0.11033967137336731	-0.34233305	No	
row_25	ZDHHC3	12269	-0.1201082170009613	-0.34305885	No	
row_26	KIF5A	13207	-0.23751240968704224	-0.38520512	No	
row_27	NLGN1	13872	-0.3273589313030243	-0.41106805	No	
row_28	DAG1	13975	-0.3396807312965393	-0.40775588	No	
row_29	LRRC7	14789	-0.44809678196907043	-0.4382322	No	
row_30	IQSEC2	15056	-0.48655053973197937	-0.439646	No	
row_31	RAB8A	15617	-0.5743764042854309	-0.45394906	Yes	
row_32	CACNG4	15680	-0.5846779346466064	-0.442415	Yes	
row_33	GRIP1	15831	-0.6060683131217957	-0.4348622	Yes	
row_34	CNIH2	16070	-0.6442810297012329	-0.43086725	Yes	
row_35	GRIP2	16092	-0.6470483541488647	-0.41565728	Yes	
row_36	RELN	16995	-0.8174874782562256	-0.44140583	Yes	
row_37	CEP112	17432	-0.9201887845993042	-0.44063476	Yes	
row_38	SNAP25	17774	-1.004947543144226	-0.4328507	Yes	
row_39	ARHGAP44	17999	-1.0784140825271606	-0.417208	Yes	
row_40	DLG3	18023	-1.0855664014816284	-0.39106163	Yes	
row_41	CLSTN1	18030	-1.0897403955459595	-0.36393708	Yes	
row_42	STX3	18062	-1.0954492092132568	-0.33795282	Yes	
row_43	KIF5B	18095	-1.107217788696289	-0.31172368	Yes	
row_44	CACNG2	18143	-1.122031569480896	-0.28589204	Yes	
row_45	HRAS	18357	-1.197152853012085	-0.26669526	Yes	
row_46	STX1B	18390	-1.2114964723587036	-0.23784105	Yes	
row_47	KIF5C	18428	-1.2268998622894287	-0.20885588	Yes	
row_48	GPC6	18534	-1.277589201927185	-0.18208723	Yes	
row_49	ANKS1B	18683	-1.3518303632736206	-0.15565819	Yes	
row_50	ADAM22	18771	-1.4018677473068237	-0.12483649	Yes	
row_51	CPLX1	18957	-1.5072877407073975	-0.09639438	Yes	
row_52	DLG1	19073	-1.5901726484298706	-0.062270477	Yes	
row_53	DBN1	19156	-1.6761503219604492	-0.02428729	Yes	
row_54	PRKCZ	19194	-1.7135647535324097	0.016949002	Yes	
