NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD36	217	2.34806752204895	0.13641295	Yes	
row_1	CD300A	876	1.6824438571929932	0.20839785	Yes	
row_2	ITGA2	972	1.6342909336090088	0.30621564	Yes	
row_3	F2RL1	1373	1.4658305644989014	0.37781474	Yes	
row_4	ANO6	1778	1.3245277404785156	0.44033033	Yes	
row_5	RAB31	1991	1.266563892364502	0.5090455	Yes	
row_6	APPL2	2223	1.214059829711914	0.57348776	Yes	
row_7	NCKAP1L	2255	1.2069259881973267	0.6477335	Yes	
row_8	STAP1	2762	1.096034288406372	0.6906638	Yes	
row_9	TREM2	3553	0.9489789009094238	0.70979685	Yes	
row_10	SYT11	7739	0.38343125581741333	0.5193726	No	
row_11	C3	8633	0.28827139735221863	0.49171177	No	
row_12	GATA2	11237	0.0011068204184994102	0.35835573	No	
row_13	ABCA7	13064	-0.22245556116104126	0.27873543	No	
row_14	ALOX15	13527	-0.28325673937797546	0.2728519	No	
row_15	PPARG	15479	-0.5489715337753296	0.20734029	No	
