NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEMIN5	6944	0.4779019057750702	-0.32263556	No	
row_1	SMN1	6956	0.4769570827484131	-0.28994432	No	
row_2	GEMIN7	10022	0.1374746412038803	-0.43747413	No	
row_3	SNRPB	10691	0.06368723511695862	-0.467276	No	
row_4	GEMIN8	11321	-0.009454278275370598	-0.49886	No	
row_5	SNRPG	12832	-0.18729212880134583	-0.5632055	No	
row_6	SNRPF	14143	-0.3629757761955261	-0.6050495	No	
row_7	FMR1	14630	-0.425731360912323	-0.6002789	No	
row_8	SNRPD2	15260	-0.5178969502449036	-0.59641254	No	
row_9	SNRPD3	16194	-0.6622045040130615	-0.5980679	No	
row_10	SNRPD1	17870	-1.0366904735565186	-0.61164844	Yes	
row_11	GEMIN6	17911	-1.0491632223129272	-0.54054755	Yes	
row_12	SNRPE	18105	-1.1115024089813232	-0.47294316	Yes	
row_13	GEMIN2	18149	-1.1245676279067993	-0.39673862	Yes	
row_14	GEMIN4	19261	-1.797518014907837	-0.32836044	Yes	
row_15	DDX20	19380	-2.0341312885284424	-0.19258256	Yes	
row_16	STRAP	19515	-2.867224931716919	4.613005E-4	Yes	
