NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPF8	77	2.7511146068573	0.04570477	No	
row_1	HTATSF1	1073	1.5829650163650513	0.02313148	No	
row_2	PRPF3	1607	1.3832473754882812	0.020702442	No	
row_3	PRPF40B	1625	1.3791451454162598	0.044724822	No	
row_4	SNRNP70	4295	0.8306025862693787	-0.077483654	No	
row_5	SF3B1	4620	0.782207727432251	-0.080018796	No	
row_6	LSM11	4848	0.7468620538711548	-0.07820562	No	
row_7	SNRPA	5378	0.6734744906425476	-0.09324183	No	
row_8	LUC7L	5885	0.607932448387146	-0.10827887	No	
row_9	TXNL4A	6469	0.5357862114906311	-0.12857655	No	
row_10	GEMIN5	6944	0.4779019057750702	-0.1443159	No	
row_11	SMN1	6956	0.4769570827484131	-0.13627134	No	
row_12	EFTUD2	7028	0.46544432640075684	-0.13151899	No	
row_13	LSM4	7347	0.42928698658943176	-0.1401166	No	
row_14	LUC7L3	8882	0.2606213390827179	-0.21426861	No	
row_15	PHF5A	8888	0.2599887251853943	-0.20983234	No	
row_16	PRPF4	8909	0.2586602568626404	-0.20619112	No	
row_17	SF3B6	9825	0.1577262431383133	-0.2503803	No	
row_18	GEMIN7	10022	0.1374746412038803	-0.25797418	No	
row_19	SNRPN	10260	0.11112139374017715	-0.26815143	No	
row_20	SNRPB	10691	0.06368723511695862	-0.2891063	No	
row_21	SART1	11003	0.026971805840730667	-0.30460668	No	
row_22	GEMIN8	11321	-0.009454278275370598	-0.3207317	No	
row_23	PPIH	11810	-0.06425978243350983	-0.34465778	No	
row_24	SART3	12003	-0.08821924030780792	-0.3529352	No	
row_25	SF3A1	12018	-0.09011036902666092	-0.35202822	No	
row_26	LSM7	12591	-0.15628297626972198	-0.3786112	No	
row_27	SNRPG	12832	-0.18729212880134583	-0.38756764	No	
row_28	SNRPA1	13375	-0.2618008852005005	-0.41070363	No	
row_29	SNRNP200	13755	-0.31454870104789734	-0.42450827	No	
row_30	LSM1	13760	-0.31498968601226807	-0.41902772	No	
row_31	SF3A3	13890	-0.3290366530418396	-0.41971934	No	
row_32	SNRPF	14143	-0.3629757761955261	-0.4261212	Yes	
row_33	PRPF31	14202	-0.37110668420791626	-0.42240354	Yes	
row_34	SNRNP40	14317	-0.385536253452301	-0.42130414	Yes	
row_35	USP39	14386	-0.39415574073791504	-0.41768444	Yes	
row_36	LSM6	14388	-0.3944382965564728	-0.41061547	Yes	
row_37	FMR1	14630	-0.425731360912323	-0.41531903	Yes	
row_38	DDX39B	14633	-0.4259285628795624	-0.407733	Yes	
row_39	PRPF18	14889	-0.46203505992889404	-0.41250086	Yes	
row_40	SNRPD2	15260	-0.5178969502449036	-0.422172	Yes	
row_41	CD2BP2	15493	-0.5516517758369446	-0.42413977	Yes	
row_42	SF3A2	15513	-0.5552036762237549	-0.415094	Yes	
row_43	SF3B5	15648	-0.5792132019996643	-0.41152644	Yes	
row_44	LSM10	15679	-0.5846286416053772	-0.4025149	Yes	
row_45	LSM2	15965	-0.6299397349357605	-0.40579396	Yes	
row_46	PRPF39	16059	-0.6433449387550354	-0.39896107	Yes	
row_47	SNRPD3	16194	-0.6622045040130615	-0.3938954	Yes	
row_48	ARFGEF1	16566	-0.7275274991989136	-0.39983368	Yes	
row_49	SNRPB2	16586	-0.731998860836029	-0.38759637	Yes	
row_50	TGS1	16836	-0.7840156555175781	-0.38624343	Yes	
row_51	DDX23	16917	-0.8010891675949097	-0.3758947	Yes	
row_52	LSM3	16931	-0.8039236664772034	-0.36205056	Yes	
row_53	SLU7	17028	-0.8259816765785217	-0.35207492	Yes	
row_54	PRPF6	17585	-0.9570235013961792	-0.3633805	Yes	
row_55	RBMX2	17776	-1.0052062273025513	-0.35500166	Yes	
row_56	SNRPD1	17870	-1.0366904735565186	-0.34106812	Yes	
row_57	GEMIN6	17911	-1.0491632223129272	-0.3241849	Yes	
row_58	LSM5	18075	-1.0987318754196167	-0.3127298	Yes	
row_59	SNRPE	18105	-1.1115024089813232	-0.29415578	Yes	
row_60	CLNS1A	18139	-1.121088981628418	-0.2756143	Yes	
row_61	GEMIN2	18149	-1.1245676279067993	-0.2557763	Yes	
row_62	SNU13	18943	-1.4983959197998047	-0.26949224	Yes	
row_63	ZMAT2	19010	-1.5410785675048828	-0.24506553	Yes	
row_64	TXNL4B	19042	-1.5596933364868164	-0.21850358	Yes	
row_65	LSM8	19131	-1.6470801830291748	-0.19329426	Yes	
row_66	SF3B2	19139	-1.6600450277328491	-0.16368702	Yes	
row_67	PRPF40A	19150	-1.6702930927276611	-0.13404901	Yes	
row_68	SNRPC	19248	-1.7804933786392212	-0.10689398	Yes	
row_69	GEMIN4	19261	-1.797518014907837	-0.07506212	Yes	
row_70	DDX20	19380	-2.0341312885284424	-0.04440795	Yes	
row_71	STRAP	19515	-2.867224931716919	4.627021E-4	Yes	
