NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPF8	77	2.7511146068573	0.08656468	No	
row_1	PRPF3	1607	1.3832473754882812	0.053613156	No	
row_2	PRMT7	5415	0.66827791929245	-0.11976045	No	
row_3	PRPF19	5760	0.623897910118103	-0.11688601	No	
row_4	GEMIN5	6944	0.4779019057750702	-0.16186942	No	
row_5	SMN1	6956	0.4769570827484131	-0.14674126	No	
row_6	USP4	7146	0.452095091342926	-0.14156538	No	
row_7	LSM4	7347	0.42928698658943176	-0.13770442	No	
row_8	SRSF10	7464	0.4158817231655121	-0.12997393	No	
row_9	SNUPN	9315	0.21085895597934723	-0.21797141	No	
row_10	GEMIN7	10022	0.1374746412038803	-0.24967757	No	
row_11	COIL	10622	0.07052790373563766	-0.27809554	No	
row_12	SNRPB	10691	0.06368723511695862	-0.27948964	No	
row_13	WDR77	10966	0.03132397681474686	-0.29251966	No	
row_14	SART1	11003	0.026971805840730667	-0.29347965	No	
row_15	GEMIN8	11321	-0.009454278275370598	-0.30943584	No	
row_16	SART3	12003	-0.08821924030780792	-0.34147966	No	
row_17	SNRPG	12832	-0.18729212880134583	-0.37780732	No	
row_18	SNRPF	14143	-0.3629757761955261	-0.43308914	No	
row_19	PRPF31	14202	-0.37110668420791626	-0.42385548	No	
row_20	AAR2	14490	-0.40767088532447815	-0.42517024	No	
row_21	SNRPD2	15260	-0.5178969502449036	-0.4475928	Yes	
row_22	CD2BP2	15493	-0.5516517758369446	-0.44134796	Yes	
row_23	LSM2	15965	-0.6299397349357605	-0.4447919	Yes	
row_24	SNRPD3	16194	-0.6622045040130615	-0.43470442	Yes	
row_25	TGS1	16836	-0.7840156555175781	-0.4418028	Yes	
row_26	SRSF12	17233	-0.8738662004470825	-0.43337244	Yes	
row_27	PRPF6	17585	-0.9570235013961792	-0.41989687	Yes	
row_28	SNRPD1	17870	-1.0366904735565186	-0.40036193	Yes	
row_29	GEMIN6	17911	-1.0491632223129272	-0.36789542	Yes	
row_30	SNRPE	18105	-1.1115024089813232	-0.3412293	Yes	
row_31	CLNS1A	18139	-1.121088981628418	-0.3060371	Yes	
row_32	GEMIN2	18149	-1.1245676279067993	-0.26949888	Yes	
row_33	SNRPC	19248	-1.7804933786392212	-0.26726308	Yes	
row_34	GEMIN4	19261	-1.797518014907837	-0.20873769	Yes	
row_35	PRMT5	19289	-1.8484690189361572	-0.14930566	Yes	
row_36	DDX20	19380	-2.0341312885284424	-0.08699797	Yes	
row_37	STRAP	19515	-2.867224931716919	4.6190913E-4	Yes	
