NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	82	2.7318689823150635	0.088023685	Yes	
row_1	C1S	109	2.62237811088562	0.17522301	Yes	
row_2	SLC39A13	663	1.8211448192596436	0.20834386	Yes	
row_3	LAMC2	813	1.7220619916915894	0.25883973	Yes	
row_4	AEBP1	820	1.7127918004989624	0.3163567	Yes	
row_5	COL5A1	1117	1.5682259798049927	0.35411975	Yes	
row_6	COL1A1	1129	1.5624456405639648	0.4063045	Yes	
row_7	COL5A2	1242	1.5149483680725098	0.45170575	Yes	
row_8	DSE	1288	1.498481035232544	0.49998727	Yes	
row_9	ITGA6	1356	1.4698516130447388	0.54617393	Yes	
row_10	MMP1	1618	1.3807251453399658	0.5794019	Yes	
row_11	CTSC	2014	1.2626194953918457	0.6017701	Yes	
row_12	C1R	2238	1.2101771831512451	0.6311892	Yes	
row_13	COL7A1	4082	0.8616847395896912	0.5657576	No	
row_14	B4GALT7	4789	0.7576318979263306	0.5551268	No	
row_15	SMAD3	6600	0.5206906199455261	0.47987553	No	
row_16	LAMA3	7040	0.46373242139816284	0.47301623	No	
row_17	PLEC	8983	0.2500748038291931	0.38185892	No	
row_18	COL17A1	9210	0.22127747535705566	0.37773842	No	
row_19	CHST14	10562	0.07889606803655624	0.31111282	No	
row_20	KRT14	10973	0.030340909957885742	0.29110935	No	
row_21	COL1A2	11461	-0.023740621283650398	0.26693395	No	
row_22	FKBP14	12414	-0.13602031767368317	0.22270052	No	
row_23	ITGB4	14605	-0.4224124848842621	0.12464217	No	
row_24	DST	16965	-0.8120775818824768	0.03107154	No	
row_25	KRT5	18580	-1.2999286651611328	-0.007819945	No	
row_26	LAMB3	19145	-1.6641879081726074	0.01943782	No	
