NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYBB	54	2.881232976913452	0.06790538	Yes	
row_1	NCF1	100	2.6401991844177246	0.13036004	Yes	
row_2	CXCR4	103	2.636068105697632	0.19491962	Yes	
row_3	PLCG2	377	2.063727617263794	0.23153524	Yes	
row_4	CYBA	619	1.847185730934143	0.264481	Yes	
row_5	VEGFC	776	1.7469724416732788	0.29932976	Yes	
row_6	AEBP1	820	1.7127918004989624	0.33913794	Yes	
row_7	COL1A1	1129	1.5624456405639648	0.3616614	Yes	
row_8	FOXC2	1399	1.4564810991287231	0.38358665	Yes	
row_9	TNFRSF1A	1682	1.358900785446167	0.40245125	Yes	
row_10	GFI1	1700	1.3534162044525146	0.434778	Yes	
row_11	BLNK	1966	1.2752044200897217	0.45246178	Yes	
row_12	IGLL1	2062	1.2495421171188354	0.4782385	Yes	
row_13	CD79A	2526	1.146765112876892	0.48261264	Yes	
row_14	BTK	2772	1.0932613611221313	0.49685955	Yes	
row_15	FLT4	2974	1.0546139478683472	0.512416	Yes	
row_16	PIK3CD	3107	1.0302042961120605	0.530914	Yes	
row_17	NCF2	3173	1.0195403099060059	0.5525881	Yes	
row_18	LRRC8A	3230	1.0098289251327515	0.5744857	Yes	
row_19	TCIRG1	3338	0.9875115752220154	0.59321916	Yes	
row_20	ELANE	3514	0.9554942846298218	0.6076783	Yes	
row_21	SHANK3	3691	0.9262394905090332	0.62136847	Yes	
row_22	PIK3R1	4835	0.7487131953239441	0.5810888	No	
row_23	LMNA	6014	0.5918664932250977	0.5351659	No	
row_24	SLC35A1	6621	0.5181340575218201	0.51678276	No	
row_25	CD79B	9178	0.22605179250240326	0.39118356	No	
row_26	PIEZO1	10145	0.1223016157746315	0.34461972	No	
row_27	GATA2	11237	0.0011068204184994102	0.28866944	No	
row_28	SRP54	13295	-0.25025948882102966	0.18926693	No	
row_29	AGGF1	14455	-0.4026045799255371	0.13967635	No	
row_30	GJC2	15463	-0.5469154119491577	0.101424545	No	
row_31	STAT3	16073	-0.6446627378463745	0.0859912	No	
row_32	SLC35C1	16571	-0.729439377784729	0.07838393	No	
row_33	TCF3	18337	-1.18901789188385	0.016991027	No	
row_34	KIF11	19255	-1.7880563735961914	0.013801904	No	
