NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD3D	49	2.918851613998413	0.08137348	Yes	
row_1	CYBB	54	2.881232976913452	0.16397563	Yes	
row_2	CTPS1	436	2.004976272583008	0.2020427	Yes	
row_3	STAT1	797	1.735872745513916	0.23345359	Yes	
row_4	UNC93B1	800	1.7340598106384277	0.2831883	Yes	
row_5	SP110	847	1.6963979005813599	0.3295821	Yes	
row_6	IL2RG	1042	1.599661111831665	0.36559892	Yes	
row_7	ZAP70	1427	1.4472324848175049	0.3874823	Yes	
row_8	GFI1	1700	1.3534162044525146	0.41241825	Yes	
row_9	IL7R	2239	1.210113286972046	0.419582	Yes	
row_10	BTK	2772	1.0932613611221313	0.42369542	Yes	
row_11	FLI1	3320	0.9906443953514099	0.4240896	Yes	
row_12	NFKB2	3337	0.9877450466156006	0.4516564	Yes	
row_13	TCIRG1	3338	0.9875115752220154	0.48003778	Yes	
row_14	STK4	3437	0.9693547487258911	0.50286704	Yes	
row_15	ELANE	3514	0.9554942846298218	0.52642715	Yes	
row_16	CIITA	3756	0.9154365658760071	0.5403667	Yes	
row_17	CD247	4241	0.8367701172828674	0.53957224	Yes	
row_18	JAK3	4493	0.8018006086349487	0.54973257	Yes	
row_19	UNC119	4669	0.775079071521759	0.5630259	Yes	
row_20	DOCK8	6253	0.5610632300376892	0.49789652	No	
row_21	CD3E	6281	0.5567524433135986	0.51251185	No	
row_22	DCLRE1C	7419	0.4205307364463806	0.46623644	No	
row_23	RNF168	7928	0.3633187711238861	0.45060298	No	
row_24	MALT1	8604	0.29137930274009705	0.42432994	No	
row_25	IL2RA	9317	0.21075326204299927	0.3938405	No	
row_26	MBL2	9357	0.20679375529289246	0.39778197	No	
row_27	PNP	9774	0.16298040747642517	0.38111302	No	
row_28	CD8A	9919	0.14841945469379425	0.3779872	No	
row_29	MAGT1	10033	0.13592898845672607	0.3760936	No	
row_30	GATA2	11237	0.0011068204184994102	0.31437612	No	
row_31	TYK2	11465	-0.02395632490515709	0.30341285	No	
row_32	RFX5	11907	-0.07552867382764816	0.28294727	No	
row_33	RFXAP	12376	-0.13149558007717133	0.2627043	No	
row_34	NHEJ1	12431	-0.1384189873933792	0.26391074	No	
row_35	ADA	13108	-0.22811083495616913	0.235768	No	
row_36	SRP54	13295	-0.25025948882102966	0.23341326	No	
row_37	EPG5	13941	-0.335910826921463	0.20995995	No	
row_38	MCM4	14052	-0.34834009408950806	0.21432512	No	
row_39	RAG2	14233	-0.37474334239959717	0.21585605	No	
row_40	RAG1	15394	-0.5377911329269409	0.17177017	No	
row_41	RFXANK	15730	-0.5913446545600891	0.17157023	No	
row_42	PGM3	16934	-0.8045225143432617	0.13294312	No	
