NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MS4A1	4	3.9115684032440186	0.08018454	Yes	
row_1	WAS	380	2.061838150024414	0.103297755	Yes	
row_2	IFIH1	389	2.055593967437744	0.14513312	Yes	
row_3	TLR4	508	1.925803303718567	0.17865103	Yes	
row_4	TNFRSF13B	576	1.8700660467147827	0.213643	Yes	
row_5	CR2	987	1.6281688213348389	0.22604579	Yes	
row_6	NFKB1	1008	1.6194781064987183	0.2583018	Yes	
row_7	CTLA4	1089	1.5754213333129883	0.28657052	Yes	
row_8	CCR1	1376	1.46505868434906	0.30199018	Yes	
row_9	WIPF1	1559	1.3985984325408936	0.3213858	Yes	
row_10	TNFRSF1A	1682	1.358900785446167	0.34304735	Yes	
row_11	SCN10A	1779	1.3237066268920898	0.36532107	Yes	
row_12	UBAC2	2126	1.2361611127853394	0.37295464	Yes	
row_13	OTULIN	2191	1.220190405845642	0.39474455	Yes	
row_14	MVK	2419	1.168620228767395	0.4071023	Yes	
row_15	IL12B	2445	1.1624990701675415	0.4297097	Yes	
row_16	SCN9A	2982	1.0537770986557007	0.42383584	Yes	
row_17	FASLG	3070	1.0373307466506958	0.4406863	Yes	
row_18	SAMHD1	3162	1.020281195640564	0.45698085	Yes	
row_19	NFKB2	3337	0.9877450466156006	0.46834356	Yes	
row_20	DNASE1L3	3472	0.9629719853401184	0.4812517	Yes	
row_21	ERAP1	3522	0.9548384547233582	0.49835858	Yes	
row_22	PRTN3	3539	0.952366828918457	0.51710963	Yes	
row_23	C4A	3613	0.9370853304862976	0.53261894	Yes	
row_24	CIITA	3756	0.9154365658760071	0.5441392	Yes	
row_25	ICOS	4142	0.8532221913337708	0.5418995	No	
row_26	MYD88	4851	0.7462034225463867	0.52086985	No	
row_27	CD19	5258	0.6899522542953491	0.514196	No	
row_28	CFI	5319	0.6814626455307007	0.5251195	No	
row_29	NLRP3	5363	0.6754573583602905	0.53679276	No	
row_30	DOCK8	6253	0.5610632300376892	0.50266135	No	
row_31	NOD2	6536	0.5285992622375488	0.49904045	No	
row_32	IL12A	6617	0.5186172723770142	0.5055899	No	
row_33	SLC22A4	7066	0.46119406819343567	0.49205735	No	
row_34	TNFRSF13C	7236	0.4426364004611969	0.4924739	No	
row_35	VPS13A	7336	0.4306119382381439	0.49623877	No	
row_36	PRKCD	8386	0.31137222051620483	0.4487575	No	
row_37	TNFSF12	9301	0.21194596588611603	0.40616697	No	
row_38	PADI4	9375	0.2052428424358368	0.40663555	No	
row_39	PNP	9774	0.16298040747642517	0.38954234	No	
row_40	NFKBIL1	10151	0.12173444032669067	0.37273145	No	
row_41	CD244	10481	0.08622406423091888	0.35760486	No	
row_42	IL10	11221	0.0031013318803161383	0.31971082	No	
row_43	MEFV	11788	-0.061937153339385986	0.29191187	No	
row_44	ARPC1B	12332	-0.12671394646167755	0.26662558	No	
row_45	STAT4	12717	-0.17317573726177216	0.250461	No	
row_46	RASGRP1	12744	-0.17569132149219513	0.25273633	No	
row_47	LMX1B	12982	-0.2095561921596527	0.24486992	No	
row_48	PTPN22	13363	-0.26056358218193054	0.23070677	No	
row_49	IL23R	14248	-0.37644267082214355	0.19303785	No	
row_50	FAS	14582	-0.42013972997665405	0.18456839	No	
row_51	SCN11A	14676	-0.4323473274707794	0.1886771	No	
row_52	MLX	15516	-0.5553157925605774	0.15699573	No	
row_53	CD81	15601	-0.5723432898521423	0.1644439	No	
row_54	PGM3	16934	-0.8045225143432617	0.11256187	No	
row_55	CASP10	17734	-0.9935374855995178	0.09194131	No	
