NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_MITOCHONDRIAL_GENOME_MAINTENANCE	23	23		
GO_REPRODUCTION	1502		Rejected!	
GO_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GO_REGULATION_OF_DNA_RECOMBINATION	107	88		
GO_REGULATION_OF_MITOTIC_RECOMBINATION	6		Rejected!	
GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	30	27		
GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	21	18		
GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	34	34		
GO_TRANSITION_METAL_ION_TRANSPORT	129	123		
GO_UREA_CYCLE	11		Rejected!	
GO_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	161	152		
GO_CELL_CYCLE_CHECKPOINT	219	208		
GO_DNA_REPLICATION_CHECKPOINT	17	17		
GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	35	34		
GO_SULFUR_AMINO_ACID_METABOLIC_PROCESS	40	38		
GO_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	16		
GO_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	15	15		
GO_SULFUR_AMINO_ACID_TRANSPORT	7		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	921		Rejected!	
GO_RRNA_MODIFICATION	40	35		
GO_RDNA_HETEROCHROMATIN_ASSEMBLY	40		Rejected!	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	120	119		
GO_ACTIVATION_OF_MAPKKK_ACTIVITY	12		Rejected!	
GO_ACTIVATION_OF_MAPKK_ACTIVITY	52	50		
GO_ACTIVATION_OF_MAPK_ACTIVITY	156	151		
GO_INACTIVATION_OF_MAPK_ACTIVITY	26	26		
GO_PROTEIN_POLYUBIQUITINATION	340	328		
GO_MEIOTIC_SPINDLE_ORGANIZATION	13		Rejected!	
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	591		Rejected!	
GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	27		Rejected!	
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	83	55		
GO_MITOCHONDRIAL_FISSION	42	38		
GO_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	78	77		
GO_POLYSACCHARIDE_CATABOLIC_PROCESS	26	25		
GO_MITOTIC_CELL_CYCLE	1053		Rejected!	
GO_MITOTIC_CYTOKINESIS	72	70		
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	78	70		
GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	36	28		
GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	35	35		
GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	235	216		
GO_RESPONSE_TO_OXYGEN_RADICAL	31	28		
GO_RE_ENTRY_INTO_MITOTIC_CELL_CYCLE	5		Rejected!	
GO_PROTEIN_DENEDDYLATION	10		Rejected!	
GO_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	12		Rejected!	
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	391	343		
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	87	86		
GO_SPLICEOSOMAL_SNRNP_ASSEMBLY	54	38		
GO_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	5		Rejected!	
GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	16	15		
GO_MRNA_5_SPLICE_SITE_RECOGNITION	27		Rejected!	
GO_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	43	40		
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GO_AUTOPHAGY_OF_MITOCHONDRION	79	76		
GO_MITOPHAGY	25	24		
