NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_CYTOPLASMIC_DYNEIN_COMPLEX	GO_CYTOPLASMIC_DYNEIN_COMPLEX	Details ...	21	-0.72027725	-2.3667746	0.0	0.009163228	0.009	3082	tags=71%, list=16%, signal=85%	
GO_SMN_SM_PROTEIN_COMPLEX	GO_SMN_SM_PROTEIN_COMPLEX	Details ...	17	-0.68393004	-2.2344186	0.0	0.031360865	0.06	1656	tags=41%, list=8%, signal=45%	
GO_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY	GO_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY	Details ...	40	-0.5615086	-2.2179408	0.0	0.025660822	0.074	3133	tags=48%, list=16%, signal=56%	
GO_INTRACILIARY_TRANSPORT	GO_INTRACILIARY_TRANSPORT	Details ...	52	-0.50550956	-2.1505392	0.0	0.04899851	0.174	3400	tags=44%, list=17%, signal=53%	
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	Details ...	67	-0.4791783	-2.1359634	0.0	0.045878015	0.198	3540	tags=43%, list=18%, signal=53%	
GO_RECEPTOR_LOCALIZATION_TO_SYNAPSE	GO_RECEPTOR_LOCALIZATION_TO_SYNAPSE	Details ...	55	-0.46840823	-2.043373	0.0	0.116428696	0.518	3909	tags=44%, list=20%, signal=54%	
GO_POLYSOMAL_RIBOSOME	GO_POLYSOMAL_RIBOSOME	Details ...	31	-0.5254706	-1.9913074	0.0	0.17270374	0.723	5674	tags=55%, list=29%, signal=77%	
GO_CILIARY_TIP	GO_CILIARY_TIP	Details ...	45	-0.47266614	-1.9627577	0.0	0.19695924	0.802	3133	tags=44%, list=16%, signal=53%	
GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME	GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME	Details ...	34	-0.5034597	-1.9492464	0.0034364262	0.20012368	0.837	3501	tags=53%, list=18%, signal=64%	
GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX	GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX	Details ...	72	-0.43409818	-1.9324883	0.0	0.21020311	0.879	4033	tags=43%, list=21%, signal=54%	
GO_PIRNA_METABOLIC_PROCESS	GO_PIRNA_METABOLIC_PROCESS	Details ...	18	-0.5883458	-1.926768	0.0027855153	0.20118389	0.893	1612	tags=39%, list=8%, signal=42%	
