NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_REGULATION_OF_B_CELL_PROLIFERATION	GO_REGULATION_OF_B_CELL_PROLIFERATION	Details ...	62	0.6053786	2.2340093	0.0	0.0029864088	0.003	2772	tags=45%, list=14%, signal=52%	
GO_B_CELL_PROLIFERATION	GO_B_CELL_PROLIFERATION	Details ...	97	0.5373595	2.153308	0.0	0.011454155	0.023	2772	tags=39%, list=14%, signal=45%	
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	Details ...	326	0.46249336	2.1159866	0.0	0.012594994	0.036	3529	tags=36%, list=18%, signal=43%	
HP_CELLULITIS	HP_CELLULITIS	Details ...	35	0.62136847	2.0945313	0.0	0.01592248	0.061	3691	tags=63%, list=19%, signal=77%	
GO_INTERLEUKIN_1_BETA_PRODUCTION	GO_INTERLEUKIN_1_BETA_PRODUCTION	Details ...	87	0.52104163	2.0690231	0.0	0.019912807	0.095	4255	tags=41%, list=22%, signal=53%	
GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	Details ...	85	0.5243355	2.0547485	0.0	0.023743289	0.134	3107	tags=36%, list=16%, signal=43%	
GO_COLLAGEN_FIBRIL_ORGANIZATION	GO_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	52	0.5615042	2.0530255	0.0	0.021204617	0.14	5700	tags=58%, list=29%, signal=81%	
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	59	0.5571572	2.0504403	0.0	0.019177975	0.144	3107	tags=46%, list=16%, signal=54%	
GO_INTEGRIN_ACTIVATION	GO_INTEGRIN_ACTIVATION	Details ...	24	0.6615031	2.0388956	0.0	0.02215562	0.178	2818	tags=46%, list=14%, signal=53%	
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	Details ...	48	0.5673047	2.030025	0.0	0.02362822	0.207	2886	tags=40%, list=15%, signal=46%	
GO_CYTOKINE_BINDING	GO_CYTOKINE_BINDING	Details ...	134	0.4856458	2.019298	0.0	0.025193721	0.236	5329	tags=50%, list=27%, signal=68%	
GO_CCR_CHEMOKINE_RECEPTOR_BINDING	GO_CCR_CHEMOKINE_RECEPTOR_BINDING	Details ...	38	0.5875516	2.0137072	0.0	0.024840035	0.253	2583	tags=39%, list=13%, signal=45%	
GO_INTERLEUKIN_1_PRODUCTION	GO_INTERLEUKIN_1_PRODUCTION	Details ...	99	0.49719742	2.0015438	0.0	0.02806891	0.299	4255	tags=38%, list=22%, signal=49%	
GO_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	Details ...	41	0.5815961	1.9944888	0.0	0.028696729	0.323	2681	tags=39%, list=14%, signal=45%	
HP_VASCULITIS	HP_VASCULITIS	Details ...	56	0.5441392	1.9916415	0.0	0.027907932	0.334	3756	tags=45%, list=19%, signal=55%	
GO_DENDRITIC_CELL_CHEMOTAXIS	GO_DENDRITIC_CELL_CHEMOTAXIS	Details ...	24	0.64556056	1.9889047	0.0	0.027347663	0.347	2290	tags=50%, list=12%, signal=57%	
