NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAF	134	2.538982391357422	0.028178573	Yes	
row_1	PTPN21	215	2.3623037338256836	0.05669572	Yes	
row_2	HPGD	293	2.18322491645813	0.082893334	Yes	
row_3	FKBP5	421	2.021260976791382	0.10427999	Yes	
row_4	ARID5B	470	1.9649596214294434	0.12895493	Yes	
row_5	KRT19	786	1.7430113554000854	0.13682137	Yes	
row_6	NGLY1	829	1.7080554962158203	0.15825607	Yes	
row_7	UBE2J1	942	1.6446945667266846	0.17521258	Yes	
row_8	MYL12A	1007	1.6202106475830078	0.19430138	Yes	
row_9	CCND3	1344	1.47305166721344	0.19735752	Yes	
row_10	SPCS3	1699	1.3544827699661255	0.19784921	Yes	
row_11	FADS1	1722	1.3454943895339966	0.2153046	Yes	
row_12	HOMER2	1813	1.3119516372680664	0.22879666	Yes	
row_13	TPD52	1864	1.2966814041137695	0.24413656	Yes	
row_14	STEAP4	2365	1.1792211532592773	0.23469251	Yes	
row_15	MERTK	2532	1.1448352336883545	0.24196422	Yes	
row_16	TNFAIP8	2856	1.0771414041519165	0.24022005	Yes	
row_17	ELK4	2949	1.0589407682418823	0.2501139	Yes	
row_18	B4GALT1	3241	1.00718092918396	0.24905027	Yes	
row_19	UAP1	3474	0.9624156951904297	0.25040492	Yes	
row_20	B2M	3497	0.95816969871521	0.2625095	Yes	
row_21	TSC22D1	3572	0.9462101459503174	0.27177244	Yes	
row_22	CAMKK2	3625	0.9354282021522522	0.28201875	Yes	
row_23	TMPRSS2	3692	0.9260807633399963	0.29141536	Yes	
row_24	SMS	3719	0.9218639135360718	0.30281252	Yes	
row_25	INSIG1	3828	0.9025392532348633	0.3097222	Yes	
row_26	HSD17B14	3892	0.8912497162818909	0.31879205	Yes	
row_27	IQGAP2	3992	0.8757745623588562	0.3257952	Yes	
row_28	SLC26A2	4076	0.86231929063797	0.33343598	Yes	
row_29	ITGAV	4947	0.7330273985862732	0.29878417	No	
row_30	ELOVL5	5171	0.7008703947067261	0.29698884	No	
row_31	PTK2B	5259	0.6898480653762817	0.30204108	No	
row_32	GNAI3	5280	0.6871848702430725	0.310505	No	
row_33	SRF	5405	0.6701483726501465	0.31338075	No	
row_34	AKT1	5619	0.6412776708602905	0.31127688	No	
row_35	KLK3	5723	0.6287402510643005	0.3146614	No	
row_36	KRT8	5845	0.613191545009613	0.31690472	No	
row_37	IDI1	6091	0.5828866362571716	0.31234714	No	
row_38	ALDH1A3	6161	0.5728517174720764	0.31670958	No	
row_39	ZMIZ1	6244	0.5620585083961487	0.3202538	No	
row_40	ABCC4	6405	0.5426287055015564	0.319515	No	
row_41	ACSL3	6486	0.5343495607376099	0.32277936	No	
row_42	AZGP1	7219	0.44393694400787354	0.2912366	No	
