NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCND2	14	3.415276050567627	0.0931047	Yes	
row_1	LUM	27	3.190079689025879	0.18012552	Yes	
row_2	COL3A1	82	2.7318689823150635	0.2524035	Yes	
row_3	TIMP1	737	1.7689353227615356	0.26744157	Yes	
row_4	FSTL1	769	1.7516995668411255	0.31397292	Yes	
row_5	TNFRSF21	1084	1.578070044517517	0.34121335	Yes	
row_6	COL5A2	1242	1.5149483680725098	0.37477556	Yes	
row_7	S100A4	1284	1.4997526407241821	0.4138724	Yes	
row_8	SLCO2A1	1796	1.3180488348007202	0.42386135	Yes	
row_9	SPP1	2226	1.2129945755004883	0.43517184	Yes	
row_10	JAG2	2231	1.2121258974075317	0.46826562	Yes	
row_11	VTN	2743	1.0989677906036377	0.4722361	Yes	
row_12	MSX1	3389	0.9783422946929932	0.4660171	Yes	
row_13	JAG1	4639	0.7801370024681091	0.42336127	Yes	
row_14	PRG2	4644	0.779731810092926	0.4445765	Yes	
row_15	ITGAV	4947	0.7330273985862732	0.449218	Yes	
row_16	PTK2	5048	0.7184174656867981	0.463823	Yes	
row_17	KCNJ8	5211	0.6949217319488525	0.4746012	Yes	
row_18	THBD	5819	0.6158520579338074	0.46037385	Yes	
row_19	OLR1	5901	0.6058440804481506	0.47286117	Yes	
row_20	LRPAP1	5958	0.599516749382019	0.48645744	Yes	
row_21	PGLYRP1	6235	0.5632208585739136	0.48776817	Yes	
row_22	VEGFA	6466	0.5361460447311401	0.49069542	Yes	
row_23	LPL	6517	0.5304439067840576	0.502702	Yes	
row_24	SERPINA5	6520	0.5302672386169434	0.5171667	Yes	
row_25	APOH	6744	0.5037356615066528	0.5195627	Yes	
row_26	POSTN	8836	0.2650313973426819	0.41955227	No	
row_27	VCAN	9348	0.2082328051328659	0.39905286	No	
row_28	VAV2	10418	0.09309069812297821	0.34675875	No	
row_29	NRP1	11244	2.594261022750288E-4	0.3044343	No	
row_30	FGFR1	12383	-0.13246141374111176	0.24968131	No	
row_31	STC1	12907	-0.19770930707454681	0.22827704	No	
row_32	PF4	16643	-0.7416934370994568	0.057005975	No	
row_33	APP	16874	-0.791835606098175	0.06695743	No	
row_34	CXCL6	18090	-1.1061209440231323	0.035001468	No	
row_35	PDGFA	18773	-1.4024373292922974	0.038534548	No	
