NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCN	10	3.5462682247161865	0.02564705	Yes	
row_1	CCND2	14	3.415276050567627	0.05068913	Yes	
row_2	TGFBR3	20	3.284787893295288	0.07466523	Yes	
row_3	LUM	27	3.190079689025879	0.097890966	Yes	
row_4	IL18	271	2.2202341556549072	0.1017235	Yes	
row_5	DPYD	309	2.1544039249420166	0.11570755	Yes	
row_6	PEA15	318	2.135613441467285	0.13105044	Yes	
row_7	TAP1	346	2.1026768684387207	0.14516923	Yes	
row_8	AVPR1A	369	2.0725646018981934	0.15932405	Yes	
row_9	GADD45B	415	2.0276896953582764	0.17196015	Yes	
row_10	CASP8	450	1.984707236289978	0.18484713	Yes	
row_11	KRT18	473	1.9633879661560059	0.19819647	Yes	
row_12	CD44	511	1.9244831800460815	0.21048422	Yes	
row_13	JUN	682	1.8055052757263184	0.21502648	Yes	
row_14	CLU	709	1.7846617698669434	0.22685069	Yes	
row_15	TIMP1	737	1.7689353227615356	0.23850723	Yes	
row_16	BTG2	754	1.7601478099822998	0.25066692	Yes	
row_17	LEF1	1119	1.5661708116531372	0.24342589	Yes	
row_18	TXNIP	1521	1.4120855331420898	0.23313749	Yes	
row_19	GSN	1803	1.315661907196045	0.22833413	Yes	
row_20	SATB1	1857	1.2998090982437134	0.23518701	Yes	
row_21	PLCB2	1926	1.2838603258132935	0.24114768	Yes	
row_22	XIAP	1941	1.2808157205581665	0.24987428	Yes	
row_23	TNFSF10	2040	1.2562378644943237	0.25408205	Yes	
row_24	GSTM1	2100	1.2427462339401245	0.26020414	Yes	
row_25	AIFM3	2145	1.2297890186309814	0.26700515	Yes	
row_26	IFITM3	2263	1.2052303552627563	0.2698555	Yes	
row_27	SQSTM1	2351	1.1828068494796753	0.27408955	Yes	
row_28	CASP6	2400	1.1723852157592773	0.2802605	Yes	
row_29	HMOX1	2465	1.15842866897583	0.2855023	Yes	
row_30	CDKN1A	2496	1.1533324718475342	0.2924622	Yes	
row_31	TIMP3	2668	1.1155307292938232	0.29186237	Yes	
row_32	BAX	2749	1.098289132118225	0.2958343	Yes	
row_33	SOD2	2858	1.076712965965271	0.29820123	Yes	
row_34	MCL1	2950	1.0589150190353394	0.30131465	Yes	
row_35	FASLG	3070	1.0373307466506958	0.302823	Yes	
row_36	CASP1	3166	1.020105004310608	0.30544358	Yes	
row_37	DFFA	3252	1.0053260326385498	0.30847147	Yes	
row_38	F2	3295	0.9971004128456116	0.31365904	Yes	
row_39	EMP1	3350	0.9863374829292297	0.3181476	Yes	
row_40	PAK1	3367	0.9831995964050293	0.3245752	Yes	
row_41	CDKN1B	3461	0.9643414616584778	0.3268876	Yes	
row_42	IL1B	3573	0.9460979104042053	0.32813597	Yes	
row_43	GPX4	3766	0.9139890074729919	0.32496485	Yes	
row_44	PDGFRB	3793	0.9089740514755249	0.33032846	Yes	
row_45	CYLD	3862	0.8977683186531067	0.33344066	Yes	
row_46	BIRC3	3888	0.8920890092849731	0.33873132	Yes	
row_47	GPX3	3900	0.8898401856422424	0.34472832	Yes	
row_48	RETSAT	3913	0.8881383538246155	0.35066113	Yes	
row_49	IFNGR1	4208	0.8426011204719543	0.34169638	Yes	
row_50	PMAIP1	4258	0.8349918127059937	0.3453265	Yes	
row_51	TSPO	4259	0.8349111676216125	0.35148627	Yes	
row_52	DDIT3	4560	0.7922160625457764	0.34183994	No	
row_53	BMF	4605	0.7866660356521606	0.34537175	No	
row_54	CD69	4673	0.7748367786407471	0.3476286	No	
row_55	CD14	4776	0.7605617642402649	0.34797287	No	
row_56	PLAT	4826	0.7499852776527405	0.35097584	No	
row_57	WEE1	5041	0.7191789150238037	0.34523147	No	
row_58	PTK2	5048	0.7184174656867981	0.35022193	No	
row_59	MGMT	5400	0.6711005568504333	0.3370486	No	
row_60	CTH	5416	0.6679704785346985	0.34120214	No	
row_61	RELA	5824	0.6153457164764404	0.32472578	No	
row_62	CDC25B	5836	0.6142376065254211	0.32868946	No	
row_63	BCL10	5911	0.6046594381332397	0.32932934	No	
row_64	CASP9	5967	0.5982566475868225	0.33090308	No	
row_65	LMNA	6014	0.5918664932250977	0.3328944	No	
row_66	PRF1	6113	0.5787931084632874	0.3321042	No	
row_67	PPP2R5B	6121	0.5780724287033081	0.3360076	No	
row_68	IGFBP6	6158	0.5731311440467834	0.3383771	No	
row_69	VDAC2	6343	0.550462007522583	0.33293706	No	
row_70	IER3	6453	0.5376390814781189	0.3312752	No	
row_71	BCL2L10	6584	0.5229799151420593	0.3284208	No	
row_72	CASP4	6679	0.5112507343292236	0.3273388	No	
row_73	SPTAN1	6834	0.49338987469673157	0.3230268	No	
row_74	CD38	6867	0.4888254404067993	0.32498085	No	
row_75	TNFRSF12A	7109	0.45645350217819214	0.31590396	No	
row_76	BMP2	7189	0.4474147856235504	0.31512555	No	
row_77	ISG20	7295	0.4359322488307953	0.31291988	No	
row_78	BRCA1	7400	0.4228106737136841	0.31066903	No	
row_79	EREG	7436	0.41902583837509155	0.3119532	No	
row_80	DNM1L	7604	0.39812368154525757	0.30626708	No	
row_81	BID	7735	0.383797824382782	0.30238584	No	
row_82	CDK2	7942	0.3614460825920105	0.2944153	No	
row_83	GCH1	7951	0.360109806060791	0.296659	No	
row_84	ROCK1	8074	0.34509173035621643	0.2929053	No	
row_85	RNASEL	8176	0.33407774567604065	0.2901547	No	
row_86	HSPB1	8445	0.305244117975235	0.27856803	No	
row_87	MMP2	8820	0.26730817556381226	0.26122797	No	
row_88	CFLAR	8929	0.2569124698638916	0.2575466	No	
row_89	ANKH	9063	0.24013586342334747	0.25245056	No	
row_90	NEDD9	9291	0.21274085342884064	0.24229853	No	
row_91	F2R	9600	0.18001185357570648	0.22772245	No	
row_92	HGF	9740	0.16603469848632812	0.22176987	No	
row_93	BGN	10044	0.13478846848011017	0.20711833	No	
row_94	BIK	10054	0.1335465908050537	0.20763887	No	
row_95	PDCD4	10167	0.12012912333011627	0.20274182	No	
row_96	PPP3R1	10235	0.11377833783626556	0.20012158	No	
row_97	TNF	10392	0.09558887779712677	0.19277145	No	
row_98	GSR	10921	0.03636380657553673	0.16577545	No	
row_99	FDXR	10939	0.03476313129067421	0.1651541	No	
row_100	PPT1	10969	0.03103174827992916	0.16388558	No	
row_101	SOD1	11088	0.019210858270525932	0.15793416	No	
row_102	PSEN2	11103	0.017523735761642456	0.15734053	No	
row_103	IGF2R	11107	0.01731780543923378	0.15731338	No	
row_104	ADD1	11402	-0.016787750646471977	0.14225599	No	
row_105	PLPPR4	11586	-0.03839254379272461	0.13308969	No	
row_106	ERBB2	11590	-0.03861347585916519	0.13321966	No	
row_107	LGALS3	11764	-0.058090128004550934	0.124715045	No	
row_108	DAP	11815	-0.0646275207400322	0.12261001	No	
row_109	SMAD7	11982	-0.08545307070016861	0.114668734	No	
row_110	CAV1	12014	-0.08933068811893463	0.11372705	No	
row_111	PSEN1	12042	-0.09239291399717331	0.113014504	No	
row_112	DAP3	12162	-0.10748165100812912	0.107662685	No	
row_113	IRF1	12207	-0.11184557527303696	0.10621583	No	
row_114	CASP7	12278	-0.12112727761268616	0.10349489	No	
row_115	CD2	12318	-0.1255609691143036	0.10240741	No	
row_116	IFNB1	12340	-0.12788592278957367	0.10226654	No	
row_117	RARA	12425	-0.13761799037456512	0.09894435	No	
row_118	RHOB	12478	-0.14439326524734497	0.09732453	No	
row_119	MADD	12616	-0.15923234820365906	0.09142505	No	
row_120	ATF3	13231	-0.24151408672332764	0.061501823	No	
row_121	SAT1	13416	-0.2674768269062042	0.05397401	No	
row_122	BCAP31	13522	-0.28239572048187256	0.050635576	No	
row_123	GADD45A	13708	-0.30871325731277466	0.043360356	No	
row_124	RHOT2	13883	-0.3282357156276703	0.03679717	No	
row_125	ETF1	13935	-0.33533164858818054	0.03663768	No	
row_126	GUCY2D	14055	-0.34858036041259766	0.03306462	No	
row_127	ANXA1	14128	-0.3593449890613556	0.031997915	No	
row_128	BNIP3L	14155	-0.36427947878837585	0.033342913	No	
row_129	FEZ1	14200	-0.3708290159702301	0.033806767	No	
row_130	FAS	14582	-0.42013972997665405	0.01723279	No	
row_131	IL6	14972	-0.4738338887691498	6.4186065E-4	No	
row_132	TGFB2	15391	-0.537352979183197	-0.016977912	No	
row_133	TOP2A	15717	-0.5892749428749084	-0.029412389	No	
row_134	GNA15	15805	-0.6017257571220398	-0.029465426	No	
row_135	CTNNB1	16260	-0.673846423625946	-0.047937114	No	
row_136	BTG3	16266	-0.674816906452179	-0.043216683	No	
row_137	EGR3	16357	-0.6902529001235962	-0.0427715	No	
row_138	EBP	16591	-0.7326033711433411	-0.04939794	No	
row_139	APP	16874	-0.791835606098175	-0.058117595	No	
row_140	CCND1	16919	-0.8016158938407898	-0.05447551	No	
row_141	BCL2L1	16999	-0.8184598684310913	-0.052516446	No	
row_142	SC5D	17693	-0.9859628677368164	-0.08102664	No	
row_143	SLC20A1	17966	-1.0729100704193115	-0.08715623	No	
