NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD51	98	2.645740032196045	0.02204543	No	
row_1	HCLS1	140	2.5264041423797607	0.04581001	No	
row_2	PDE6G	578	1.867018699645996	0.04238325	No	
row_3	NELFCD	817	1.7169636487960815	0.04768923	No	
row_4	NPR2	1036	1.6017107963562012	0.052846707	No	
row_5	TK2	1194	1.5346285104751587	0.06046506	No	
row_6	MPG	1306	1.4912012815475464	0.07001249	No	
row_7	DUT	1736	1.341905117034912	0.061619323	No	
row_8	ZNRD1	1747	1.3375260829925537	0.074804865	No	
row_9	GMPR2	1903	1.287500023841858	0.07999485	No	
row_10	TP53	1907	1.2869536876678467	0.09302358	No	
row_11	ERCC8	2110	1.2400833368301392	0.09530228	No	
row_12	CLP1	2604	1.1291356086730957	0.08142661	No	
row_13	MRPL40	2609	1.1287181377410889	0.09278277	No	
row_14	POLR3C	2683	1.1111717224121094	0.100398265	No	
row_15	BCAM	2948	1.0589990615844727	0.09762226	No	
row_16	SMAD5	3006	1.0497069358825684	0.10543383	No	
row_17	RAD52	3175	1.019291639328003	0.10720538	No	
row_18	DGUOK	3528	0.953743577003479	0.09880967	No	
row_19	UMPS	3530	0.9535531401634216	0.10852627	No	
row_20	CDA	3758	0.9151837229728699	0.106186494	No	
row_21	GPX4	3766	0.9139890074729919	0.115188144	No	
row_22	NME1	3854	0.899518609046936	0.11991296	No	
row_23	TAF12	4028	0.8714674711227417	0.11991216	No	
row_24	NFX1	4074	0.8628043532371521	0.1264284	No	
row_25	SNAPC4	4338	0.8236498236656189	0.121293075	No	
row_26	GUK1	4350	0.8210511803627014	0.12913625	No	
row_27	CMPK2	5152	0.7036740779876709	0.09500702	No	
row_28	RNMT	5343	0.678210973739624	0.092149176	No	
row_29	TAF6	5367	0.6748611927032471	0.09787548	No	
row_30	POLR2E	5369	0.6745023131370544	0.104733475	No	
row_31	ERCC1	5564	0.6491826772689819	0.10137184	No	
row_32	TAF13	5604	0.6439357399940491	0.10595562	No	
row_33	SURF1	5613	0.6418949961662292	0.11211833	No	
row_34	APRT	5779	0.6202794909477234	0.10995723	No	
row_35	POLD1	5806	0.6170135736465454	0.11493613	No	
row_36	UPF3B	5848	0.6126832962036133	0.11909655	No	
row_37	POLR2D	5859	0.6115947961807251	0.12484565	No	
row_38	SUPT4H1	6099	0.5817666053771973	0.118471056	No	
row_39	EIF1B	6485	0.534365713596344	0.104076184	No	
row_40	SDCBP	6575	0.5241720676422119	0.104852736	No	
row_41	TARBP2	6707	0.5079161524772644	0.10329524	No	
row_42	TAF10	6855	0.4905205965042114	0.10073382	No	
row_43	POLR3GL	6950	0.47734442353248596	0.10077263	No	
row_44	SRSF6	7032	0.4645402133464813	0.101351164	No	
row_45	VPS37D	7164	0.45006850361824036	0.099201076	No	
row_46	PCNA	7300	0.43508854508399963	0.0966911	No	
row_47	PDE4B	7650	0.3936486542224884	0.08271259	No	
row_48	NME4	7694	0.38826021552085876	0.08447081	No	
row_49	TAF9	7737	0.3837188482284546	0.08623411	No	
row_50	TAF1C	7825	0.37318840622901917	0.08556719	No	
row_51	CCNO	8002	0.3548656105995178	0.080119506	No	
row_52	ITPA	8084	0.34367990493774414	0.07945995	No	
row_53	RRM2B	8102	0.34155723452568054	0.082081534	No	
row_54	DGCR8	8289	0.3218238353729248	0.07577929	No	
row_55	DDB2	8329	0.31737425923347473	0.07701778	No	
row_56	POLH	8352	0.31491950154304504	0.07910845	No	
row_57	RPA2	8558	0.2954828441143036	0.07155582	No	
row_58	NCBP2	8621	0.28949764370918274	0.07132176	No	
row_59	RFC2	8991	0.24933576583862305	0.054832768	No	
row_60	DDB1	9103	0.23523809015750885	0.051514108	No	
row_61	POLE4	9182	0.22595547139644623	0.049803406	No	
row_62	GTF2H1	9450	0.19772391021251678	0.038049668	No	
row_63	POLA1	9568	0.18277589976787567	0.033883937	No	
row_64	VPS28	9610	0.17879195511341095	0.033599574	No	
row_65	PNP	9774	0.16298040747642517	0.02685711	No	
row_66	CANT1	10069	0.13180992007255554	0.013034745	No	
row_67	EDF1	10359	0.0992087572813034	-8.635492E-4	No	
row_68	RFC3	10540	0.08080373704433441	-0.009325159	No	
row_69	NELFE	11036	0.023626521229743958	-0.03462888	No	
row_70	POLR2A	11073	0.020452845841646194	-0.03627723	No	
row_71	NELFB	11209	0.004584359936416149	-0.043197293	No	
row_72	SAC3D1	11259	-0.0015057522105053067	-0.04571064	No	
row_73	NUDT21	11618	-0.04120960459113121	-0.063764	No	
row_74	POLA2	11795	-0.06267418712377548	-0.072204895	No	
row_75	LIG1	11798	-0.06302908807992935	-0.07166244	No	
row_76	SUPT5H	11803	-0.06368672847747803	-0.071216464	No	
row_77	ELL	11866	-0.07156037539243698	-0.07368307	No	
row_78	DAD1	11908	-0.07554825395345688	-0.07502507	No	
row_79	GTF2H5	11955	-0.0813995823264122	-0.076565154	No	
row_80	NT5C	12004	-0.08827817440032959	-0.078137994	No	
row_81	POLR2K	12126	-0.10280114412307739	-0.08332942	No	
row_82	ALYREF	12190	-0.11003588885068893	-0.08545349	No	
row_83	POLR2J	12457	-0.1413412243127823	-0.0977332	No	
row_84	SEC61A1	12535	-0.15081708133220673	-0.100162014	No	
row_85	POLD4	12570	-0.15444281697273254	-0.100334555	No	
row_86	BRF2	12764	-0.17758800089359283	-0.10847561	No	
row_87	ADRM1	12893	-0.19452062249183655	-0.113088705	No	
row_88	BOLA2	12918	-0.19971072673797607	-0.11228145	No	
row_89	TMED2	13101	-0.22720257937908173	-0.11934657	No	
row_90	ADA	13108	-0.22811083495616913	-0.11731944	No	
row_91	POLB	13179	-0.23511093854904175	-0.11852349	No	
row_92	TSG101	13249	-0.24360813200473785	-0.1195889	No	
row_93	AK3	13400	-0.26494815945625305	-0.1246159	No	
row_94	POLR1C	13415	-0.2673758864402771	-0.12259941	No	
row_95	BCAP31	13522	-0.28239572048187256	-0.12517695	No	
row_96	GTF3C5	13697	-0.3068530559539795	-0.13101326	No	
row_97	ZWINT	13809	-0.32061368227005005	-0.13345733	No	
row_98	ERCC3	13864	-0.32605621218681335	-0.13290402	No	
row_99	SF3A3	13890	-0.3290366530418396	-0.13082355	No	
row_100	ERCC5	13905	-0.33133405447006226	-0.12815188	No	
row_101	RBX1	14041	-0.34713485836982727	-0.13156284	No	
row_102	VPS37B	14106	-0.3560706377029419	-0.13121815	No	
row_103	ZNF707	14123	-0.3585261404514313	-0.12837112	No	
row_104	DCTN4	14142	-0.36253291368484497	-0.12558627	No	
row_105	NUDT9	14168	-0.36636391282081604	-0.12312343	No	
row_106	GTF2H3	14442	-0.400983601808548	-0.13310462	No	
row_107	REV3L	14665	-0.43094518780708313	-0.1401469	No	
row_108	POLR2G	14701	-0.43510058522224426	-0.137496	No	
row_109	ADCY6	14968	-0.4732762575149536	-0.14637536	No	
row_110	MPC2	15210	-0.5097979307174683	-0.15359041	No	
row_111	NME3	15212	-0.5100467801094055	-0.1484171	No	
row_112	XPC	15275	-0.5199875235557556	-0.14629002	No	
row_113	TYMS	15427	-0.5414026975631714	-0.14853662	No	
row_114	CSTF3	15799	-0.6007473468780518	-0.16152897	No	
row_115	POLR2H	15804	-0.6016952991485596	-0.15557164	No	
row_116	SSRP1	16223	-0.6670868396759033	-0.17030996	Yes	
row_117	RFC5	16282	-0.6782025098800659	-0.1663557	Yes	
row_118	ARL6IP1	16290	-0.6792812347412109	-0.15975839	Yes	
row_119	AAAS	16372	-0.6925274133682251	-0.15684435	Yes	
row_120	RALA	16495	-0.7147870659828186	-0.1558182	Yes	
row_121	ERCC2	16549	-0.7247177958488464	-0.15112938	Yes	
row_122	RAE1	16558	-0.7264304757118225	-0.14410068	Yes	
row_123	POM121	16565	-0.7275193333625793	-0.13695762	Yes	
row_124	USP11	16584	-0.7317269444465637	-0.13039075	Yes	
row_125	PRIM1	16664	-0.746539294719696	-0.12682019	Yes	
row_126	POLR2C	16684	-0.7501986622810364	-0.1201157	Yes	
row_127	AGO4	16792	-0.7743481993675232	-0.11770528	Yes	
row_128	SNAPC5	17013	-0.8231216073036194	-0.12062688	Yes	
row_129	POLR2I	17227	-0.8730602264404297	-0.122675665	Yes	
row_130	POLL	17325	-0.8930564522743225	-0.11853313	Yes	
row_131	COX17	17596	-0.9609142541885376	-0.12262356	Yes	
row_132	STX3	18062	-1.0954492092132568	-0.1353993	Yes	
row_133	POLR2F	18132	-1.1187502145767212	-0.12749974	Yes	
row_134	NT5C3A	18174	-1.1333755254745483	-0.11800534	Yes	
row_135	IMPDH2	18223	-1.1476223468780518	-0.10872626	Yes	
row_136	GTF2F1	18266	-1.16317617893219	-0.0989782	Yes	
row_137	GTF2A2	18361	-1.1981184482574463	-0.09155578	Yes	
row_138	CETN2	18555	-1.2869136333465576	-0.08833289	Yes	
row_139	HPRT1	18578	-1.2986570596694946	-0.07616481	Yes	
row_140	RPA3	18625	-1.3172755241394043	-0.06504458	Yes	
row_141	ERCC4	18696	-1.3631832599639893	-0.05469266	Yes	
row_142	GTF2B	18898	-1.47207772731781	-0.04998581	Yes	
row_143	POLR1D	18973	-1.5169858932495117	-0.038264763	Yes	
row_144	RFC4	19031	-1.5532848834991455	-0.025294539	Yes	
row_145	AK1	19058	-1.577416181564331	-0.010477277	Yes	
row_146	FEN1	19146	-1.666700839996338	0.0021065546	Yes	
