NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LBR	43	2.9784224033355713	0.019616613	No	
row_1	CTPS1	436	2.004976272583008	0.01403999	No	
row_2	SMC6	725	1.7752786874771118	0.012159204	No	
row_3	NUP107	970	1.6343777179718018	0.011521428	No	
row_4	ZW10	1145	1.5531795024871826	0.01390953	No	
row_5	MXD3	1190	1.5362709760665894	0.022898939	No	
row_6	RAD21	1292	1.4956830739974976	0.028641924	No	
row_7	LYAR	1631	1.3774124383926392	0.021256885	No	
row_8	DCK	1687	1.3567826747894287	0.028361019	No	
row_9	DUT	1736	1.341905117034912	0.035718184	No	
row_10	CDKN2C	1740	1.3404353857040405	0.04539256	No	
row_11	TP53	1907	1.2869536876678467	0.046242263	No	
row_12	CENPE	2183	1.221472144126892	0.040972874	No	
row_13	AURKA	2494	1.1536853313446045	0.03339574	No	
row_14	CDKN1A	2496	1.1533324718475342	0.041801535	No	
row_15	TFRC	2681	1.111968994140625	0.040436856	No	
row_16	MELK	2767	1.0951095819473267	0.044070117	No	
row_17	PNN	2800	1.087965488433838	0.050392844	No	
row_18	CDCA8	2930	1.0628955364227295	0.051513623	No	
row_19	MMS22L	2933	1.0617412328720093	0.059196033	No	
row_20	PDS5B	3000	1.05178964138031	0.063494556	No	
row_21	GINS4	3150	1.0222699642181396	0.06328276	No	
row_22	CCNE1	3242	1.007074236869812	0.06596005	No	
row_23	CDKN1B	3461	0.9643414616584778	0.061753873	No	
row_24	PRKDC	3608	0.9378904700279236	0.06107851	No	
row_25	CENPM	3610	0.9375089406967163	0.06790165	No	
row_26	BARD1	3699	0.9250227212905884	0.07013244	No	
row_27	RRM2	3764	0.914752185344696	0.07352951	No	
row_28	NME1	3854	0.899518609046936	0.07552155	No	
row_29	CDKN3	3929	0.8849833011627197	0.078182995	No	
row_30	ORC6	3995	0.8750929236412048	0.08123751	No	
row_31	MCM5	4039	0.8683075308799744	0.0853804	No	
row_32	TK1	4165	0.8492510914802551	0.08514142	No	
row_33	NBN	4225	0.8392584919929504	0.08824356	No	
row_34	SPC24	4234	0.8375397324562073	0.093971476	No	
row_35	POLE	4264	0.8345240950584412	0.09859088	No	
row_36	MYC	4550	0.7929103970527649	0.08966147	No	
row_37	MCM3	4713	0.7706007361412048	0.08693162	No	
row_38	RANBP1	4751	0.7641903758049011	0.090621404	No	
row_39	CDKN2A	4773	0.7608362436294556	0.09511431	No	
row_40	POLD2	4917	0.736454963684082	0.093117	No	
row_41	TIPIN	4945	0.7331079244613647	0.097096175	No	
row_42	WEE1	5041	0.7191789150238037	0.09745536	No	
row_43	NCAPD2	5317	0.6817835569381714	0.088228375	No	
row_44	PPM1D	5480	0.6593271493911743	0.08468254	No	
row_45	PAN2	5484	0.6585426926612854	0.08935652	No	
row_46	BRCA2	5547	0.6512471437454224	0.09092474	No	
row_47	NAP1L1	5579	0.6473926901817322	0.09406842	No	
row_48	POLD1	5806	0.6170135736465454	0.08690139	No	
row_49	CDC25B	5836	0.6142376065254211	0.08990541	No	
row_50	CDC20	6106	0.5806188583374023	0.08024697	No	
row_51	BUB1B	6163	0.5728079080581665	0.08155038	No	
row_52	PRDX4	6428	0.5406137704849243	0.071857244	No	
row_53	TRA2B	6611	0.5191466808319092	0.0662488	No	
row_54	SMC3	6669	0.5126107931137085	0.06705905	No	
row_55	PRPS1	6699	0.5086352229118347	0.06928867	No	
row_56	XPO1	6729	0.5050751566886902	0.071492195	No	
row_57	SPC25	6921	0.48076650500297546	0.06513669	No	
row_58	RBBP7	6984	0.47178155183792114	0.06538888	No	
row_59	NUP205	7064	0.461277037858963	0.06468457	No	
row_60	BIRC5	7120	0.45513829588890076	0.06517684	No	
row_61	SMC4	7221	0.44380056858062744	0.06325797	No	
row_62	KIF18B	7294	0.4360368847846985	0.0627307	No	
row_63	PCNA	7300	0.43508854508399963	0.06566259	No	
row_64	BRCA1	7400	0.4228106737136841	0.06364154	No	
row_65	GINS3	7405	0.4222148358821869	0.066530764	No	
row_66	TBRG4	7547	0.40616917610168457	0.062214892	No	
row_67	SPAG5	7569	0.40278396010398865	0.06408216	No	
row_68	E2F8	7624	0.396148145198822	0.06419358	No	
row_69	ATAD2	8011	0.35381320118904114	0.046819173	No	
row_70	HMMR	8034	0.3508879244327545	0.04825415	No	
row_71	HMGB3	8162	0.3357453942298889	0.044146113	No	
row_72	SRSF1	8229	0.3277263939380646	0.043134987	No	
row_73	IPO7	8248	0.3257136940956116	0.04459229	No	
row_74	PTTG1	8267	0.32385116815567017	0.046035938	No	
row_75	RACGAP1	8275	0.3232174217700958	0.048044	No	
row_76	CHEK2	8338	0.3162960708141327	0.047155987	No	
row_77	PLK1	8353	0.31491321325302124	0.04874102	No	
row_78	KIF22	8368	0.31279703974723816	0.050310537	No	
row_79	UBR7	8389	0.31105896830558777	0.051556908	No	
row_80	UBE2S	8411	0.3079497218132019	0.052728746	No	
row_81	RPA2	8558	0.2954828441143036	0.04734253	No	
row_82	LUC7L3	8882	0.2606213390827179	0.032543924	No	
row_83	PHF5A	8888	0.2599887251853943	0.034191787	No	
row_84	MLH1	8940	0.25556492805480957	0.033427488	No	
row_85	RFC2	8991	0.24933576583862305	0.032669246	No	
row_86	POLE4	9182	0.22595547139644623	0.024496922	No	
row_87	DIAPH3	9196	0.2231043130159378	0.025460444	No	
row_88	CDCA3	9261	0.217042937874794	0.02374113	No	
row_89	WDR90	9483	0.19337475299835205	0.0137261655	No	
row_90	DONSON	9608	0.17904017865657806	0.0086241895	No	
row_91	HMGA1	9739	0.16606232523918152	0.0031166468	No	
row_92	USP1	9967	0.14211274683475494	-0.0075846277	No	
row_93	CCP110	10075	0.1314537227153778	-0.012156099	No	
row_94	ASF1A	10183	0.11849906295537949	-0.016822567	No	
row_95	TACC3	10312	0.10292483866214752	-0.022689639	No	
row_96	HUS1	10360	0.0991593673825264	-0.024393946	No	
row_97	MCM6	10478	0.08639933913946152	-0.029813137	No	
row_98	RFC3	10540	0.08080373704433441	-0.032376308	No	
row_99	ASF1B	10559	0.07925459742546082	-0.03272632	No	
row_100	SNRPB	10691	0.06368723511695862	-0.039036326	No	
row_101	ING3	10755	0.05672779679298401	-0.041879516	No	
row_102	STAG1	10880	0.04170800372958183	-0.047988564	No	
row_103	KIF2C	11017	0.02563277818262577	-0.05483629	No	
row_104	RNASEH2A	11030	0.024335846304893494	-0.055278633	No	
row_105	PMS2	11035	0.023780466988682747	-0.05531118	No	
row_106	AK2	11170	0.008801921270787716	-0.062178865	No	
row_107	AURKB	11187	0.007423256058245897	-0.06295215	No	
row_108	TUBG1	11260	-0.0015209821285679936	-0.06666578	No	
row_109	TRIP13	11295	-0.005728461779654026	-0.0683827	No	
row_110	DCTPP1	11564	-0.03496668487787247	-0.08199075	No	
row_111	NUDT21	11618	-0.04120960459113121	-0.084430404	No	
row_112	NOLC1	11668	-0.045833438634872437	-0.08662922	No	
row_113	CKS1B	11677	-0.04739111289381981	-0.08669556	No	
row_114	KIF4A	11701	-0.04976176843047142	-0.08752051	No	
row_115	DLGAP5	11706	-0.05024296045303345	-0.087359	No	
row_116	MYBL2	11738	-0.054324179887771606	-0.088564366	No	
row_117	SUV39H1	11786	-0.0615626722574234	-0.09054437	No	
row_118	POLA2	11795	-0.06267418712377548	-0.09049864	No	
row_119	LIG1	11798	-0.06302908807992935	-0.0901399	No	
row_120	RPA1	12240	-0.11669836193323135	-0.11209842	No	
row_121	EED	12261	-0.11958326399326324	-0.11225616	No	
row_122	SMC1A	12445	-0.13979117572307587	-0.120698206	No	
row_123	RAD1	12701	-0.17080025374889374	-0.13263763	No	
row_124	CCNB2	12738	-0.17540380358695984	-0.13321377	No	
row_125	ILF3	13047	-0.21870926022529602	-0.14754373	No	
row_126	EIF2S1	13338	-0.25727027654647827	-0.16065973	No	
row_127	RAN	13442	-0.2713426649570465	-0.16399844	No	
row_128	CHEK1	13638	-0.298922061920166	-0.17189436	No	
row_129	MCM4	14052	-0.34834009408950806	-0.19070569	No	
row_130	TMPO	14204	-0.37132787704467773	-0.19579439	No	
row_131	MCM7	14305	-0.384503573179245	-0.19814809	No	
row_132	PLK4	14506	-0.40935927629470825	-0.20549281	No	
row_133	PA2G4	14519	-0.41091424226760864	-0.20310032	No	
row_134	HNRNPD	15028	-0.48211178183555603	-0.22584534	No	
row_135	CIT	15039	-0.48348161578178406	-0.22281724	No	
row_136	XRCC6	15165	-0.5014857053756714	-0.22560641	No	
row_137	DEK	15255	-0.5173178911209106	-0.2264171	No	
row_138	TCF19	15389	-0.5371185541152954	-0.22935884	No	
row_139	CTCF	15448	-0.5443295240402222	-0.22836772	No	
row_140	RAD51AP1	15514	-0.5552202463150024	-0.22765887	No	
row_141	TOP2A	15717	-0.5892749428749084	-0.23378773	No	
row_142	NASP	15780	-0.5973619222640991	-0.23261465	No	
row_143	PPP1R8	15887	-0.6167701482772827	-0.23357551	No	
row_144	DNMT1	15993	-0.6342439651489258	-0.23435648	No	
row_145	RAD51C	16210	-0.6645791530609131	-0.24065739	Yes	
row_146	SSRP1	16223	-0.6670868396759033	-0.23638636	Yes	
row_147	RAD50	16224	-0.6673370003700256	-0.23149268	Yes	
row_148	DDX39A	16278	-0.6776271462440491	-0.22926542	Yes	
row_149	GINS1	16319	-0.6836723685264587	-0.2263213	Yes	
row_150	DCLRE1B	16362	-0.6907334327697754	-0.22342885	Yes	
row_151	DSCC1	16537	-0.7228549122810364	-0.22712961	Yes	
row_152	BRMS1L	16548	-0.7246379256248474	-0.22233309	Yes	
row_153	TIMELESS	16573	-0.7297120094299316	-0.21822362	Yes	
row_154	DEPDC1	16689	-0.7518929839134216	-0.21865919	Yes	
row_155	SYNCRIP	16819	-0.7803754806518555	-0.21961017	Yes	
row_156	PSIP1	16852	-0.7877270579338074	-0.21548913	Yes	
row_157	NAA38	16947	-0.8078411817550659	-0.21442804	Yes	
row_158	CSE1L	17077	-0.8372625112533569	-0.21496186	Yes	
row_159	EXOSC8	17095	-0.8411445617675781	-0.2096731	Yes	
row_160	SLBP	17396	-0.9101035594940186	-0.21851912	Yes	
row_161	HELLS	17401	-0.9119668006896973	-0.21203849	Yes	
row_162	MAD2L1	17419	-0.9166718125343323	-0.20619588	Yes	
row_163	GSPT1	17465	-0.9274904131889343	-0.20172247	Yes	
row_164	CDC25A	17605	-0.9626045823097229	-0.20185447	Yes	
row_165	MCM2	17633	-0.9720006585121155	-0.19612347	Yes	
row_166	CDK1	17767	-1.0035074949264526	-0.19564511	Yes	
row_167	POP7	17887	-1.0422797203063965	-0.19415818	Yes	
row_168	ESPL1	17897	-1.0460638999938965	-0.18695287	Yes	
row_169	UNG	17941	-1.0585228204727173	-0.18141511	Yes	
row_170	TUBB	18038	-1.0906931161880493	-0.1783833	Yes	
row_171	PAICS	18073	-1.097244381904602	-0.172096	Yes	
row_172	ANP32E	18099	-1.1094328165054321	-0.16525371	Yes	
row_173	UBE2T	18188	-1.1371703147888184	-0.16146722	Yes	
row_174	RFC1	18207	-1.1430879831314087	-0.15401602	Yes	
row_175	KPNA2	18249	-1.1584234237670898	-0.14764221	Yes	
row_176	NOP56	18355	-1.197024941444397	-0.14429624	Yes	
row_177	MSH2	18429	-1.2271583080291748	-0.13907386	Yes	
row_178	CBX5	18464	-1.245507001876831	-0.13169934	Yes	
row_179	CDK4	18465	-1.246675729751587	-0.122557305	Yes	
row_180	HMGB2	18486	-1.2568435668945312	-0.11437538	Yes	
row_181	NUP153	18512	-1.268762469291687	-0.10636472	Yes	
row_182	MKI67	18576	-1.2968451976776123	-0.10011397	Yes	
row_183	ORC2	18583	-1.300504446029663	-0.09088761	Yes	
row_184	RPA3	18625	-1.3172755241394043	-0.08334893	Yes	
row_185	PRIM2	18634	-1.320297360420227	-0.07408089	Yes	
row_186	EZH2	18711	-1.370146632194519	-0.06796516	Yes	
