NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCN	10	3.5462682247161865	0.018646315	Yes	
row_1	TGFBR3	20	3.284787893295288	0.03593135	Yes	
row_2	LUM	27	3.190079689025879	0.05285981	Yes	
row_3	ABI3BP	73	2.777242660522461	0.06553954	Yes	
row_4	COL3A1	82	2.7318689823150635	0.07988839	Yes	
row_5	FERMT2	139	2.528484582901001	0.09065473	Yes	
row_6	GEM	153	2.492971897125244	0.10345391	Yes	
row_7	IL15	194	2.3956072330474854	0.11433001	Yes	
row_8	SFRP4	202	2.3799281120300293	0.12682875	Yes	
row_9	PRRX1	224	2.326099395751953	0.13831227	Yes	
row_10	CTHRC1	258	2.249769449234009	0.14876243	Yes	
row_11	COL6A3	289	2.18782114982605	0.15903306	Yes	
row_12	CXCL12	303	2.1673312187194824	0.17007251	Yes	
row_13	COL12A1	336	2.115765333175659	0.17985028	Yes	
row_14	COL11A1	349	2.0983986854553223	0.19056897	Yes	
row_15	COLGALT1	351	2.0951571464538574	0.20183925	Yes	
row_16	DAB2	382	2.061053991317749	0.21142484	Yes	
row_17	GADD45B	415	2.0276896953582764	0.22072667	Yes	
row_18	VIM	430	2.010883092880249	0.23086895	Yes	
row_19	CAPG	443	1.993908166885376	0.24102297	Yes	
row_20	CD44	511	1.9244831800460815	0.24795623	Yes	
row_21	PDLIM4	533	1.905754804611206	0.25716823	Yes	
row_22	HTRA1	602	1.8548706769943237	0.26367357	Yes	
row_23	ANPEP	613	1.8500617742538452	0.27315375	Yes	
row_24	ITGA5	627	1.8424252271652222	0.28243744	Yes	
row_25	JUN	682	1.8055052757263184	0.28940034	Yes	
row_26	OXTR	695	1.7935420274734497	0.2984716	Yes	
row_27	SPARC	717	1.778780460357666	0.30699748	Yes	
row_28	TIMP1	737	1.7689353227615356	0.3155736	Yes	
row_29	FSTL1	769	1.7516995668411255	0.32343572	Yes	
row_30	VEGFC	776	1.7469724416732788	0.33256575	Yes	
row_31	LAMC2	813	1.7220619916915894	0.34000903	Yes	
row_32	EMP3	877	1.6823123693466187	0.34584057	Yes	
row_33	SPOCK1	905	1.6640750169754028	0.35343614	Yes	
row_34	ITGA2	972	1.6342909336090088	0.35885295	Yes	
row_35	COL5A1	1117	1.5682259798049927	0.35987717	Yes	
row_36	FUCA1	1124	1.5644415616989136	0.36802083	Yes	
row_37	COL1A1	1129	1.5624456405639648	0.37625718	Yes	
row_38	LOXL1	1201	1.5309908390045166	0.3808571	Yes	
row_39	COL5A2	1242	1.5149483680725098	0.3869742	Yes	
row_40	PCOLCE2	1293	1.4955782890319824	0.39246923	Yes	
row_41	FOXC2	1399	1.4564810991287231	0.3949074	Yes	
row_42	TAGLN	1435	1.4440233707427979	0.40089992	Yes	
row_43	BMP1	1466	1.4338775873184204	0.4070963	Yes	
row_44	GREM1	1487	1.4254480600357056	0.4137645	Yes	
row_45	WIPF1	1559	1.3985984325408936	0.41764897	Yes	
row_46	MMP1	1618	1.3807251453399658	0.42210945	Yes	
row_47	TGM2	1666	1.3654074668884277	0.42705628	Yes	
row_48	FBLN1	1684	1.3580626249313354	0.43351558	Yes	
row_49	QSOX1	1888	1.2917200326919556	0.429993	Yes	
row_50	LGALS1	1910	1.2867159843444824	0.4358598	Yes	
row_51	THBS2	2061	1.2498708963394165	0.43485323	Yes	
row_52	SPP1	2226	1.2129945755004883	0.43292302	Yes	
row_53	COL6A2	2277	1.2026182413101196	0.43683493	Yes	
row_54	FBN1	2280	1.2017992734909058	0.4432259	Yes	
row_55	SERPINE1	2322	1.1903010606765747	0.4475369	Yes	
row_56	SERPINH1	2514	1.1493778228759766	0.44386595	Yes	
row_57	ADAM12	2598	1.1297194957733154	0.44567657	Yes	
row_58	ECM2	2600	1.1296318769454956	0.45172927	Yes	
row_59	TIMP3	2668	1.1155307292938232	0.45429102	Yes	
row_60	NOTCH2	2770	1.094191312789917	0.45497835	Yes	
row_61	ELN	2782	1.091418743133545	0.46030715	Yes	
row_62	PLAUR	2785	1.090700626373291	0.4660977	Yes	
row_63	GLIPR1	2883	1.072474718093872	0.46687463	Yes	
row_64	IGFBP3	2905	1.067641019821167	0.47155756	Yes	
row_65	THBS1	2957	1.0578911304473877	0.47463563	Yes	
row_66	MATN3	3065	1.038041591644287	0.4747091	Yes	
row_67	EFEMP2	3134	1.0248411893844604	0.47672904	Yes	
row_68	VCAM1	3262	1.0031120777130127	0.475579	Yes	
row_69	MSX1	3389	0.9783422946929932	0.47434682	Yes	
row_70	FBN2	3394	0.9771530032157898	0.4794203	Yes	
row_71	PVR	3581	0.944586992263794	0.4749014	No	
row_72	PDGFRB	3793	0.9089740514755249	0.46889663	No	
row_73	ACTA2	3898	0.890218198299408	0.46832648	No	
row_74	FLNA	4047	0.8673624396324158	0.46535635	No	
row_75	IL32	4058	0.8651432991027832	0.4695141	No	
row_76	COL7A1	4082	0.8616847395896912	0.4729806	No	
row_77	WNT5A	4255	0.835174560546875	0.4685948	No	
row_78	PMP22	4438	0.8110020756721497	0.46356097	No	
row_79	PPIB	4886	0.7404231429100037	0.4444351	No	
row_80	COL5A3	4943	0.7334181070327759	0.44550106	No	
row_81	ITGAV	4947	0.7330273985862732	0.44930705	No	
row_82	COMP	5232	0.6930931806564331	0.43835875	No	
row_83	GPX7	5353	0.676765501499176	0.43580732	No	
row_84	MYL9	5389	0.6724764704704285	0.43763047	No	
row_85	CDH11	5473	0.6603775024414062	0.4369048	No	
row_86	LRRC15	5475	0.6601513028144836	0.44042045	No	
row_87	COL4A1	5985	0.5961390137672424	0.41730708	No	
row_88	THY1	6015	0.59186190366745	0.41900504	No	
row_89	INHBA	6377	0.5461326241493225	0.4032787	No	
row_90	LAMC1	6379	0.5459265112876892	0.4061771	No	
row_91	CXCL8	6383	0.5452871322631836	0.40896857	No	
row_92	VEGFA	6466	0.5361460447311401	0.40762332	No	
row_93	CXCL1	6705	0.5080070495605469	0.39805478	No	
row_94	COL4A2	6739	0.5041943788528442	0.39907205	No	
row_95	GJA1	6750	0.5027562975883484	0.4012715	No	
row_96	FGF2	6781	0.4986244738101959	0.40241387	No	
row_97	SDC1	6961	0.47606155276298523	0.39572528	No	
row_98	FMOD	6990	0.47047659754753113	0.39681903	No	
row_99	LAMA3	7040	0.46373242139816284	0.39678982	No	
row_100	TNFRSF12A	7109	0.45645350217819214	0.3957382	No	
row_101	CAP2	7132	0.45431581139564514	0.39705506	No	
row_102	PCOLCE	7165	0.4498544931411743	0.3978304	No	
row_103	APLP1	7239	0.4419986605644226	0.39644203	No	
row_104	TNFAIP3	7326	0.4317632019519806	0.39432573	No	
row_105	EDIL3	7364	0.4278603792190552	0.3947235	No	
row_106	TNFRSF11B	7476	0.41524848341941833	0.39122453	No	
row_107	MGP	7507	0.4122433364391327	0.3919001	No	
row_108	PRSS2	7533	0.4086220860481262	0.3928148	No	
row_109	P3H1	7539	0.4071545898914337	0.39475632	No	
row_110	FSTL3	7562	0.40468302369117737	0.39580494	No	
row_111	SCG2	7667	0.3917246162891388	0.392541	No	
row_112	COL16A1	7700	0.38731884956359863	0.3929784	No	
row_113	CALD1	8079	0.34438392519950867	0.3752823	No	
row_114	ITGB5	8594	0.29250380396842957	0.3502694	No	
row_115	CDH6	8653	0.286226361989975	0.34881532	No	
row_116	ECM1	8679	0.28324881196022034	0.34905252	No	
row_117	TGFB1	8747	0.27562010288238525	0.34707546	No	
row_118	MMP2	8820	0.26730817556381226	0.3447948	No	
row_119	POSTN	8836	0.2650313973426819	0.34545094	No	
row_120	COPA	8920	0.25751909613609314	0.34254825	No	
row_121	COL8A2	8939	0.2556118071079254	0.34299827	No	
row_122	MYLK	9039	0.24308408796787262	0.33918977	No	
row_123	MATN2	9115	0.23363909125328064	0.33657196	No	
row_124	FBLN5	9310	0.21144814789295197	0.32767734	No	
row_125	NTM	9344	0.20844733715057373	0.3270964	No	
row_126	VCAN	9348	0.2082328051328659	0.32806647	No	
row_127	RGS4	9371	0.20555733144283295	0.32803902	No	
row_128	FN1	9659	0.17348821461200714	0.31412762	No	
row_129	MXRA5	9766	0.1638585925102234	0.30952883	No	
row_130	BGN	10044	0.13478846848011017	0.29592568	No	
row_131	SERPINE2	10247	0.112127386033535	0.28608045	No	
row_132	ITGB1	10352	0.09966958314180374	0.28123826	No	
row_133	LOX	10376	0.09746148437261581	0.28057495	No	
row_134	LAMA2	10621	0.07070982456207275	0.26833287	No	
row_135	FBLN2	10687	0.06405182182788849	0.265316	No	
row_136	NT5E	10801	0.05009156093001366	0.25974026	No	
row_137	IGFBP4	10846	0.04574907571077347	0.257711	No	
row_138	NNMT	10925	0.035999272018671036	0.25386992	No	
row_139	LAMA1	11308	-0.0066119953989982605	0.23414159	No	
row_140	COL1A2	11461	-0.023740621283650398	0.22640564	No	
row_141	CALU	11472	-0.024558380246162415	0.22602096	No	
row_142	TGFBI	11526	-0.031128540635108948	0.22344705	No	
row_143	SLIT3	11622	-0.04149438813328743	0.21875612	No	
row_144	TPM4	11760	-0.057845406234264374	0.21198057	No	
row_145	PMEPA1	11923	-0.07684032618999481	0.20401417	No	
row_146	GPC1	11943	-0.07980704307556152	0.2034624	No	
row_147	ITGB3	12050	-0.0931873470544815	0.19848172	No	
row_148	SGCD	12062	-0.09452341496944427	0.19842339	No	
row_149	PFN2	12331	-0.12659041583538055	0.18524158	No	
row_150	RHOB	12478	-0.14439326524734497	0.17846806	No	
row_151	TPM1	12494	-0.14640122652053833	0.17848313	No	
row_152	PLOD3	12560	-0.1532987505197525	0.17594853	No	
row_153	DPYSL3	12729	-0.17401240766048431	0.16819683	No	
row_154	IGFBP2	12932	-0.20160174369812012	0.15883511	No	
row_155	PTHLH	13325	-0.25479254126548767	0.13993053	No	
row_156	SAT1	13416	-0.2674768269062042	0.1367195	No	
row_157	CD59	13619	-0.2954138517379761	0.12786472	No	
row_158	DKK1	13696	-0.30678680539131165	0.12559044	No	
row_159	GADD45A	13708	-0.30871325731277466	0.12668958	No	
row_160	GAS1	13762	-0.3158479332923889	0.12565425	No	
row_161	MFAP5	13841	-0.3237537443637848	0.123368196	No	
row_162	LRP1	13886	-0.3286685347557068	0.1228678	No	
row_163	PTX3	14148	-0.36319753527641296	0.11132676	No	
row_164	MCM7	14305	-0.384503573179245	0.10533339	No	
row_165	NID2	14347	-0.38893604278564453	0.10531389	No	
row_166	SLIT2	14426	-0.39889782667160034	0.1034339	No	
row_167	FZD8	14573	-0.4192469120025635	0.09814566	No	
row_168	FAS	14582	-0.42013972997665405	0.10000215	No	
row_169	BDNF	14647	-0.42840033769607544	0.09900592	No	
row_170	IL6	14972	-0.4738338887691498	0.08480323	No	
row_171	SNTB1	15235	-0.5127358436584473	0.074018545	No	
row_172	SNAI2	15352	-0.5315560698509216	0.07088937	No	
row_173	TFPI2	15647	-0.5786318182945251	0.058805145	No	
row_174	AREG	15666	-0.5824684500694275	0.06102146	No	
row_175	SDC4	15725	-0.5906237363815308	0.061212305	No	
row_176	MEST	16197	-0.662638783454895	0.04042435	No	
row_177	FAP	16237	-0.6702083349227905	0.042028297	No	
row_178	PLOD1	16241	-0.670678973197937	0.045497365	No	
row_179	SGCG	16645	-0.7421413064002991	0.028657248	No	
row_180	DST	16965	-0.8120775818824768	0.016541084	No	
row_181	SFRP1	17034	-0.826684832572937	0.017490199	No	
row_182	SGCB	17209	-0.8686373233795166	0.01318175	No	
row_183	CRLF1	17279	-0.8832560777664185	0.014384831	No	
row_184	SLC6A8	17742	-0.9949808120727539	-0.004141533	No	
row_185	MMP3	17836	-1.0263018608093262	-0.0034071668	No	
row_186	TPM2	17855	-1.0325560569763184	0.0012413765	No	
row_187	CXCL6	18090	-1.1061209440231323	-0.004888039	No	
row_188	CDH2	18252	-1.159125804901123	-0.0069541167	No	
row_189	MMP14	18377	-1.2035068273544312	-0.006866043	No	
row_190	CADM1	18479	-1.2540713548660278	-0.0053147394	No	
row_191	PLOD2	18899	-1.4736354351043701	-0.019029748	No	
row_192	ID2	18928	-1.4887803792953491	-0.012433195	No	
row_193	TNC	19105	-1.6210952997207642	-0.012778909	No	
row_194	MAGEE1	19359	-1.9892518520355225	-0.0151189985	No	
row_195	ENO2	19362	-1.9914896488189697	-0.0044606547	No	
row_196	BASP1	19476	-2.366915464401245	0.0024834916	No	
