NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCMR	7	3.6128110885620117	0.02294632	Yes	
row_1	OPN3	165	2.4548120498657227	0.030661317	Yes	
row_2	CXCL12	303	2.1673312187194824	0.03755631	Yes	
row_3	PDZK1	313	2.142833948135376	0.05091543	Yes	
row_4	FKBP5	421	2.021260976791382	0.058420107	Yes	
row_5	PGR	451	1.9843761920928955	0.069722205	Yes	
row_6	KRT18	473	1.9633879661560059	0.08130278	Yes	
row_7	CD44	511	1.9244831800460815	0.09180459	Yes	
row_8	OLFML3	554	1.8850109577178955	0.10179305	Yes	
row_9	ABAT	600	1.8556571006774902	0.111436926	Yes	
row_10	CA12	607	1.8508856296539307	0.123067714	Yes	
row_11	CISH	680	1.806960940361023	0.13100056	Yes	
row_12	SVIL	721	1.7763597965240479	0.14039153	Yes	
row_13	UGCG	748	1.7630730867385864	0.15042107	Yes	
row_14	KRT19	786	1.7430113554000854	0.15975209	Yes	
row_15	GAB2	801	1.7320590019226074	0.17020236	Yes	
row_16	CHPT1	844	1.6986759901046753	0.17898867	Yes	
row_17	MYOF	965	1.6365405321121216	0.18333872	Yes	
row_18	AMFR	1014	1.616550087928772	0.19128476	Yes	
row_19	PAPSS2	1146	1.553139090538025	0.19452764	Yes	
row_20	RHOD	1158	1.5478764772415161	0.20394485	Yes	
row_21	SLC19A2	1212	1.5272119045257568	0.21105585	Yes	
row_22	TIPARP	1557	1.3997361660003662	0.2022893	Yes	
row_23	TGM2	1666	1.3654074668884277	0.20551093	Yes	
row_24	PODXL	1777	1.3248119354248047	0.20836718	Yes	
row_25	LAD1	1811	1.3131035566329956	0.21513154	Yes	
row_26	SLC22A5	1940	1.2808656692504883	0.21677302	Yes	
row_27	MED13L	1977	1.2711747884750366	0.22311166	Yes	
row_28	HR	1983	1.268593192100525	0.23103747	Yes	
row_29	RAB31	1991	1.266563892364502	0.23884669	Yes	
row_30	FHL2	2228	1.2127022743225098	0.23446095	Yes	
row_31	INPP5F	2444	1.1629912853240967	0.23084094	Yes	
row_32	SLC7A5	2476	1.1564120054244995	0.23669787	Yes	
row_33	ELF1	2518	1.1482274532318115	0.24198462	Yes	
row_34	TMEM164	2552	1.1403706073760986	0.24763457	Yes	
row_35	PRSS23	2585	1.1328970193862915	0.25328803	Yes	
row_36	ADCY9	2592	1.1310375928878784	0.26027465	Yes	
row_37	NBL1	2651	1.1184741258621216	0.26448995	Yes	
row_38	TSKU	2731	1.1024932861328125	0.2675157	Yes	
row_39	CLIC3	2794	1.0891953706741333	0.27133515	Yes	
row_40	SYT12	2860	1.075860619544983	0.27491337	Yes	
row_41	ISG20L2	3016	1.0473496913909912	0.27365142	Yes	
row_42	KCNK5	3044	1.0419973134994507	0.27897713	Yes	
row_43	TGIF2	3106	1.0303535461425781	0.28246868	Yes	
row_44	CALCR	3184	1.0174139738082886	0.285049	Yes	
row_45	TJP3	3233	1.0090876817703247	0.28907594	Yes	
row_46	B4GALT1	3241	1.00718092918396	0.29521173	Yes	
row_47	RET	3283	0.9993160963058472	0.29953775	Yes	
row_48	MSMB	3319	0.9907811880111694	0.30411914	Yes	
row_49	SEC14L2	3536	0.9526453018188477	0.29909033	Yes	
row_50	GFRA1	3653	0.931921660900116	0.29910138	Yes	
row_51	MAST4	3708	0.9232218861579895	0.30226395	Yes	
row_52	PDLIM3	3740	0.9181435704231262	0.30658364	Yes	
row_53	BHLHE40	3820	0.9034302234649658	0.3083251	Yes	
