NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LBR	43	2.9784224033355713	0.020789066	No	
row_1	EGF	79	2.7479498386383057	0.04021111	No	
row_2	UBE2C	707	1.7861465215682983	0.02158528	No	
row_3	MEIS2	993	1.6262474060058594	0.019411197	No	
row_4	TLE3	1078	1.5808706283569336	0.027281627	No	
row_5	RAD21	1292	1.4956830739974976	0.027822359	No	
row_6	NUSAP1	1299	1.4940568208694458	0.039055943	No	
row_7	FOXN3	1401	1.4546951055526733	0.045072284	No	
row_8	CDKN2C	1740	1.3404353857040405	0.03794886	No	
row_9	SLC38A1	1805	1.314700722694397	0.04479706	No	
row_10	RPS6KA5	1848	1.3023778200149536	0.05268782	No	
row_11	CENPE	2183	1.221472144126892	0.04485209	No	
row_12	BCL3	2219	1.2144702672958374	0.052425645	No	
row_13	SLC7A5	2476	1.1564120054244995	0.048121154	No	
row_14	AURKA	2494	1.1536853313446045	0.05615596	No	
row_15	UCK2	2702	1.1077643632888794	0.054009724	No	
row_16	NOTCH2	2770	1.094191312789917	0.058999	No	
row_17	PDS5B	3000	1.05178964138031	0.0552825	No	
row_18	CUL4A	3259	1.0040526390075684	0.049697362	No	
row_19	RASAL2	3275	1.0006721019744873	0.05665334	No	
row_20	UPF1	3358	0.9848868250846863	0.060022313	No	
row_21	KATNA1	3360	0.9844540357589722	0.06757702	No	
row_22	MEIS1	3388	0.9784783124923706	0.07374091	No	
row_23	DBF4	3400	0.9764687418937683	0.080716744	No	
row_24	CDKN1B	3461	0.9643414616584778	0.08506475	No	
row_25	PURA	3558	0.9481279850006104	0.087425664	No	
row_26	BARD1	3699	0.9250227212905884	0.0873325	No	
row_27	CDKN3	3929	0.8849833011627197	0.08232717	No	
row_28	ORC6	3995	0.8750929236412048	0.085727006	No	
row_29	MCM5	4039	0.8683075308799744	0.09021218	No	
row_30	POLE	4264	0.8345240950584412	0.08507556	No	
row_31	DMD	4322	0.8265204429626465	0.08851383	No	
row_32	MYC	4550	0.7929103970527649	0.082900524	No	
row_33	CHMP1A	4668	0.7754085063934326	0.08284086	No	
row_34	MCM3	4713	0.7706007361412048	0.08651939	No	
row_35	TRAIP	4993	0.7255245447158813	0.07769614	No	
row_36	DKC1	5507	0.6555992364883423	0.056230824	No	
row_37	TROAP	5535	0.6522013545036316	0.059873726	No	
row_38	BRCA2	5547	0.6512471437454224	0.064336725	No	
row_39	CDC25B	5836	0.6142376065254211	0.05418816	No	
row_40	MNAT1	5936	0.6018523573875427	0.05371841	No	
row_41	CDC20	6106	0.5806188583374023	0.049464412	No	
row_42	CDC45	6229	0.5638200044631958	0.047511313	No	
row_43	ORC5	6311	0.5536978244781494	0.047600403	No	
row_44	SLC7A1	6375	0.546482503414154	0.04856465	No	
row_45	YTHDC1	6534	0.5287245512008667	0.044478573	No	
row_46	SMAD3	6600	0.5206906199455261	0.045140106	No	
row_47	TRA2B	6611	0.5191466808319092	0.04863414	No	
row_48	XPO1	6729	0.5050751566886902	0.046485737	No	
row_49	E2F2	6848	0.4913768768310547	0.04417977	No	
row_50	BIRC5	7120	0.45513829588890076	0.033681106	No	
row_51	SMC4	7221	0.44380056858062744	0.03193845	No	
row_52	NUP98	7313	0.4335620105266571	0.030582136	No	
row_53	CHAF1A	7431	0.4196110665798187	0.027773386	No	
row_54	SRSF10	7464	0.4158817231655121	0.029331768	No	
row_55	CUL1	7773	0.3788969814777374	0.016330494	No	
row_56	EWSR1	7822	0.3735595941543579	0.0167344	No	
row_57	ABL1	7989	0.35635247826576233	0.010902748	No	
row_58	HMMR	8034	0.3508879244327545	0.011338349	No	
row_59	HMGB3	8162	0.3357453942298889	0.00736444	No	
row_60	SRSF1	8229	0.3277263939380646	0.006483308	No	
row_61	PTTG1	8267	0.32385116815567017	0.0070720273	No	
row_62	RACGAP1	8275	0.3232174217700958	0.00920736	No	
row_63	PLK1	8353	0.31491321325302124	0.00765834	No	
row_64	CDC6	8358	0.3138422966003418	0.009876386	No	
row_65	KIF22	8368	0.31279703974723816	0.0118277725	No	
row_66	UBE2S	8411	0.3079497218132019	0.012035043	No	
row_67	NDC80	8512	0.2990914285182953	0.0091742845	No	
row_68	KIF20B	8551	0.29591307044029236	0.009495422	No	
row_69	RPA2	8558	0.2954828441143036	0.0114681795	No	
row_70	KPNB1	8644	0.2875989079475403	0.009294379	No	
row_71	DTYMK	8657	0.2860589623451233	0.0108840205	No	
row_72	TGFB1	8747	0.27562010288238525	0.0084107965	No	
row_73	INCENP	8908	0.2587319016456604	0.0021351774	No	
row_74	PBK	8924	0.2574473023414612	0.003348599	No	
row_75	MARCKS	9107	0.23507143557071686	-0.004247607	No	
row_76	FANCC	9120	0.2334463745355606	-0.003064479	No	
row_77	SLC12A2	9177	0.2260865420103073	-0.004213765	No	
row_78	ODC1	9516	0.18903885781764984	-0.020233497	No	
row_79	SFPQ	9640	0.17564168572425842	-0.025237586	No	
row_80	SMC2	9655	0.17386871576309204	-0.02461822	No	
row_81	HMGA1	9739	0.16606232523918152	-0.027627645	No	
row_82	CENPA	9785	0.16143526136875153	-0.028707573	No	
row_83	E2F1	9827	0.1574067622423172	-0.029611763	No	
row_84	NUP50	10122	0.12521687150001526	-0.04384907	No	
row_85	G3BP1	10162	0.12029366195201874	-0.04493658	No	
row_86	TACC3	10312	0.10292483866214752	-0.05184716	No	
row_87	HUS1	10360	0.0991593673825264	-0.053511698	No	
row_88	MCM6	10478	0.08639933913946152	-0.05889502	No	
row_89	SS18	10761	0.05601256713271141	-0.07304643	No	
row_90	ATRX	10840	0.04672772437334061	-0.076719314	No	
row_91	STAG1	10880	0.04170800372958183	-0.07841402	No	
row_92	KIF2C	11017	0.02563277818262577	-0.08524948	No	
row_93	AURKB	11187	0.007423256058245897	-0.0939323	No	
row_94	AMD1	11191	0.0063125635497272015	-0.09403867	No	
row_95	EFNA5	11207	0.004777378402650356	-0.09477752	No	
