NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCN	10	3.5462682247161865	0.024530228	Yes	
row_1	PGAM2	88	2.7048087120056152	0.03965142	Yes	
row_2	CXCR4	103	2.636068105697632	0.057545938	Yes	
row_3	NR3C1	120	2.5758934020996094	0.07491199	Yes	
row_4	LXN	135	2.5377042293548584	0.09211175	Yes	
row_5	SLC2A5	137	2.5321242809295654	0.109944575	Yes	
row_6	CSRP2	207	2.372269630432129	0.12313084	Yes	
row_7	GALK1	226	2.3138253688812256	0.13854243	Yes	
row_8	ETS1	300	2.1707749366760254	0.15009862	Yes	
row_9	CA12	607	1.8508856296539307	0.14734286	Yes	
row_10	NDST2	635	1.8379789590835571	0.15892796	Yes	
row_11	JUN	682	1.8055052757263184	0.16930088	Yes	
row_12	PDK1	895	1.6714543104171753	0.17014019	Yes	
row_13	NAGK	925	1.6554019451141357	0.18033229	Yes	
row_14	COL5A1	1117	1.5682259798049927	0.18152878	Yes	
row_15	S100A4	1284	1.4997526407241821	0.18353482	Yes	
row_16	PGK1	1319	1.4851096868515015	0.1922655	Yes	
row_17	SDC2	1388	1.4600545167922974	0.19906047	Yes	
row_18	ANKZF1	1424	1.4477694034576416	0.20747568	Yes	
row_19	TIPARP	1557	1.3997361660003662	0.21053404	Yes	
row_20	TGM2	1666	1.3654074668884277	0.21459141	Yes	
row_21	MYH9	1738	1.3411825895309448	0.22039159	Yes	
row_22	TPD52	1864	1.2966814041137695	0.22308417	Yes	
row_23	PLAC8	1921	1.2851450443267822	0.22926447	Yes	
row_24	SERPINE1	2322	1.1903010606765747	0.21698056	Yes	
row_25	GLRX	2333	1.1874439716339111	0.22485027	Yes	
row_26	IRS2	2393	1.1733019351959229	0.23008543	Yes	
row_27	CASP6	2400	1.1723852157592773	0.2380557	Yes	
row_28	PDK3	2405	1.1715595722198486	0.24612358	Yes	
row_29	HMOX1	2465	1.15842866897583	0.2512537	Yes	
row_30	CDKN1A	2496	1.1533324718475342	0.25784793	Yes	
row_31	BTG1	2663	1.1166260242462158	0.2571479	Yes	
row_32	PLAUR	2785	1.090700626373291	0.25859255	Yes	
row_33	DTNA	2853	1.077562928199768	0.2627377	Yes	
row_34	ZFP36	2855	1.0772311687469482	0.27029452	Yes	
row_35	IGFBP3	2905	1.067641019821167	0.27530065	Yes	
row_36	XPNPEP1	3092	1.032770037651062	0.27297384	Yes	
row_37	HSPA5	3255	1.0046837329864502	0.27169007	Yes	
row_38	ALDOC	3306	0.9934490323066711	0.27612048	Yes	
row_39	ERRFI1	3444	0.9678046703338623	0.27586946	Yes	
row_40	CDKN1B	3461	0.9643414616584778	0.28185302	Yes	
row_41	DDIT4	3729	0.9206526875495911	0.27454433	Yes	
row_42	BHLHE40	3820	0.9034302234649658	0.27626982	Yes	
row_43	SLC2A3	3826	0.9027974605560303	0.2823877	Yes	
row_44	HDLBP	3855	0.8990944623947144	0.28728968	Yes	
row_45	EDN2	3955	0.8809496760368347	0.28839085	Yes	
row_46	TPI1	4053	0.8663012385368347	0.28949198	Yes	
row_47	UGP2	4095	0.8590143918991089	0.29343843	Yes	
row_48	SDC3	4173	0.8485113382339478	0.29544848	Yes	
row_49	GAA	4281	0.8323405385017395	0.2957925	Yes	
row_50	TKTL1	4352	0.8209137320518494	0.2979697	Yes	
row_51	DDIT3	4560	0.7922160625457764	0.29285756	Yes	
row_52	WSB1	4582	0.7901671528816223	0.29735225	Yes	
row_53	PNRC1	4724	0.7691685557365417	0.29549134	Yes	
row_54	GRHPR	4791	0.7572981715202332	0.29742616	Yes	
row_55	SLC37A4	4820	0.7510772943496704	0.30128267	Yes	
row_56	AK4	4834	0.7487896084785461	0.30589896	Yes	
row_57	FOSL2	4959	0.7308893799781799	0.30464706	Yes	
row_58	MAFF	5049	0.718217134475708	0.3051161	Yes	
row_59	SRPX	5116	0.708230197429657	0.30670434	Yes	
row_60	INHA	5156	0.7028347253799438	0.3096511	Yes	
row_61	LALBA	5209	0.6953931450843811	0.31187287	Yes	
row_62	KLF6	5255	0.6905078887939453	0.31442222	Yes	
row_63	PFKP	5438	0.6655636429786682	0.3097087	No	
row_64	PGM2	5653	0.6364407539367676	0.3031342	No	
row_65	GPC4	5664	0.6349972486495972	0.30710194	No	
row_66	MAP3K1	5713	0.6297977566719055	0.3090673	No	
row_67	GAPDHS	5832	0.614510178565979	0.30730376	No	
row_68	FBP1	5992	0.5950639247894287	0.30328202	No	
row_69	PRKCA	6013	0.591891348361969	0.30642805	No	
row_70	TMEM45A	6084	0.5836864113807678	0.3069297	No	
row_71	DPYSL4	6085	0.5834588408470154	0.3110507	No	
row_72	HK2	6310	0.5538327097892761	0.30337548	No	
row_73	IER3	6453	0.5376390814781189	0.29982752	No	
row_74	VEGFA	6466	0.5361460447311401	0.30299363	No	
row_75	TPST2	6702	0.5082539916038513	0.29442742	No	
row_76	PPP1R3C	6765	0.5009564161300659	0.2947586	No	
row_77	PPP1R15A	6770	0.5000666379928589	0.2980837	No	
row_78	LDHA	6831	0.49344298243522644	0.29846525	No	
row_79	TGFB3	6889	0.48567500710487366	0.29894713	No	
row_80	SLC2A1	6988	0.47075870633125305	0.2972028	No	
row_81	EGFR	7007	0.46805858612060547	0.29957762	No	
row_82	AMPD3	7026	0.4656413495540619	0.30193537	No	
row_83	GAPDH	7122	0.4549958109855652	0.3002349	No	
row_84	STC2	7128	0.45446252822875977	0.30318618	No	
row_85	ISG20	7295	0.4359322488307953	0.29767838	No	
row_86	TNFAIP3	7326	0.4317632019519806	0.29917613	No	
row_87	CHST3	7342	0.42983001470565796	0.30143613	No	
row_88	EXT1	7378	0.4262395203113556	0.3026362	No	
row_89	PPFIA4	7429	0.4196825921535492	0.30301407	No	
row_90	GBE1	7659	0.3924046456813812	0.29394	No	
row_91	CP	7730	0.3846937417984009	0.29303616	No	
row_92	EFNA1	7898	0.36643314361572266	0.28698578	No	
row_93	ADM	7929	0.36325421929359436	0.28799963	No	
row_94	PKP1	7936	0.36267751455307007	0.2902509	No	
row_95	SIAH2	7987	0.3571019172668457	0.29018673	No	
row_96	KLHL24	8025	0.35187631845474243	0.29075813	No	
row_97	B4GALNT2	8178	0.3337574601173401	0.28525287	No	
row_98	AKAP12	8202	0.3322993516921997	0.28641018	No	
row_99	PLIN2	8363	0.3133508563041687	0.28034696	No	
row_100	FOS	8483	0.30167967081069946	0.27632216	No	
row_101	PGM1	8725	0.27846115827560425	0.26582256	No	
row_102	SULT2B1	8876	0.2609475553035736	0.2599065	No	
row_103	CHST2	8903	0.25915563106536865	0.260392	No	
row_104	PAM	9374	0.2054135948419571	0.23753084	No	
row_105	HS3ST1	9587	0.18105605244636536	0.22784337	No	
row_106	DUSP1	9664	0.17299316823482513	0.22513393	No	
row_107	GYS1	9726	0.16716115176677704	0.22315921	No	
row_108	JMJD6	9793	0.1607397198677063	0.2208805	No	
row_109	F3	9842	0.15613511204719543	0.21950035	No	
row_110	SLC6A6	9880	0.1522502899169922	0.21866179	No	
row_111	NFIL3	9983	0.1410411298274994	0.21438174	No	
row_112	MIF	10003	0.1390809267759323	0.21438125	No	
row_113	BGN	10044	0.13478846848011017	0.21326417	No	
row_114	ALDOA	10067	0.131906196475029	0.21305782	No	
row_115	ANXA2	10130	0.12468519806861877	0.21073136	No	
row_116	ZNF292	10204	0.11658243089914322	0.20777866	No	
row_117	FAM162A	10245	0.11245420575141907	0.20650382	No	
row_118	IDS	10285	0.10688392072916031	0.20524137	No	
row_119	LOX	10376	0.09746148437261581	0.20127425	No	
row_120	GPC3	10595	0.07444585114717484	0.19052343	No	
row_121	PHKG1	10722	0.060531001538038254	0.18443327	No	
row_122	PPARGC1A	11129	0.014621198177337646	0.16353509	No	
row_123	KDELR3	11184	0.007728452794253826	0.16079639	No	
row_124	NDST1	11354	-0.011638919822871685	0.15213661	No	
row_125	HEXA	11418	-0.0183390025049448	0.14900729	No	
row_126	BCL2	11475	-0.02485339529812336	0.14628609	No	
row_127	SCARB1	11508	-0.0280351210385561	0.14482881	No	
row_128	TGFBI	11526	-0.031128540635108948	0.1441693	No	
row_129	BCAN	11581	-0.0377718061208725	0.1416428	No	
row_130	PCK1	11613	-0.04101204872131348	0.1403289	No	
row_131	ADORA2B	11652	-0.04396064952015877	0.13867375	No	
row_132	NOCT	11704	-0.05012406408786774	0.13638966	No	
row_133	ENO1	11728	-0.05333007872104645	0.1355766	No	
row_134	PDGFB	11909	-0.07562769949436188	0.12679978	No	
row_135	EFNA3	11938	-0.0790964812040329	0.12591006	No	
row_136	GPC1	11943	-0.07980704307556152	0.12626684	No	
row_137	CAV1	12014	-0.08933068811893463	0.123276845	No	
row_138	VHL	12067	-0.09491100907325745	0.121257365	No	
row_139	KLF7	12138	-0.10418017208576202	0.118372254	No	
row_140	PYGM	12408	-0.1349228471517563	0.10541047	No	
row_141	CDKN1C	12490	-0.1458439975976944	0.102250636	No	
row_142	ENO3	12572	-0.15466541051864624	0.0991531	No	
row_143	GCK	12715	-0.1729694902896881	0.09302946	No	
row_144	NCAN	12746	-0.17575563490390778	0.092719	No	
row_145	STC1	12907	-0.19770930707454681	0.085839	No	
row_146	CITED2	13034	-0.21752339601516724	0.080857694	No	
row_147	LDHC	13090	-0.22583717107772827	0.07960777	No	
row_148	KIF5A	13207	-0.23751240968704224	0.07528492	No	
row_149	ATF3	13231	-0.24151408672332764	0.07580101	No	
row_150	ANGPTL4	13253	-0.24451512098312378	0.07644175	No	
row_151	P4HA1	13314	-0.2530272305011749	0.07512524	No	
row_152	HOXB9	13481	-0.27694636583328247	0.06849453	No	
row_153	PFKFB3	13640	-0.2989957332611084	0.062433373	No	
row_154	MT1E	13691	-0.306260347366333	0.062010124	No	
row_155	PIM1	13796	-0.31903186440467834	0.058883786	No	
row_156	HAS1	13876	-0.32754018902778625	0.05711073	No	
row_157	ILVBL	14144	-0.36301738023757935	0.04586345	No	
row_158	BNIP3L	14155	-0.36427947878837585	0.0479191	No	
row_159	FOXO3	14205	-0.3714097738265991	0.04800773	No	
row_160	NDRG1	14336	-0.3878682553768158	0.04402267	No	
row_161	MT2A	14618	-0.4242211580276489	0.03248348	No	
row_162	VLDLR	14929	-0.46776124835014343	0.019751718	No	
row_163	IL6	14972	-0.4738338887691498	0.020925872	No	
row_164	ALDOB	15233	-0.5126401782035828	0.011097478	No	
row_165	P4HA2	15333	-0.5278163552284241	0.009704433	No	
row_166	RORA	15339	-0.5292659401893616	0.013184032	No	
row_167	SDC4	15725	-0.5906237363815308	-0.0025595229	No	
row_168	KDM3A	15762	-0.595133364200592	-2.1825776E-4	No	
