NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOC4L	1542	1.4041377305984497	-0.04050621	No	
row_1	SLC29A2	2340	1.185458779335022	-0.048771694	No	
row_2	NPM1	2386	1.175005316734314	-0.01869781	No	
row_3	TCOF1	3981	0.8773800134658813	-0.07639351	No	
row_4	MCM5	4039	0.8683075308799744	-0.055389192	No	
row_5	SUPV3L1	4406	0.8145673871040344	-0.051738255	No	
row_6	LAS1L	4544	0.7948575019836426	-0.036867667	No	
row_7	MYC	4550	0.7929103970527649	-0.015270386	No	
row_8	SRM	4588	0.7894539833068848	0.004587905	No	
row_9	RABEPK	4755	0.7638402581214905	0.017113976	No	
row_10	UTP20	4812	0.7536677122116089	0.03500997	No	
row_11	RRP9	5015	0.7219860553741455	0.04453327	No	
row_12	PRMT3	5812	0.6167159676551819	0.020643521	No	
row_13	BYSL	5947	0.600294291973114	0.030305678	No	
row_14	HK2	6310	0.5538327097892761	0.02697574	No	
row_15	RRP12	7448	0.4179256856441498	-0.01990897	No	
row_16	TBRG4	7547	0.40616917610168457	-0.01374808	No	
row_17	DUSP2	7649	0.3937016427516937	-0.008084918	No	
row_18	PPRC1	8048	0.3492324948310852	-0.018903214	No	
row_19	HSPD1	8063	0.3467605412006378	-0.010064967	No	
row_20	MAP3K6	8122	0.339568167924881	-0.0036850728	No	
row_21	PLK1	8353	0.31491321325302124	-0.006819728	No	
row_22	IPO4	8514	0.2988220751285553	-0.006802241	No	
row_23	MPHOSPH10	8615	0.2902454435825348	-0.0039391615	No	
row_24	GRWD1	9338	0.20887970924377441	-0.03526854	No	
row_25	DDX18	9574	0.18206721544265747	-0.042321514	No	
row_26	FARSA	10192	0.1177821159362793	-0.07076825	No	
row_27	RCL1	10397	0.09540701657533646	-0.07861739	No	
row_28	SLC19A1	11072	0.020499134436249733	-0.112673305	No	
row_29	DCTPP1	11564	-0.03496668487787247	-0.13693044	No	
row_30	NOLC1	11668	-0.045833438634872437	-0.1409579	No	
row_31	WDR43	11969	-0.08353016525506973	-0.15406556	No	
row_32	PUS1	12032	-0.09158609807491302	-0.154726	No	
row_33	GNL3	12679	-0.16763852536678314	-0.18328822	No	
row_34	WDR74	13178	-0.23510859906673431	-0.20238861	No	
row_35	TMEM97	13310	-0.25276100635528564	-0.20215103	No	
row_36	MCM4	14052	-0.34834009408950806	-0.23061259	No	
row_37	PES1	14382	-0.39330437779426575	-0.2366719	No	
row_38	PLK4	14506	-0.40935927629470825	-0.23170725	No	
row_39	PA2G4	14519	-0.41091424226760864	-0.22099806	No	
row_40	IMP4	14674	-0.43198707699775696	-0.2170021	No	
row_41	MYBBP1A	14736	-0.4393059015274048	-0.20802735	No	
row_42	PHB	14786	-0.4473048448562622	-0.19821572	No	
row_43	NOP16	14887	-0.4613132178783417	-0.1906377	No	
row_44	NOP2	15147	-0.4985305368900299	-0.19020113	No	
row_45	EXOSC5	15840	-0.6074478030204773	-0.20900422	No	
row_46	MRTO4	17031	-0.8263417482376099	-0.24735464	No	
row_47	HSPE1	17933	-1.0565160512924194	-0.26451612	Yes	
row_48	UNG	17941	-1.0585228204727173	-0.2357008	Yes	
row_49	CBX3	18224	-1.1477606296539307	-0.21855165	Yes	
row_50	NOP56	18355	-1.197024941444397	-0.192237	Yes	
row_51	NDUFAF4	18461	-1.243979573249817	-0.16334404	Yes	
row_52	CDK4	18465	-1.246675729751587	-0.1291374	Yes	
row_53	TFB2M	18588	-1.3022654056549072	-0.09951119	Yes	
row_54	SORD	19037	-1.5577681064605713	-0.07958828	Yes	
row_55	NIP7	19284	-1.84419584274292	-0.04139487	Yes	
row_56	AIMP2	19339	-1.9473028182983398	0.009502699	Yes	
