NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCND2	14	3.415276050567627	0.024138467	Yes	
row_1	CCNG1	312	2.146235942840576	0.024401901	Yes	
row_2	TAP1	346	2.1026768684387207	0.03800223	Yes	
row_3	LDHB	390	2.0552096366882324	0.05073981	Yes	
row_4	IRAK1	542	1.8989020586013794	0.056753773	Yes	
row_5	ABAT	600	1.8556571006774902	0.06731457	Yes	
row_6	SLC35D1	658	1.826927661895752	0.07766623	Yes	
row_7	JUN	682	1.8055052757263184	0.089620404	Yes	
row_8	SP1	716	1.778826117515564	0.10086316	Yes	
row_9	BTG2	754	1.7601478099822998	0.11176307	Yes	
row_10	BLCAP	953	1.6412039995193481	0.11347021	Yes	
row_11	NOL8	1037	1.6015480756759644	0.12083644	Yes	
row_12	ZFP36L1	1093	1.5740578174591064	0.1294507	Yes	
row_13	FUCA1	1124	1.5644415616989136	0.13928793	Yes	
row_14	ZBTB16	1140	1.5543479919433594	0.14982748	Yes	
row_15	NINJ1	1185	1.5370181798934937	0.15874101	Yes	
row_16	SLC19A2	1212	1.5272119045257568	0.1685141	Yes	
row_17	S100A4	1284	1.4997526407241821	0.17575991	Yes	
row_18	CCND3	1344	1.47305166721344	0.18343198	Yes	
row_19	TXNIP	1521	1.4120855331420898	0.18460903	Yes	
row_20	PHLDA3	1550	1.4009649753570557	0.19335963	Yes	
row_21	HSPA4L	1780	1.323344111442566	0.1911495	Yes	
row_22	HBEGF	1794	1.3195029497146606	0.20008287	Yes	
row_23	PITPNC1	1875	1.2946555614471436	0.20537014	Yes	
row_24	CD82	1900	1.2885421514511108	0.2135092	Yes	
row_25	TP53	1907	1.2869536876678467	0.22256766	Yes	
row_26	STOM	1969	1.273705005645752	0.22868508	Yes	
row_27	CEBPA	2059	1.2505460977554321	0.23318575	Yes	
row_28	ALOX15B	2118	1.238243579864502	0.23920019	Yes	
row_29	JAG2	2231	1.2121258974075317	0.24223162	Yes	
row_30	HMOX1	2465	1.15842866897583	0.23861408	Yes	
row_31	CDKN1A	2496	1.1533324718475342	0.24545851	Yes	
row_32	DCXR	2574	1.1357029676437378	0.2497438	Yes	
row_33	NUDT15	2591	1.1314101219177246	0.25715274	Yes	
row_34	BTG1	2663	1.1166260242462158	0.26160946	Yes	
row_35	BAX	2749	1.098289132118225	0.2652086	Yes	
row_36	CDKN2AIP	2919	1.064996600151062	0.26422095	Yes	
row_37	DGKA	3104	1.030584692955017	0.262207	Yes	
row_38	RRP8	3126	1.0256069898605347	0.26858708	Yes	
row_39	CASP1	3166	1.020105004310608	0.2739962	Yes	
row_40	NOTCH1	3205	1.0136528015136719	0.27941003	Yes	
row_41	TSPYL2	3218	1.0112535953521729	0.28615114	Yes	
row_42	LIF	3510	0.9560518860816956	0.2780606	Yes	
row_43	SLC3A2	3559	0.9480637907981873	0.28247976	Yes	
row_44	TSC22D1	3572	0.9462101459503174	0.28874734	Yes	
row_45	CDKN2B	3631	0.9349371790885925	0.29255375	Yes	
row_46	CTSD	3671	0.9288062453269958	0.29729822	Yes	
row_47	DDIT4	3729	0.9206526875495911	0.30105236	Yes	
row_48	RETSAT	3913	0.8881383538246155	0.29805315	Yes	
row_49	SOCS1	3932	0.8845453858375549	0.3035615	Yes	
row_50	WRAP73	4048	0.8671402335166931	0.30392635	Yes	
row_51	CDH13	4329	0.8251316547393799	0.29545164	Yes	
row_52	RGS16	4442	0.8102006912231445	0.29555714	Yes	
row_53	EPHA2	4500	0.8012236952781677	0.2984419	Yes	
row_54	DDIT3	4560	0.7922160625457764	0.3011576	Yes	
row_55	NUPR1	4659	0.7770615816116333	0.30174592	Yes	
row_56	PRKAB1	4706	0.7712505459785461	0.30498138	Yes	
row_57	CDKN2A	4773	0.7608362436294556	0.3071066	Yes	
row_58	KLK8	4838	0.7482024431228638	0.30924332	Yes	
row_59	ZNF365	5103	0.7102359533309937	0.3007597	No	
row_60	PPM1D	5480	0.6593271493911743	0.28611287	No	
row_61	EPHX1	5529	0.6525059938430786	0.28838044	No	
row_62	OSGIN1	5625	0.6409258246421814	0.28813288	No	
row_63	GM2A	5982	0.5962643027305603	0.27406138	No	
row_64	TRIB3	6156	0.5732768177986145	0.2692872	No	
row_65	PLK3	6265	0.5594049096107483	0.26777384	No	
row_66	TM7SF3	6397	0.5433916449546814	0.26495436	No	
