NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBR3	20	3.284787893295288	0.03033374	Yes	
row_1	COL3A1	82	2.7318689823150635	0.053272903	Yes	
row_2	KCNMA1	106	2.6314990520477295	0.07721384	Yes	
row_3	NR3C1	120	2.5758934020996094	0.10113965	Yes	
row_4	PTPN21	215	2.3623037338256836	0.11884769	Yes	
row_5	COL11A1	349	2.0983986854553223	0.13202402	Yes	
row_6	DAB2	382	2.061053991317749	0.15005371	Yes	
row_7	MAGI2	752	1.760828971862793	0.14783296	Yes	
row_8	ANXA4	777	1.7467325925827026	0.16327395	Yes	
row_9	CELF2	791	1.7382891178131104	0.17920175	Yes	
row_10	NFKB1	1008	1.6194781064987183	0.18352357	Yes	
row_11	COL1A1	1129	1.5624456405639648	0.19225284	Yes	
row_12	COL5A2	1242	1.5149483680725098	0.20094125	Yes	
row_13	TFPI	1324	1.4839117527008057	0.21093237	Yes	
row_14	SDC2	1388	1.4600545167922974	0.22162421	Yes	
row_15	SFMBT1	1677	1.3604214191436768	0.21975838	Yes	
row_16	MAP2K5	1896	1.2900632619857788	0.22083156	Yes	
row_17	PRKCE	1909	1.2867732048034668	0.23249954	Yes	
row_18	DBP	2030	1.2591769695281982	0.238333	Yes	
row_19	RASA2	2204	1.2178099155426025	0.24103752	Yes	
row_20	FHL2	2228	1.2127022743225098	0.2514308	Yes	
row_21	TGFBR2	2278	1.2023708820343018	0.26038426	Yes	
row_22	SERPINE1	2322	1.1903010606765747	0.269532	Yes	
row_23	NOTCH2	2770	1.094191312789917	0.25692222	Yes	
row_24	LDLR	2862	1.0756605863571167	0.26249924	Yes	
row_25	SYNJ2	2895	1.069389820098877	0.27105984	Yes	
row_26	MGLL	3005	1.0502630472183228	0.27546585	Yes	
row_27	CDC42BPA	3052	1.041229486465454	0.28303537	Yes	
row_28	PIK3CD	3107	1.0302042961120605	0.29008695	Yes	
row_29	LTBP1	3112	1.0293998718261719	0.29971004	Yes	
row_30	CDKN1B	3461	0.9643414616584778	0.29096714	Yes	
row_31	PDGFRB	3793	0.9089740514755249	0.28257248	Yes	
row_32	BHLHE40	3820	0.9034302234649658	0.28985786	Yes	
row_33	INSIG1	3828	0.9025392532348633	0.29811487	Yes	
row_34	LPAR1	3836	0.9016095399856567	0.30636296	Yes	
row_35	ATXN1	3926	0.8852331638336182	0.31022483	Yes	
row_36	PTPRM	4358	0.8198768496513367	0.29582104	Yes	
row_37	HAS2	4403	0.8147810697555542	0.30133143	Yes	
row_38	PMP22	4438	0.8110020756721497	0.3073216	Yes	
row_39	MYC	4550	0.7929103970527649	0.3091671	Yes	
row_40	PRDM2	4725	0.7690357565879822	0.3075348	Yes	
row_41	ADGRL2	4920	0.736003041267395	0.30455545	Yes	
row_42	DLC1	5051	0.7180697321891785	0.30470622	Yes	
row_43	EFEMP1	5072	0.7155197858810425	0.31050682	Yes	
row_44	APBB2	5199	0.6965755820274353	0.31065866	Yes	
row_45	MGMT	5400	0.6711005568504333	0.30675006	Yes	
row_46	PIAS3	5453	0.6626997590065002	0.31039563	Yes	
row_47	ABCC1	5527	0.6526786088943481	0.31286225	Yes	
row_48	GRK5	5646	0.6379746794700623	0.3128672	Yes	
row_49	ADD3	5771	0.6218555569648743	0.31240875	No	
row_50	PRKCA	6013	0.591891348361969	0.30562887	No	
row_51	ZMIZ1	6244	0.5620585083961487	0.29913154	No	
row_52	SLC7A1	6375	0.546482503414154	0.29764387	No	
row_53	LAMC1	6379	0.5459265112876892	0.302702	No	
row_54	YTHDC1	6534	0.5287245512008667	0.29980674	No	
row_55	SMAD3	6600	0.5206906199455261	0.30142573	No	
row_56	MMP16	6672	0.5122374892234802	0.30265447	No	
row_57	GJA1	6750	0.5027562975883484	0.30348322	No	
row_58	CAP2	7132	0.45431581139564514	0.28816798	No	
row_59	WDR37	7275	0.43829333782196045	0.28502822	No	
row_60	SLC22A18	7351	0.4290287494659424	0.28525612	No	
row_61	NEK7	7442	0.4185717701911926	0.2846104	No	
row_62	SCN8A	7810	0.37507450580596924	0.26926067	No	
row_63	NFIB	8665	0.2851678133010864	0.22793125	No	
row_64	MIOS	8733	0.27733346819877625	0.22712332	No	
row_65	PTEN	8734	0.27723994851112366	0.2297706	No	
row_66	SYNE1	8902	0.25931650400161743	0.22363226	No	
row_67	RXRA	9151	0.23047761619091034	0.21304028	No	
row_68	FBLN5	9310	0.21144814789295197	0.20690912	No	
row_69	RGS4	9371	0.20555733144283295	0.20577691	No	
row_70	MTA1	9520	0.18880358338356018	0.19994536	No	
row_71	PHF3	9581	0.18157927691936493	0.19858418	No	
row_72	DUSP1	9664	0.17299316823482513	0.1960062	No	
row_73	FZD2	9745	0.16567225754261017	0.19346145	No	
row_74	F3	9842	0.15613511204719543	0.19000031	No	
row_75	RND3	9872	0.15293948352336884	0.18996476	No	
row_76	ATP2B1	9994	0.1400681883096695	0.1850606	No	
row_77	IGFBP5	10124	0.12510719895362854	0.17960092	No	
row_78	ANXA2	10130	0.12468519806861877	0.18053359	No	
row_79	DYRK1A	10231	0.11412892490625381	0.176465	No	
row_80	VAV2	10418	0.09309069812297821	0.16775934	No	
row_81	ARHGEF9	10455	0.08912613987922668	0.16675338	No	
row_82	IGF1R	10490	0.08554882556200027	0.16581641	No	
row_83	ATP2C1	10495	0.08515486866235733	0.1664232	No	
row_84	FYN	10633	0.06959628313779831	0.1600208	No	
row_85	PRKAR2B	10713	0.062001533806324005	0.15653773	No	
row_86	ATRX	10840	0.04672772437334061	0.15048437	No	
row_87	RUNX1	10936	0.03505365550518036	0.14591865	No	
row_88	NRP1	11244	2.594261022750288E-4	0.13008495	No	
row_89	PLPP3	11323	-0.009496770799160004	0.12615211	No	
row_90	IRS1	11330	-0.009882505983114243	0.12593697	No	
