NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD36	217	2.34806752204895	0.0048021544	Yes	
row_1	CYP27A1	237	2.2966721057891846	0.019498175	Yes	
row_2	HSD11B1	274	2.216157913208008	0.032764934	Yes	
row_3	CES1	325	2.127094030380249	0.044699293	Yes	
row_4	CNDP2	352	2.094109296798706	0.057650253	Yes	
row_5	PYCR1	422	2.018404245376587	0.067859516	Yes	
row_6	SLC35D1	658	1.826927661895752	0.068172574	Yes	
row_7	SLC22A1	687	1.8013273477554321	0.07902127	Yes	
row_8	ATP2A2	698	1.7923671007156372	0.09074012	Yes	
row_9	IL1R1	950	1.642816424369812	0.08896842	Yes	
row_10	RBP4	973	1.6340351104736328	0.09898547	Yes	
row_11	PAPSS2	1146	1.553139090538025	0.1006891	Yes	
row_12	LPIN2	1176	1.5406285524368286	0.10970629	Yes	
row_13	NINJ1	1185	1.5370181798934937	0.11978539	Yes	
row_14	ECH1	1253	1.5107903480529785	0.12663272	Yes	
row_15	ALDH9A1	1311	1.48833167552948	0.13384414	Yes	
row_16	ASL	1343	1.4734216928482056	0.14229904	Yes	
row_17	PDK4	1456	1.4376908540725708	0.14631897	Yes	
row_18	ADH5	1586	1.3882087469100952	0.14912151	Yes	
row_19	PGRMC1	1603	1.3843674659729004	0.15774456	Yes	
row_20	TNFRSF1A	1682	1.358900785446167	0.1629858	Yes	
row_21	FBLN1	1684	1.3580626249313354	0.17220539	Yes	
row_22	DDAH2	1723	1.3452507257461548	0.17942308	Yes	
row_23	UPB1	1925	1.284056305885315	0.17778923	Yes	
row_24	TPST1	1931	1.2833613157272339	0.18629187	Yes	
row_25	FMO1	1939	1.2808858156204224	0.19467413	Yes	
row_26	SSR3	1963	1.2765369415283203	0.20219885	Yes	
row_27	CCL25	1973	1.2726995944976807	0.21042174	Yes	
row_28	FAH	2022	1.2615091800689697	0.21655034	Yes	
row_29	PTGDS	2094	1.2442593574523926	0.22137113	Yes	
row_30	TDO2	2120	1.2375272512435913	0.22852606	Yes	
row_31	SERTAD1	2134	1.234302043914795	0.23627985	Yes	
row_32	GCLC	2141	1.2318886518478394	0.24437936	Yes	
row_33	ADH7	2207	1.2175935506820679	0.24932854	Yes	
row_34	SHMT2	2241	1.2093480825424194	0.25587717	Yes	
row_35	SERPINE1	2322	1.1903010606765747	0.2598639	Yes	
row_36	CASP6	2400	1.1723852157592773	0.2638836	Yes	
row_37	HMOX1	2465	1.15842866897583	0.2684806	Yes	
row_38	ABCD2	2511	1.1497962474822998	0.27400178	Yes	
row_39	DCXR	2574	1.1357029676437378	0.27854714	Yes	
row_40	VTN	2743	1.0989677906036377	0.27735713	No	
row_41	ACSM1	3067	1.0375806093215942	0.2677282	No	
row_42	GSTT2	3108	1.029986023902893	0.27269015	No	
row_43	COMT	3525	0.9538868069648743	0.25767794	No	
row_44	CDA	3758	0.9151837229728699	0.25192183	No	
row_45	RETSAT	3913	0.8881383538246155	0.25001693	No	
row_46	TMBIM6	3953	0.8813450932502747	0.25401586	No	
row_47	SLC6A12	4041	0.8678957223892212	0.2554394	No	
row_48	ACOX1	4167	0.8486856818199158	0.25476563	No	
row_49	CROT	4195	0.8446280360221863	0.2591348	No	
row_50	MPP2	4249	0.8357711434364319	0.26209822	No	
row_51	EPHA2	4500	0.8012236952781677	0.25463283	No	
row_52	SAR1B	4711	0.7706829309463501	0.24902855	No	
row_53	ELOVL5	5171	0.7008703947067261	0.23006415	No	
row_54	HGFAC	5308	0.6833868026733398	0.22769275	No	
row_55	ALDH3A1	5411	0.669381856918335	0.22698495	No	
row_56	SMOX	5436	0.6656969785690308	0.2302878	No	
row_57	ACO2	5517	0.6546299457550049	0.2306176	No	
row_58	EPHX1	5529	0.6525059938430786	0.23450302	No	
row_59	ANGPTL3	5849	0.6125293970108032	0.22217928	No	
row_60	ACP1	5917	0.6039178967475891	0.2228355	No	
row_61	FBP1	5992	0.5950639247894287	0.22306909	No	
row_62	F10	6044	0.5885226130485535	0.22444806	No	
row_63	CDO1	6178	0.5706422328948975	0.2214622	No	
row_64	GSTA3	6271	0.558596134185791	0.22051549	No	
row_65	LONP1	6334	0.5512709617614746	0.221071	No	
row_66	RAP1GAP	6718	0.5058215856552124	0.20470734	No	
row_67	ATOH8	6870	0.4883124828338623	0.2002281	No	
row_68	PROS1	6882	0.48715272545814514	0.20298468	No	
row_69	GAD1	6936	0.47845742106437683	0.20350876	No	
row_70	CBR1	6966	0.4751179814338684	0.20525184	No	
row_71	LCAT	7003	0.468821257352829	0.20658976	No	
row_72	ALDH2	7062	0.46145087480545044	0.20673904	No	
row_73	HACL1	7096	0.4579322338104248	0.20815782	No	
row_74	GCKR	7106	0.45654046535491943	0.2108089	No	
row_75	CA2	7238	0.4420619308948517	0.20704873	No	
row_76	FMO3	7245	0.4409443140029907	0.20974855	No	
row_77	AOX1	7483	0.4144921600818634	0.2003156	No	
row_78	PGD	7654	0.39269933104515076	0.19420053	No	
row_79	PINK1	7870	0.3686666786670685	0.18559304	No	
row_80	VNN1	7919	0.36408016085624695	0.18559499	No	
row_81	GCH1	7951	0.360109806060791	0.18644944	No	
row_82	AKR1C3	7986	0.3571247160434723	0.18712829	No	
row_83	XDH	8142	0.33805781602859497	0.1814163	No	
row_84	CYP1A2	8247	0.32594558596611023	0.17826043	No	
row_85	G6PC	8259	0.3244679570198059	0.17990637	No	
row_86	CAT	8310	0.3191834092140198	0.17949834	No	
