NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	0.6060382	2.4269266	0.0	0.0	0.0	3660	tags=53%, list=19%, signal=65%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	184	0.5034164	2.1795144	0.0	0.0	0.0	4241	tags=42%, list=22%, signal=53%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	197	0.4794203	2.0894842	0.0	3.6842102E-4	0.001	3394	tags=36%, list=17%, signal=43%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	195	0.46111494	2.0049276	0.0	2.7631578E-4	0.001	4674	tags=38%, list=24%, signal=49%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	190	0.4635513	2.0000014	0.0	2.2105263E-4	0.001	5152	tags=46%, list=26%, signal=62%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	199	0.45318696	1.9914831	0.0	1.8421051E-4	0.001	5363	tags=46%, list=27%, signal=63%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.49254268	1.9449627	0.0	1.5789473E-4	0.001	5073	tags=48%, list=26%, signal=65%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	198	0.4011775	1.7680799	0.0	0.002101511	0.017	4724	tags=37%, list=24%, signal=49%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	0.39352888	1.7343466	0.0	0.0023071128	0.02	5157	tags=39%, list=26%, signal=53%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.5195627	1.7285587	0.0027247956	0.0024544452	0.024	6744	tags=72%, list=35%, signal=110%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	199	0.36704987	1.6014154	0.0011135858	0.009548079	0.1	5340	tags=38%, list=27%, signal=52%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	159	0.35148627	1.5072354	0.0011520737	0.0272039	0.28	4259	tags=33%, list=22%, signal=41%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	196	0.3249533	1.4150866	0.010964912	0.06702227	0.593	4258	tags=31%, list=22%, signal=39%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	193	0.31442222	1.3782257	0.020361992	0.09118612	0.727	5255	tags=33%, list=27%, signal=44%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	194	0.31143257	1.3574891	0.020044543	0.10467624	0.79	6168	tags=40%, list=32%, signal=58%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	190	0.30924332	1.3437896	0.036105033	0.11176689	0.838	4838	tags=31%, list=25%, signal=41%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	96	0.33343598	1.334034	0.073897496	0.11524843	0.863	4076	tags=30%, list=21%, signal=38%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	139	0.3128672	1.3040088	0.05110337	0.14249763	0.932	5646	tags=35%, list=29%, signal=49%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.3554202	1.2365303	0.16895604	0.24108557	0.994	5265	tags=36%, list=27%, signal=49%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	198	0.27854714	1.2043083	0.13101904	0.2973474	0.999	2574	tags=20%, list=13%, signal=23%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		138	0.27805263	1.1699624	0.18735632	0.36348292	1.0	3457	tags=23%, list=18%, signal=28%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		103	0.29018852	1.1627829	0.20792079	0.36605933	1.0	5619	tags=38%, list=29%, signal=53%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		197	0.2660979	1.1596315	0.18102509	0.3589582	1.0	5149	tags=32%, list=26%, signal=43%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		199	0.2501538	1.0896982	0.2914349	0.53133494	1.0	5741	tags=34%, list=29%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		47	0.30361575	1.0815374	0.33244327	0.5340312	1.0	4515	tags=36%, list=23%, signal=47%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		43	0.29465863	1.032766	0.39839572	0.65565485	1.0	3241	tags=21%, list=17%, signal=25%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		155	0.23996775	1.0272008	0.4203233	0.64808863	1.0	4225	tags=26%, list=22%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		195	0.2345125	1.0205857	0.42222223	0.6449213	1.0	4952	tags=27%, list=25%, signal=35%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	0.29161894	0.9944583	0.4654696	0.6998027	1.0	4603	tags=29%, list=24%, signal=38%	
