NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	1624	2.0713441371917725	-0.041812267	No	
row_1	MYH9	1809	1.9690563678741455	-0.011736743	No	
row_2	FYN	3294	1.3531728982925415	-0.060775675	No	
row_3	CD40	3343	1.3366235494613647	-0.036411233	No	
row_4	DMD	4162	1.1057921648025513	-0.05621798	No	
row_5	MYH8	4315	1.0704318284988403	-0.042536806	No	
row_6	CASP8	4465	1.0320006608963013	-0.029472988	No	
row_7	MYH4	4470	1.0309845209121704	-0.008984125	No	
row_8	EIF4G2	5096	0.9001195430755615	-0.02300906	No	
row_9	EIF4G1	5099	0.8990230560302734	-0.0050662747	No	
row_10	RAC2	6452	0.6392766833305359	-0.06165684	No	
row_11	MYH7	6464	0.6373112797737122	-0.04942935	No	
row_12	SGCA	6514	0.6295928955078125	-0.039308004	No	
row_13	CD55	6769	0.5894207954406738	-0.04051932	No	
row_14	ITGAL	6787	0.5867436528205872	-0.029614927	No	
row_15	BID	7061	0.5400533676147461	-0.032792773	No	
row_16	CD28	7208	0.5146246552467346	-0.029959852	No	
row_17	MYH7B	7348	0.49175286293029785	-0.027226584	No	
row_18	CXADR	8851	0.2706047296524048	-0.09891944	No	
row_19	ACTG1	9333	0.20338092744350433	-0.11953544	No	
row_20	ACTB	9693	0.1493362933397293	-0.1349718	No	
row_21	LAMA2	9987	0.10512012988328934	-0.14790672	No	
row_22	ABL1	10537	0.029365472495555878	-0.17550728	No	
row_23	PRF1	10832	-0.012569217942655087	-0.19035126	No	
row_24	SGCB	10932	-0.02644827589392662	-0.19490382	No	
row_25	MYH6	11131	-0.05352940782904625	-0.20399624	No	
row_26	MYH2	11412	-0.09441114217042923	-0.2164786	No	
row_27	MYH10	12000	-0.1845686137676239	-0.24291508	No	
row_28	CCND1	12014	-0.18670129776000977	-0.23983508	No	
row_29	ABL2	12080	-0.19546635448932648	-0.23924923	No	
row_30	CYCS	12576	-0.2767794132232666	-0.25911084	No	
row_31	RAC1	13049	-0.35317882895469666	-0.2762579	No	
row_32	SGCD	13484	-0.42349544167518616	-0.29004234	No	
row_33	MYH14	13858	-0.4911072254180908	-0.29933745	No	
row_34	CAV1	13977	-0.5116718411445618	-0.29512605	No	
row_35	CASP9	14520	-0.6133131384849548	-0.31064597	No	
row_36	EIF4G3	15965	-0.9638475775718689	-0.36544567	No	
row_37	ITGB2	16904	-1.285757303237915	-0.38780183	Yes	
row_38	ICAM1	16957	-1.3064134120941162	-0.36424917	Yes	
row_39	MYH11	17043	-1.341658115386963	-0.34168354	Yes	
row_40	MYH13	17259	-1.4354122877120972	-0.32391128	Yes	
row_41	CD80	17443	-1.5207655429840088	-0.30278265	Yes	
row_42	CD40LG	17491	-1.5459004640579224	-0.2741662	Yes	
row_43	CASP3	17496	-1.5485544204711914	-0.24328849	Yes	
row_44	MYH1	17560	-1.5856082439422607	-0.21469657	Yes	
row_45	SGCG	18648	-2.4546215534210205	-0.22124176	Yes	
row_46	DAG1	18699	-2.5195744037628174	-0.17323545	Yes	
row_47	MYH3	18932	-2.817556142807007	-0.12859325	Yes	
row_48	RAC3	19031	-3.007652759552002	-0.073254764	Yes	
row_49	MYH15	19423	-4.908144950866699	0.005186088	Yes	
