NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRG2	663	2.235886573791504	-0.022738641	No	
row_1	AP3B2	1270	1.9117175340652466	-0.04420311	No	
row_2	DPYS	1752	1.720959186553955	-0.060189802	No	
row_3	PRSS12	1884	1.6848422288894653	-0.058269363	No	
row_4	SEMA4A	2033	1.6378247737884521	-0.057470325	No	
row_5	RAB39B	2246	1.5685534477233887	-0.0603372	No	
row_6	DCPS	2508	1.5040239095687866	-0.06607009	No	
row_7	B3GALNT2	2590	1.4817994832992554	-0.06261242	No	
row_8	FAN1	2693	1.4538600444793701	-0.06038451	No	
row_9	MLH1	2743	1.4418346881866455	-0.05547877	No	
row_10	PIGC	2760	1.4391264915466309	-0.048881054	No	
row_11	B4GALNT1	3122	1.3522319793701172	-0.060566634	No	
row_12	PRRT2	3328	1.3064202070236206	-0.06442405	No	
row_13	SLC46A1	3367	1.29706871509552	-0.059696555	No	
row_14	GABRA5	3455	1.2788797616958618	-0.057595983	No	
row_15	MECR	3519	1.267276406288147	-0.05431458	No	
row_16	MBOAT7	3609	1.2482646703720093	-0.052475348	No	
row_17	ST3GAL3	4295	1.107343077659607	-0.08217376	No	
row_18	SYNJ1	4587	1.0499117374420166	-0.0918004	No	
row_19	NECAP1	4676	1.0322457551956177	-0.091023974	No	
row_20	TRAPPC9	4680	1.0318697690963745	-0.085855365	No	
row_21	DHDDS	4889	0.9884072542190552	-0.09150859	No	
row_22	ARX	4958	0.9756813645362854	-0.08999008	No	
row_23	PIK3CA	5169	0.9383277893066406	-0.09600507	No	
row_24	SLC39A14	5171	0.9380096197128296	-0.09121732	No	
row_25	SLC2A1	5253	0.9226194024085999	-0.09064461	No	
row_26	FMN2	5277	0.9187838435173035	-0.08709335	No	
row_27	DEAF1	5387	0.9001456499099731	-0.08808408	No	
row_28	RSRC1	5660	0.8528162837028503	-0.097745374	No	
row_29	GCDH	5933	0.8056952357292175	-0.10764978	No	
row_30	SIL1	6044	0.7851355671882629	-0.10928557	No	
row_31	TRIM8	6154	0.7656972408294678	-0.110969946	No	
row_32	YWHAG	6484	0.70792555809021	-0.124325424	No	
row_33	PDGFB	6509	0.7045499086380005	-0.12193115	No	
row_34	SLC13A5	7228	0.5812944173812866	-0.15604955	No	
row_35	KCNA1	7332	0.5635597109794617	-0.15846664	No	
row_36	MAN1B1	7563	0.5232701301574707	-0.16765693	No	
row_37	EDC3	8021	0.44930046796798706	-0.18896377	No	
row_38	LRRK2	8123	0.4331914186477661	-0.19195007	No	
row_39	DNAJC13	8473	0.37307390570640564	-0.20806704	No	
row_40	KDM5B	8477	0.3724033236503601	-0.20630081	No	
row_41	MED25	8738	0.3308638036251068	-0.21803465	No	
row_42	DNAJC19	8845	0.3106953203678131	-0.22191142	No	
row_43	SCN1B	8892	0.3032749593257904	-0.22272474	No	
row_44	TSEN2	8912	0.30041879415512085	-0.22215702	No	
